"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	1	0	0	0	0	6	0			0	0	16	0	0	0											0	0	0	0			0	0	0	0	1	0			0	0	0	0	0	0	0	0				13	2	2	3	
242	0	0	0	0	0	0	0	0	3	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	3	
279	0	0	0	0	0	0	0	0	4	2			0	0	10	0	0	0											0	0	0	0			0	0	0	0	0	0			10	0	0	0	0	0	0	0				0	1	0	1	
354	0	0	0	0	0	0	0	0	2	0			0	1	25	0	0	0						0				1	0	0	0	0			0	0	0	0	13	0			0	0	0	0	0	0	0	0				12	1	0	0	
457	0	0	0	0	0	0	0	0	4	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	4	
505	0	0	0	0	0	0	0	0	61	20		0	0	0	105	88	0	1		0	0		0	0	0		0	0	0	0	0	0			0	0	34	0	0	0			0	0	0	0	0	0	0	0	0	0		15	6	1	1	
1155	0	0	0	0	0	0	0	0	2	1			0	0	68	0	0	48						0				0	0	0	0	0			1	0	0	0	17	0			0	0	0	0	0	0	0	0				0	0	2	1	
1351	0	0	0	0	0	0	0	0	31	0			0	5	10	7	0	0						0				5	0	0	0	0			0	0	1	0	0	0	0		0	0	0	0	0	0	0	0				3	25	0	0	
1454	0	0	0	0	0	0	0	0	6	1		0	0	1	12	1	0	4		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	1	0	0	0	0	0		0	1	6	3	
1557	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				0	0	0	0	
1669	0	0	0	0	0	0	0	0	35	0			0	0	323	1	0	0											0	0	0	0			0	0	0	0	29	0			0	0	0	0	0	0	249	0				1	0	43	35	
1829	0	0	0	0	0	0	0	0	8	6		0	0	0	101	97	0	0		0	0		0	0	0		0	0	0	0	0	0			3	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		1	2	0	0	
1856	0	0	0	0	0	0	0	0	5	0			0	0	2	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	5	2	0	
2040	0	0	0	0	0	0	0	0	11	0			0	0	56	0	0	0											0	0	16	0			13	3	0	1	20	0			0	0	0	0	0	0	0	2				2	0	5	5	
2161	0	0	0	0	0	0	0	0	5	0			0	0	11	0	0	0						0				0	0	0	0	0			5	0	0	0	0	0			0	0	0	0	0	0	0	0				6	4	0	1	
2376	0	0	0	0	0	0	0	0	0	0		0	0	0	2152	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	247	0	0	0	1905	0	0	0		0	0	0	0	
2554	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2732	0	0	0	12	0	0	0	0	16	4		0	0	0	476	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	476	0	0	0	0	0	0	0		0	0	0	0	
2750	0	0	0	0	0	0	0	0	0	0			0	0	21	0	0	0						0				0	0	0	0	0			0	0	0	0	2	0			0	0	0	0	0	0	0	0				16	0	3	0	
3252	0	0	0	0	0	0	0	0	93	9			0	13	136	14	0	21						21				6	0	0	0	0			0	0	0	0	0	0			0	0	50	1	0	0	0	0				3	9	48	61	
3458	0	0	0	0	2	0	0	0	1	0			0	0	3	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	1	
3720	0	0	0	0	0	0	0	0	0	0			0	0	3	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	2	0	
3953	0	0	0	0	0	0	0	0	9	8			0	0	20	19	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	1	0	0	
4156	0	0	0	0	0	0	0	0	19	2			0	0	225	0	0	0						0				0	0	0	11	0			0	0	5	0	42	47			0	0	0	0	108	0	0	0				10	5	7	7	
4231	0	0	0	0	0	0	0	0	5	0			0	0	40	10	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	3	27	2	
4437	0	0	0	0	0	0	0	0	11	0			0	0	473	0	0	0											0	0	14	0			0	0	0	0	309	0			0	0	0	0	114	10	0	0				6	0	30	1	
4839	0	0	0	0	0	0	0	0	2	0		0	0	0	54	26	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	16	0	0	0	0	0	0	0		0	0	12	2	
5005	0	0	0	0	0	0	0	0	0	0		0	0	0	48	4	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			44	0	0	0	0	0	0	0	0	0		0	0	0	0	
5069	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5135	0	0	0	0	0	0	0	0	4	0		0	0	0	78	29	0	0		0	0		0	0	0		0	0	0	0	0	0			3	0	0	0	1	0			0	0	36	0	0	0	0	0	0	0		0	0	9	4	
5210	0	0	0	0	0	0	0	0	1	0		0	0	0	2018	569	0	0		0	0		0	0	0		0	0	0	0	13	0			0	0	1	0	51	0			274	0	478	0	626	0	0	0	0	0		0	0	7	0	
5331	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5461	0	0	0	0	0	0	0	0	4	2		0	0	0	592	2	0	3		0	0		0	0	0		0	0	5	0	147	0			0	0	0	0	63	0			0	0	336	0	0	0	41	1	0	0		0	0	0	1	
5751	0	0	0	0	0	0	0	0	2	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	2	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
6039	0	0	0	0	0	0	0	0	59	0			0	0	1	0	0	0						0				0	0	0	0	0			0	0	27	0	0	0			0	0	0	0	0	0	0	0				0	28	1	4	
6141	0	0	0	0	0	0	0	0	10	1			0	0	40	25	0	0						0				0	0	0	0	0			0	0	0	0	6	0			0	0	0	0	0	0	0	0				0	0	9	9	
6329	0	0	0	0	0	0	0	0	366	234		0	0	0	3130	266	0	0		0	0		0	0	0		0	0	0	0	107	0			17	1	11	0	374	1			189	0	1163	5	0	0	258	0	0	0		423	84	332	31	
6972	0	0	270	0	0	0	0	0	1768	1713		0	0	0	1103	812	0	0		0	0		0	0	0		0	0	0	1700	0	0			0	0	0	0	18	0			0	0	0	24	0	0	0	30	0	0		0	0	3	1	
7009	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7045	0	0	0	0	0	0	0	0	14	0			0	0	76	0	0	0						0				0	0	0	0	0			3	0	0	0	0	0			0	0	0	0	0	0	25	0				35	10	13	4	
7157	0	0	0	0	0	0	0	0	10	10			0	0	10	0	0	0						0				0	0	0	0	0			0	0	0	0	6	0			0	0	0	0	0	0	0	0				0	0	4	0	
7456	0	0	0	0	0	0	0	0	0	0			0	0	18	0	0	0						0				0	0	0	0	0			0	0	0	0	18	0	0		0	0	0	0	0	0	0	0				0	0	0	0	
7634	0	0	0	0	0	0	0	0	4	2			0	0	120	19	0	0											0	0	0	0			0	0	1	0	0	0			0	0	21	0	0	0	42	0				0	1	38	0	
8033	0	0	0	0	0	0	0	0	30	0			0	24	2	0	0	0											0	0	0	0			0	0	5	0	0	0			0	0	0	0	0	0	0	0				0	0	2	1	
8462	0	0	0	0	0	0	0	0	13	0			0	0	20	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				15	10	5	3	
8631	0	0	0	0	0	0	0	0	1	0			0	0	7	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				7	0	0	1	
9357	0	0	0	0	0	0	0	0	122	122		0	0	0	261	0	0	0		0	0		0	0	0		0	0	0	0	250	0			0	0	0	0	11	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
9553	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9807	0	0	0	0	0	0	0	0	864	810		0	0	0	1428	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	21	0	279	0			188	33	734	0	0	0	225	0	0	0		0	0	2	0	
9955	0	0	0	0	0	0	0	0	6	6			0	0	2	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				2	0	0	0	
10250	0	0	0	0	0	0	0	0	295	228		0	0	37	1022	417	0	54		0	0		0	0	0		0	0	0	0	17	1			5	0	3	10	32	72			0	0	335	0	20	1	0	0	0	0		16	5	54	10	
10849	128	0	0	0	0	0	0	0	9	0		0	0	0	355	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	9	0	1	0			0	0	226	0	0	0	0	0	0	0		0	0	0	0	
10858	0	0	0	0	0	0	0	0	53	21		0	0	12	488	5	0	12		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	35	50	0		0	5	0	0	0	0	380	0	0	0		4	5	2	10	
11145	0	0	0	0	0	0	0	0	12	0			0	0	520	355	0	0											0	0	0	0			0	0	7	0	160	0			0	0	0	0	0	0	0	0				0	0	5	5	
11640	0	0	0	0	0	0	0	0	62	2		0	0	43	19	0	0	16		0	0		0	0	0		0	0	0	0	0	0			0	0	16	0	0	0			0	0	0	0	0	0	0	0	0	0		3	1	0	0	
11837	50	0	0	0	0	0	0	0	24	10			0	2	150	0	0	0											0	0	0	0			0	0	0	0	4	0			0	0	27	0	0	0	69	0				0	0	0	12	
12030	364	124	0	0	0	0	0	0	561	150		0	0	25	1017	271	0	47		0	0		0	20	0		0	0	0	0	0	0			0	0	93	3	170	0			0	1	59	7	14	59	0	0	0	0		61	76	31	23	
12142	0	0	0	0	0	0	0	0	27	0			0	21	44	0	0	20											0	0	0	0			11	1	0	0	0	0			0	0	0	0	0	0	0	0				0	0	13	5	
12245	0	0	0	0	0	0	0	0	0	0			0	0	102	0	0	0											0	0	0	0			0	0	0	0	102	0			0	0	0	0	0	0	0	0				0	0	0	0	
12311	276	0	4065	1217					33844		8223	0	0	1690	196459		0	3035	44955	0	0	0	0	10	0	0	0	0	18940	7585	15983	4071	0	0	0	0	4861	598	37637	11475		1744	4491	410	15981	769	9234	1464	32976	2735	431	310	1548	10374	5327	3792	621	
12647	0	0	0	0	0	0	0	0	0	0			0	0	141	0	0	0						0				0	0	0	0	0			0	0	0	0	37	0			0	0	102	0	0	0	0	0				0	0	2	0	
12656	0	0	0	0	0	0	0	0	5	0			0	0	5	5	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	3	0	2	
12937	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12946	0	0	0	0	0	0	0	0	43	0		0	0	0	492	59	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	1	0	1	0			300	0	0	0	0	0	0	0	0	0		32	2	100	40	
12955	0	0	0	0	0	0	0	0	5	2			0	0	1	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	3	0	0	0	0				0	0	1	0	
13037	0	0	0	0	0	0	0	0	11	7			0	2	9	0	0	3											0	0	0	0			1	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	5	0	
13103	0	0	0	0	0	0	0	0	40	4		0	0	0	111	21	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		72	36	18	0	
13251	0	0	0	0	0	0	0	0	2	1			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	0	0	
13457	0	0	0	0	0	0	0	0	19	0			0	19	0	0	0	0						0				19	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14052	0	0	0	0	0	0	0	0	2	0			0	1	61	1	0	11											0	0	0	0			0	0	0	0	30	0	0		0	0	0	0	0	0	19	0				0	1	0	0	
14155	27	0	0	0	0	0	0	0	65	31			0	25	126	0	0	45						39				17	0	0	0	0			0	0	0	0	52	0			0	0	0	0	0	0	0	0				0	0	2	9	
14650	0	0	0	0	0	0	0	0	2	0			0	0	1	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	2	
14753	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14865	0	0	0	0	0	0	0	0	1	0			0	0	1	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	1	0	0	0	0	0	0				1	0	0	0	
14977	0	0	0	0	0	0	0	0	0	0			0	0	3	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	0	0	0	
16458	0	0	0	0	0	0	0	0	3	0			0	2	6	0	0	2											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				4	1	0	0	
16551	0	0	0	0	0	0	0	0	21	3			0	0	121	8	0	0											0	0	0	0			0	0	0	0	107	0			0	0	0	18	0	0	0	0				2	0	4	0	
16748	0	0	0	0	0	0	0	0	4	0			0	0	5	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				4	0	1	4	
16944	0	0	0	0	0	0	0	0	1	1			0	0	1	1	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
16953	0	0	0	0	0	0	0	0	4	1			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	3	
17110	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
17147	9	67	955	0	0	1	0	0	1726	557		0	0	89	9361	1065	0	2		0	0		0	2	0		0	84	0	0	297	23			0	6	295	154	631	423			672	21	2015	78	1609	64	1088	91	0	0		180	203	415	77	
17259	0	0	0	0	0	0	0	0	5	0			0	5	15	0	0	15											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
17464	0	0	0	0	0	0	0	0	557	204		0	0	0	10270	2200	0	3484		0	0		0	0	0		0	0	168	3	441	2			25	1	0	78	181	75			24	83	1951	87	215	28	1097	21	0	0		0	1	577	52	
17950	25	0	0	0	0	0	0	0	21	0			0	17	674	0	0	0						0				17	0	0	0	0			0	0	0	0	0	0			0	0	649	0	0	0	0	0				0	3	0	1	
18050	0	0	0	0	0	0	0	0	19	1		0	0	0	122	5	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	78	0	0	0	0	0		10	4	29	14	
18135	0	0	0	0	0	0	0	0	11	0			0	0	78	0	0	0											0	0	11	0			0	0	0	8	0	47			0	0	0	0	0	0	0	0				0	0	20	3	
18377	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
18827	0	0	0	0	0	0	0	0	13	1		0	0	0	93	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	86	0			0	0	0	0	0	5	0	0	0	0		7	7	0	0	
18836	0	0	0	0	0	0	0	0	25	0			0	0	88	0	0	0											0	0	0	0			0	0	0	1	39	5			25	0	0	0	0	0	0	0				9	12	10	12	
18854	0	0	0	0	0	0	0	0	2	1			0	0	18	9	0	0						0				0	0	0	0	0			0	0	0	0	3	0			0	0	0	0	0	0	0	0				0	0	6	1	
18957	0	0	0	0	0	0	0	0	1	0			0	0	139	130	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				9	1	0	0	
19356	0	0	0	0	0	0	0	0	16	13			0	0	16	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				2	0	14	3	
19730	0	0	502	0	0	0	0	0	1096	2		0	0	33	8984	527	0	30		0	0		0	0	0		0	0	0	0	99	3			0	0	0	230	1028	66			2664	551	2173	0	1738	178	151	99	0	0		6	0	0	0	
19936	0	0	0	0	0	0	0	0	8	0			0	0	870	0	0	0											0	0	0	0			0	0	0	0	0	0			674	0	0	5	190	0	0	0				0	0	6	3	
19972	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				0	0	0	0	
20053	0	0	0	0	0	0	0	0	194	0			0	0	49	0	0	0						0				0	0	0	0	0			3	3	0	0	0	0			0	67	0	0	46	124	0	0				0	0	0	0	
20370	0	0	103	0	0	0	0	0	645	10			0	0	2264	32	0	0											0	0	0	0			0	0	33	3	1013	539			17	0	321	488	0	38	239	72				0	1	0	0	
20512	0	0	0	0	0	0	0	0	55	1			0	0	52	0	0	0											0	0	0	0			0	0	0	0	13	0			0	0	0	0	36	0	0	0				1	1	2	53	
20633	0	0	0	0	0	0	0	0	2	2		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
20857	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21256	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21359	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
21630	0	0	0	0	0	0	0	0	0	0			0	0	2	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	0	
21658	0	0	0	0	0	0	0	0	6	1			0	0	9	0	0	0						0				0	0	0	0	0			9	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	5	
22048	0	0	0	0	0	0	0	0	38	15			0	19	31	25	0	1						0				0	0	0	0	0			0	0	1	0	1	0			0	0	0	0	0	0	0	0				0	2	4	1	
22356	0	0	0	0	0	0	0	0	5	5			0	0	220	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	220	0	0	0	0	0				0	0	0	0	
22459	0	0	0	0	0	0	0	0	18	10			0	0	9	0	0	0											0	0	0	2			0	0	0	0	0	0			0	0	0	0	0	0	0	0				8	3	1	3	
22543	0	0	0	0	0	0	0	0	1	1			0	0	15	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	14	0	0	0				0	0	1	0	
22552	0	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	0	0	
22730	0	0	0	0	0	0	0	0	3	0			0	0	13	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	1	12	2	
22936	0	0	0	0	0	0	0	0	25	11		0	0	4	546	0	0	6		0	0		0	0	0		0	0	0	0	19	2			0	0	1	1	511	0			0	0	0	1	0	0	0	0	0	0		8	2	2	3	
22954	0	0	0	0	0	0	0	0	0	0			0	0	1	0	0	0						0				0	0	0	0	0			0	0	0	0	1	0	0		0	0	0	0	0	0	0	0				0	0	0	0	
23045	0	0	0	0	0	0	0	0	5	1			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	4	0	0	
23241	0	0	104	0	0	577	0	0	1157	117		0	0	54	21023	2133	0	139		0	0		0	0	0		0	1	0	0	379	6			0	1	26	5	2738	320			5173	5	3209	117	1409	1	4999	167	0	0		49	21	371	60	
23456	0	0	0	0	0	0	0	0	3	2			0	0	72	55	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				17	1	0	0	
23504	0	0	0	0	0	0	0	0	17	11		0	0	0	199	21	0	0		0	0		0	0	0		0	0	0	0	88	2			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	90	4	
23540	0	0	0	0	0	0	0	0	4	3			0	0	1211	0	0	0											0	0	0	0			0	1	0	0	953	258			0	0	0	0	0	0	0	0				0	0	0	0	
23643	0	0	0	0	0	0	0	0	59	0			0	2	158	10	0	11											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	90	0				47	57	0	0	
23755	0	0	0	0	0	0	0	0	3	0			0	0	164	25	0	0											0	0	0	0			0	0	0	0	0	136			0	0	0	0	0	0	0	0				0	1	3	2	
24006	0	0	0	0	0	0	0	0	34	32		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	2	0	0	
24453	0	0	80	0	0	0	0	0	23	23		0	0	0	550	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	160	0			0	0	56	0	0	0	0	0	0	0		0	0	254	0	
24659	0	0	0	0	0	0	0	0	9	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	3	0	0	0			0	0	0	0	0	0	0	4				0	0	0	2	
24668	0	0	0	0	0	0	0	0	10	0			0	6	31	10	0	15											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	1	0	0				1	0	5	3	
24855	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
24949	0	0	0	0	0	0	0	0	34	5		0	0	0	439	83	0	0		0	0		0	0	0		0	0	0	0	0	0			12	1	4	1	0	0			36	0	97	0	0	0	171	9	0	0		12	10	28	4	
25357	0	0	0	0	0	0	0	0	2	0			0	2	7	0	0	3											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	4	0	
25647	0	0	0	0	0	0	0	0	0	0			0	0	59	59	0	0											59	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
26149	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
26242	0	0	0	0	0	0	0	0	86	0		0	0	0	151	0	0	0		0	0		0	0	0		0	0	0	0	0	0			10	2	10	0	31	0			40	0	0	0	0	0	0	0	0	0		3	3	67	71	
26457	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
26765	0	0	137	0	0	0	0	0	72	47			0	2	339	147	0	0											0	0	0	0			0	0	0	0	14	0			0	0	0	0	0	16	0	0				35	1	6	6	
26859	0	0	0	0	0	0	0	0	9	6		0	0	0	1733	479	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	557	0			48	3	643	0	0	0	0	0	0	0		0	0	6	0	
27548	0	0	0	0	0	0	0	0	40	9		0	0	0	859	120	0	0		0	0		0	0	0		0	0	0	0	46	2			0	0	2	1	410	18			22	0	2	0	0	3	202	1	0	0		39	22	0	0	
27614	0	0	0	0	0	0	0	0	74	0			0	0	106	59	0	0											0	0	0	0			0	0	0	73	0	47			0	0	0	0	0	0	0	0				0	0	0	1	
27847	20	0	0	0	0	0	0	0	22	7		0	0	0	1195	537	0	344		0	0		0	0	0		0	0	0	0	0	0			0	0	5	0	171	46			0	0	0	0	0	0	0	0	0	0		0	0	77	10	
28152	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
28255	0	0	0	0	0	0	0	0	8	0			0	5	30	2	0	6						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	22	3	
