"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
16458	0	4011					801	42549	79211					65			41656	14963	0	0	0									
16551	0	0					2096	826	13681					9000			826	11293	0	0	0									
16748	0	0					293	8813	10318					0			8813	0	0	0	0									
16944	0	0					0	0	16146					0			0	9812	0	0	0									
16953	0	0					0	2365	9111					0			2365	0	0	0	0									
17110	100	0					219	100	19860					0			0	0	19860	0	0									
17147	0	0					33801	310484	572284					183762			12260	239821	0	0	115684									
17259	0	486					369	3	26947					3500			0	12426	0	0	0									
17464	0	0					10472	1806	126602					186000			1806	0	474	0	0									
17950	0	0					1007	168	113931					94			150	30452	0	0	0									
18050	0	0					716	16637	92272					612			16637	6312	0	0	0									
18135	0	0					1501	14927	39320					26095			1930	20944	0	0	11838									
18377	0	0					133	0	8683					0			0	0	0	0	0									
18827	0	0					1011	0	58526					0			0	17388	12994	0	0									
18836	0	0					851	0	9651					3892			0	886	29	0	0									
18854	0	301					617	0	12256					0			0	970	0	0	0									
18957	0	0					259	0	4419					1008			0	535	0	0	0									
19356	0	0					162	0	28995					2084			0	4999	0	0	0									
19730	0	0					18195	4997	156267					41975			2545	0	2204	0	0									
19936	0	0					768	7525	21209					0			1372	1091	0	0	4775									
19972	0	0					193	17723	0					0			12796	0	0	0	0									
20053	0	0					503	0	11218					1707			0	190	203	0	0									
20370	0	0					477	0	5474					5039			0	948	0	0	0									
20512	0	0					961	456	39991					0			250	14007	0	0	0									
20633	0	1028					1346	6483	66383					6000			0	12391	839	0	0									
20857	0	0					529	0	111760					5540			0	71127	0	0	0									
21256	0	0					87	0	627					0			0	0	0	0	0									
21359	0	0					114	0	4181					327			0	2377	0	0	0									
21630	0	0					380	0	43854					4211			0	5610	0	0	2188									
21658	0	0					442	0	34928					485			0	5538	0	0	0									
22048	0	0					815	0	46119					16517			0	2492	0	0	5647									
22356	0	0					3257	0	176786					20930			0	49425	20	0	15294									
22459	0	0					765	0	17271					5016			0	4553	0	0	0									
22543	0	6004					196	0	8596					0			0	1708	884	0	0									
22552	0	0					195	286	5321					0			286	675	0	0	0									
22730	0	0					346	0	29061					0			0	12630	0	0	3675									
22936	0	0					1167	0	14375					3702			0	0	0	0	0									
22954	0	0					1301	0	18929					7294			0	6744	66	0	0									
23045	0	0					211	530	27523					0			530	0	0	0	0									
23241	0	18637					20337	0	511785					156474			0	20945	2711	0	101526									
23456	0	0					434	217	21891					31			0	11111	0	0	0									
23504	0	0					1284	141348	325964					0			60275	47082	0	0	16332									
23540	0	0					625	15285	29075					0			300	20598	0	0	0									
23643	0	0					267	300	41872					0			300	12169	0	0	0									
23755	0	0					798	0	27837					0			0	12299	0	0	0									
24006	0	1018					1161	253446	86302					0			12485	5606	0	0	0									
24453	0	0					3345	0	11875					34347			0	0	0	0	0									
24659	0	0					0	903	0					0			305	0	0	0	0									
24668	0	0					869	0	64411					4000			0	54482	0	0	6447									
24855	0	0					29	0	0					0			0	0	0	0	0									
24949	0	18741					3167	0	36029					3100			0	17288	0	0	2024									
25357	0	0					3965	60081	6307					9000			0	973	0	0	0									
25647	200	6999					0	1918	7459					0			1718	208	0	0	0									
26149	0	0					0	0	39437					0			0	9399	0	0	704									
26242	0	0					1993	0	81946					0			0	51921	0	0	8471									
26457	0	0					0	0	5338					0			0	507	0	0	0									
