"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	PB/PSA FDIC CERTIFICATE NUMBER	
899156																0	3079	406	265	1	26047	3318	1407	3	30838	40			0	0	0	0	0	0	0	0	0	885	1		
899343																0	18705	1047	1080	3	241962	22824	86153	132	347900	0			0	0	0	0	0	0	0	0	0	22962	33		
899370																0	17990	1269	848	3	107167	8379	6734	16	132739	0			0	0	0	0	0	0	0	0	0	490	1		
899428																0	28036	916	1069	4	343659	34953	105581	108	478345	0			21	48	48	0	0	0	0	0	10210	6546	12		
899642																0	7799	554	0	0	147094	12180	46003	83	200895	0			0	0	0	0	0	0	0	0	0	5304	13		
899651																0	7171	233	1242	4	64522	6384	16974	35	89909	0			0	0	0	0	0	0	0	0	0	2534	8		
899736																0	9443	702	725	1	183904	17431	92612	90	286690	6			0	0	0	0	0	0	0	0	0	8430	15		
899754																0	2500	256	0	0	48916	6014	7793	13	59211	0			0	0	0	0	0	0	0	0	0	0	0		
900034																0	10761	429	776	3	150314	27871	73403	101	235254	0			0	0	0	0	0	0	0	0	0	28672	48		
900146																0	20636	1053	286	1	201660	20655	64998	84	287580	0			0	0	0	0	0	0	0	0	2925	3212	7		
900258																0	656	39	0	0	20316	2350	4787	4	25759	0			0	0	0	0	0	0	0	0	0	2417	2		
900306																0	14405	941	1427	5	355790	22167	153958	245	525580	0			0	0	0	0	0	0	0	0	9349	19150	42		
900454															254501	0	31034	1966	2864	6	638400	56352	417187	572	1089486	0	1077222	0	0	0	0	0	0	0	0	0	10241	97767	152		
900502																0	18917	1264	287	1	196934	33889	17382	33	233520	0			0	0	0	0	0	0	0	0	0	718	2		
901134																0	4356	325	0	0	138260	12591	16993	42	159609	0			0	0	0	0	0	0	0	0	323	5941	13		
901358																0	4515	573	0	0	101530	9207	35411	53	141456	0	138621	0	0	0	0	0	0	0	0	0	484	15053	17		
901451																0	1053	58	0	0	30797	1871	5614	15	37464	0			0	0	0	0	0	0	0	0	0	2902	8		
901938																0	31226	1165	270	1	343268	27193	100185	85	474949	0	472234	0	0	0	0	0	0	0	0	0	0	6253	13		
902645																0	3163	151	312	1	14713	1683	4201	4	22389	0			0	0	0	0	0	0	0	0	0	2729	1		
902672																0	25816	843	2882	8	204842	16493	35044	72	268584	0			0	0	0	0	0	0	0	0	0	1863	4		
903062																0	1996	177	0	0	25349	3248	8271	14	35616	0			0	0	0	0	0	0	0	0	0	659	2		
903240																0	15780	567	3384	9	130550	10133	16318	33	166032	0			0	0	0	0	0	0	0	0	0	989	3		
903455																0	8428	352	1068	3	74878	9692	23348	36	107722	0			0	0	0	0	0	0	0	0	0	1492	4		
903558																0	919	36	0	0	26868	1461	28432	36	56219	0			0	0	0	0	0	0	0	0	0	6217	12		
903754																0	5689	506	0	0	32377	4895	9346	8	47412	0			0	0	0	0	0	0	0	0	1677	3069	6		
903950																0	4439	313	0	0	81125	6951	47896	50	133460	0			0	0	0	0	0	0	0	0	0	9110	12		
904171																0	23244	891	1777	6	169270	16813	27539	61	221830	0			0	0	0	0	0	0	0	0	0	4345	10		
904359																0	12598	475	591	2	113048	13653	22795	38	149032	0			0	0	0	0	0	0	0	0	0	0	0		
904425																0	25296	826	1040	4	126083	10492	19373	58	171792	0	173398	0	0	0	0	0	0	0	0	0	0	2154	6		
904667																0	1585	210	0	0	91845	6974	33023	67	126453	0			0	0	0	0	0	0	0	0	0	18189	32		
904845																0	7785	291	1148	3	62817	6899	16594	26	88344	0			0	0	0	0	0	0	0	0	0	4236	5		
905356																0	2522	71	0	0	31185	3358	6760	12	40467	0			0	0	0	0	0	0	0	0	0	795	3		
906063																0	27232	698	3252	10	502270	44122	217214	307	749969	0			0	0	0	0	0	0	0	0	0	26312	49		
906241																0	24084	815	1187	3	263417	21343	99652	106	388340	0			0	0	0	0	0	0	0	0	0	8976	15		
906410																0	11666	806	0	0	79554	7800	6249	15	97469	0			0	0	0	0	0	0	0	0	0	1887	4		
906559																0	4221	174	0	0	110476	6667	38857	72	153554	0			0	0	0	0	0	0	0	0	0	7010	15		
906652																0	2467	154	0	0	32920	4292	26396	22	61783	0			0	0	0	0	0	0	0	0	0	3833	8		
907257																0	4961	384	302	1	68520	4344	14062	26	87845	0			0	0	0	0	0	0	0	0	0	3344	4		
907444																0	3930	273	1032	3	63094	6295	17588	39	85644	0			0	0	0	0	0	0	0	0	0	2134	5		
907547																0	11556	726	513	1	159991	19195	24962	62	197022	0			0	0	0	0	0	0	0	0	0	6347	13		
907958																0	3983	238	0	0	88106	6563	31233	61	123322	0			0	0	0	0	0	0	0	0	0	8219	17		
908450																0	1762	242	0	0	89477	6573	55430	64	146669	0	141758	0	0	0	0	0	0	0	0	0	0	23190	25		
908553																0	13664	812	255	1	230283	22734	45006	57	289208	0			0	0	0	0	0	0	0	0	1208	27979	43		
908861																0	5375	251	256	1	102474	12124	40395	65	148499	0	148716	0	0	0	0	0	0	0	0	0	7136	7714	17		
909055																0	25263	967	1137	4	243320	25896	65792	115	335513	0			0	0	0	0	0	0	0	0	0	6855	15		
