"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	17431	0	0	27514	0	512	100	1363	86832	69459	275	69734	0	1014	0	0	0	17098	1200	86832	0	0	12312	0	0	3500	0	16100	53359	1	1231	0	40926	39912	86	0	0	0	0	17098	
242																																							300	1145	0	0	9965	0	300	0	514	34981	26587	32	30716	0	171	0	4097	0	4265	120	34981	0	0	4020	0	0	120	0	5870	20717	4	1231	0	20821	20650	5	2107	0	0	0	4265	
279																																							3518	2232	39	43593	14726	264	6378	33	3288	150930	104786	569	127447	0	444	0	22092	0	23483	1	150930	0	0	22985	0	0	0	0	6818	97968	1	1231	0	74728	74284	497	2575	0	0	0	23483	
354																																							99	307	0	0	5825	0	38	0	182	10656	9651	13	9664	0	189	0	0	0	991	25	10655	0	0	462	0	0	500	0	2427	7224	4	1231	0	4169	3980	4	225	0	0	0	991	
457																																							1222	1687	0	177	0	0	101	0	1212	36133	30108	130	32738	0	415	0	2500	0	3395	60	36133	0	0	895	0	0	2440	0	2890	27218	4	1231	0	32149	31734	0	0	0	0	0	3395	
505																																							74891	1235	117	0	82843	0	4396	1192	10664	405905	328201	2575	376276	54	4641	1595	45500	0	29575	6480	405905	0	0	13697	0	0	10653	0	46482	281719	2	1231	0	233613	228972	-1255	0	0	0	0	29629	
1155																																							21608	5984	0	127	26007	0	4302	2839	7268	206613	173916	1922	188597	0	2511	0	0	0	18016	1600	206613	0	0	11073	0	0	4900	0	15836	158080	5	1231	0	140989	138478	443	0	0	0	12759	18016	
1351																																							0	2758	0	67706	4812	0	1008	267	1733	156314	134744	607	135351	0	1186	0	0	0	20963	240	156314	0	0	20131	0	0	530	0	12873	121871	4	12 31	0	70372	69186	62	8844	0	0	0	20963	
1454																																							48136	12590	0	0	217448	0	4562	0	10424	504921	455533	1042	456575	0	3565	0	0	0	48346	1000	504921	0	0	46184	0	0	1214	657	111869	343664	2	1231	0	214669	211104	-52	0	0	0	0	48346	
1557																																							1990	1511	0	12152	5145	0	257	0	1255	59039	51376	576	53649	0	481	0	1697	0	5390	200	59039	0	0	4142	0	0	1000	0	11791	39585	4	1231	0	33990	33509	48	3220	0	0	0	5390	
1669																																							19468	7570	821	73606	49523	0	1602	100	10257	245562	201491	651	202390	0	2618	0	248	0	43172	800	245562	0	0	40772	0	0	800	0	39114	162377	4	1231	0	81699	79081	800	3534	0	0	0	43172	
1829																																							56134	5055	449	0	78505	0	3839	121	8185	411754	341940	1551	370168	0	3803	8144	24255	0	41586	390	411754	0	0	37498	0	0	3100	0	69587	272353	2	1231	0	255125	251322	598	0	0	0	2422	41586	
1856																																							47958	180	0	14814	59079	0	411	0	3717	163771	89288	348	143636	0	628	98	54000	0	20135	500	163771	0	0	2204	0	0	17782	0	2117	87171	4	1231	0	38142	37514	-351	0	0	0	0	20135	
2040																																							1594	2126	0	0	44022	0	3286	5	7120	206380	162233	790	186162	0	3222	0	20000	0	20218	480	206380	0	0	15277	0	0	4270	245	12334	149899	4	1231	0	142796	139574	191	8408	0	0	3139	20218	
2161																																							9039	15273	0	1	26570	0	2007	22	4500	128023	112619	1799	114418	0	593	0	0	0	13605	1000	128023	0	0	10890	0	0	1253	0	26967	85652	8	1211	0	58334	57741	462	12870	0	0	0	13605	
2376																																							7936	13792	0	49307	690792	0	14786	7119	109936	2526633	1349815	33213	2121219	65	24330	0	562859	0	405349	500	2526633	0	0	419956	1449	0	17127	9484	72166	1277649	2	0630	-29114	1646362	1622032	-3120	0	0	175332	0	405414	
2554																																							4170	199	0	673	510	0	105	0	161	11127	9970	32	10002	0	80	289	0	0	1126	50	11128	0	0	102	0	0	975	0	2639	7331	9	1231	0	4978	4898	-1	122	0	0	0	1126	
2732																																							40323	20019	1112	0	76125	0	5023	1445	5702	518391	441581	2203	443998	0	5473	0	214	0	74393	0	518391	0	0	67801	0	0	5789	0	77880	363701	2	1231	0	374115	368642	803	0	0	0	0	74393	
2750																																							204	690	0	0	16585	0	289	176	2481	57201	46520	241	51961	0	652	0	5200	0	5240	83	57201	0	0	5277	0	0	93	0	3468	43052	4	1231	0	34074	33422	-213	3354	0	0	0	5240	
3252																																							1568	4374	0	100	62578	0	795	0	3435	148228	123353	238	129891	0	1517	0	3500	0	18336	200	148227	0	0	17524	0	0	300	0	14119	109234	4	1231	0	76895	75378	312	0	0	2800	0	18336	
3458																																							7349	2467	0	2827	7196	0	343	180	608	34356	27191	101	31087	0	307	0	0	0	3269	100	34356	0	0	2014	0	0	1101	0	3017	24174	5	1231	0	13656	13349	54	37	0	0	3795	3269	
3720																																							17068	4637	0	3938	44145	0	3339	159	6041	190989	152438	1554	163334	0	1471	0	5273	0	27655	2400	190989	0	0	13890	0	0	10800	100	18722	133716	1	1231	0	113033	111562	565	0	0	0	4069	27655	
3953																																							2121	1792	0	0	4	0	3408	2737	2894	118959	107787	1103	110485	0	2768	0	1595	0	8474	500	118959	0	0	4294	0	0	3680	9467	24767	83020	4	1231	0	99304	96536	0	0	0	0	0	8474	
4156																																							92	4006	0	0	32202	0	7434	45	8038	189039	152544	683	169133	0	2066	1783	15000	0	19906	1200	189039	0	0	11386	0	0	6657	0	22342	130202	4	1231	0	126720	124654	663	10785	0	0	906	19906	
4231																																							0	9430	0	0	35877	0	960	3207	1917	128035	113426	620	114046	0	787	0	0	0	13989	500	128035	0	0	1933	0	0	12100	0	17691	95734	1	1230	0	77431	76644	-544	0	0	0	0	13989	
4437																																							15597	4489	0	630	78154	0	5549	2241	8463	262118	228525	1027	236445	0	3223	0	4050	0	25673	963	262118	0	0	20385	0	0	3750	0	23825	204700	2	12/31/2011	0	150215	146992	575	3	0	0	2843	25673	
4839																																							408	3929	0	0	48216	101	5918	7024	4627	312107	257142	1241	281814	0	4466	0	19000	0	30292	1875	312106	0	0	15615	0	0	12929	0	38602	218540	2	1231	0	242550	238084	-127	3800	0	0	4431	30292	
5005																																							48594	3930	656	278	46720	0	6912	8435	19347	366819	283762	4188	343235	0	1832	2646	55285	0	23584	0	366819	0	0	-254	0	0	23121	0	30908	252854	1	0331	0	230719	228887	717	414	0	0	0	23584	
5069																																							52920	1800	0	0	29807	0	17899	9315	8361	489104	353648	4594	358242	0	20468	0	0	0	130862	4500	489104	0	0	121497	0	0	4128	0	16217	337431	1	1231	0	389470	369002	737	0	0	0	0	130862	
5135																																							37270	3768	0	0	24060	0	4952	403	10487	319009	259548	972	281329	0	3525	1042	20809	0	37680	651	319009	0	0	17633	0	0	19349	0	31534	228014	1	1231	0	240552	237027	47	0	0	0	0	37680	
5210																																							26427	11968	0	10041	191337	0	13837	2729	53277	960617	761576	7160	878971	0	14335	0	79961	0	81646	4798	960617	0	0	70433	0	0	5455	112	60160	701416	2	1231	0	665224	650889	960	0	0	0	30274	81646	
5331																																							3143	3946	0	0	234481	0	12661	421	10501	406846	225381	2017	374660	0	1936	0	50187	0	32186	2580	406846	0	0	17429	0	0	16610	0	43286	182095	2	1231	0	143629	141693	-4433	0	0	5000	92075	32186	
5461																																							16423	13410	181	0	64542	659	11770	763	12400	470719	404153	3475	423228	0	4161	0	15600	0	47491	2059	470719	0	0	39961	0	0	4241	0	118186	285967	1	1231	0	354732	350571	1230	0	0	0	0	47491	
5751																																							0	1325	0	0	63075	0	213	51	3813	118182	89702	650	92852	0	1040	0	2500	0	25330	600	118182	0	0	22715	0	0	700	0	7425	82277	9	1231	0	50535	49495	1315	210	0	0	0	25330	
6039																																							14817	2047	0	0	5366	0	1480	2283	2773	83709	74592	322	74914	0	1301	0	0	0	8795	469	83709	0	0	2696	0	0	5600	0	17437	57155	1	1231	0	55644	54343	30	600	0	0	0	8795	
6141																																							0	4925	0	13756	0	0	173	30	661	54941	50006	94	50100	0	428	0	0	0	4841	400	54941	0	0	541	0	0	3900	0	14589	35417	1	1231	0	23174	22746	0	12650	0	0	0	4841	
6329																																							28627	22324	0	0	40463	0	16015	5975	14825	477280	440372	2530	442902	0	9997	0	0	0	34378	2600	477280	0	0	11970	0	0	19400	0	114295	326077	2	1231	0	357481	347484	408	1567	0	0	0	34378	
6972																																							1108	10886	250	172929	96779	0	33481	925	21806	834616	705373	8744	748117	0	17100	0	34000	0	86500	2600	834617	0	0	3787	0	0	85186	1225	154702	550670	2	1231	0	512327	495227	-5073	0	0	0	0	86500	
