"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								1480										
242								1288										
279								3170										
354								236										
439								6979										
457								910										
505								10502										
1146								20889	5136	0	0	0	1035	6161	0	6161	8557	
1155								5415										
1351								1761										
1454								22168										
1557								1854										
1632								8246										
1669								12716										
1829								13365										
1856								818										
2040								3396										
2161								11303										
2376								9036	0	0	0	0	3002	5935	0	5935	99	
2451								196										
2554								756										
2732								14024	3280	0	0	0	3929	5160	0	5160	1655	
2750								1036										
2938								14166										
2956								2896										
3252								6343										
3458								4301										
3506								39126	13953	85	0	85	6328	15817	0	15817	2943	
3579								8115										
3720								6347										
3953								3431										
4138								8482										
4147								2022										
4156								3278										
4231								5033										
4437								5754										
4745								518										
4839								6590										
5005								5429										
5050								7056										
5069								1437										
5135								4765										
5210								27598	10685	0	0	0	7422	6284	0	6284	3207	
5247								20537	43	0	0	0	6616	11328	0	11328	2550	
5274								9724										
5331								9037										
5461								21821										
5751								1501										
5939								70540	36068	131	0	131	8864	14605	0	14605	10872	
6039								3565										
6057								655										
6141								2767										
6329								9384										
6972								47111	3310	0	0	0	6870	31022	0	31022	5909	
7009								8935	1	5000	5000	0	10	3899	0	3899	25	
7045								4640										
7157								2301										
7166								12169	9551	0	0	0	2157	434	0	434	27	
7456								1186										
7634								2166										
8033								2996										
8417								1055689	0	0	0	0	0	987789	0	987789	67900	
8462								4489										
