"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
37	938	45	29	0	909	45	0	0	0	0	
242	132	0	4	0	128	0	0	0	0	0	
279	346	0	0	0	352	6	0	0	0	0	
354	138	0	3	0	135	0	0	0	0	0	
439	1144	150	2	0	1005	13	0	0	0	0	
457	198	6	0	0	192	0	0	0	0	0	
505	2154	75	38	0	2056	15	0	0	0	0	
1146	2935	90	27	0	2890	72	0			0	
1155	1405	45	24	0	1345	9	0	0	0	0	
1351	393	15	7	0	380	9	0	0	0	0	
1454	836	20	14	0	828	26	0	0	0	0	
1557	406	25	1	0	380	0	0	0	0	0	
1632	2811	195	49	0	2618	51	0	0	0	0	
1669	1553	55	14	0	1528	44	0	0	0	0	
1829	2229	150	2	0	2088	11	0	0	0	0	
1856	109	0	0	0	109	0	0	0	0	0	
2040	1305	60	17	0	1238	10	0	0	0	0	
2161	497	15	1	0	511	30	0	0	0	0	
2376	6164	0	0	0	6164	0	0	0	0	0	
2451	137	10	0	0	131	4	0	0	0	0	
2554	49	6	0	0	43	0	0	0	0	0	
2732	2649	125	14	0	2525	15	0	0	0	0	
2750	787	8	11	0	776	8	0	0	0	0	
2938	5285	2145	2	0	3340	202	0	0	0	0	
2956	877	14	3	0	875	15	0	0	0	0	
3252	1208	40	47	0	1224	103	0	0	0	0	
3458	345	0	3	0	342	0	0	0	0	0	
3506	7226	265	1	0	7206	246	0			0	
3579	1975	122	11	0	1913	71	0	0	0	0	
3720	1106	27	5	0	1078	4	0	0	0	0	
3953	997	150	8	0	844	5	0	0	0	0	
4138	1027	105	9	0	974	61	0	0	0	0	
4147	449	30	1	0	466	48	0	0	0	0	
4156	1299	58	24	0	1325	108	0	0	0	0	
4231	707	15	25	0	691	24	0	0	0	0	
4437	1073	90	8	0	1036	61	0	0	0	0	
4745	57	1	0	0	61	5	0	0	0	0	
4839	1793	135	11	0	1745	98	0	0	0	0	
5005	1272	35	0	0	1238	1	0	0	0	0	
5050	551	45	8	0	549	51	0	0	0	0	
5069	5584	90	0	0	5494	0	0	0	0	0	
5135	1659	35	9	0	1664	49	0	0	0	0	
5210	3849	60	12	0	3837	60	0	0	0	0	
5247	2253	45	10	0	2253	55	0	0	0	0	
5274	717	23	8	0	689	3	0	0	0	0	
5331	787	0	85	0	624	1	79	0	0	0	
5461	1754	0	6	0	1752	4	0	0	0	0	
5751	830	23	0	0	807	0	0	0	0	0	
5939	27795	648	427	0	27987	1267	0	0	0	0	
6039	1020	75	7	0	940	2	0	0	0	0	
6057	166	4	3	0	176	17	0	0	0	0	
6141	240	15	14	0	316	105	0	0	0	0	
6329	2209	150	26	0	2615	582	0	0	0	0	
6972	6236	100	17	0	6257	138	0	0	0	0	
7009	0	0	0	0	0	0	0	0	0	0	
7045	746	45	6	0	714	19	0	0	0	0	
7157	200	0	1	0	199	0	0	0	0	0	
7166	4406	300	6	0	4100	0	0	0	0	0	
7456	415	0	0	0	415	0	0	0	0	0	
7634	628	45	8	0	616	41	0	0	0	0	
8033	644	0	28	0	617	1	0	0	0	0	
8417	424	-9	0	0	433	0	0	0	0	0	
8462	350	20	6	0	336	12	0	0	0	0	
8547	3670	310	69	0	3684	393	0	0	0	0	
8631	322	18	13	0	333	42	0			0	
9115	9063	525	22	0	8644	128	0	0	0	0	
9160	1219	10	1	0	1210	2	0	0	0	0	
9357	2979	135	3	0	2842	1	0	0	0	0	
9553	492	0	1	0	491	0	0	0	0	0	
9807	36402	875	53	0	35475	1	0	0	0	0	
9955	437	0	37	0	407	7	0	0	0	0	
10157	585	0	14	0	589	18	0	0	0	0	
10250	1886	140	93	0	1735	82	0	0	0	0	
10849	1689	0	0	0	1689	0	0	0	0	0	
10858	6444	2509	25	0	5483	1573	0	0	0	0	
11145	1312	120	17	0	1197	22	0	0	0	0	
11640	1255	107	39	0	1163	54	0	0	0	0	
11837	1264	0	54	0	1213	3	0	0	0	0	
12030	4778	375	1012	0	3505	114	0	0	0	0	
12058	1134	237	37	0	1076	216	0	0	0	0	
