"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	TOT LNS & LEASES RESTRUCTURED	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-CONSTRUCTION & LAND DEV	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	R.E. LOANS NON-FARM. NON-RES. PROP	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	TOT LNS & LEASES RESTRUCTURED	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	
37																															0	45	1169	0	5799		65		109	0			1082	0	9590	0	592	40622	0	0			0	22120	51	0	9566	1048	1531	8255	6058	5019	65	1986	5066	6596	3125	1440	217								0	0		0	
242																															0	0	2261	0	3253		5		2116	0			1062	101	2761	0	0	18325	0	0			0	6668	98	0	4167	261	510	4095	1548	254	0	2773	5265	1820	1633	166	0								0	0		0	
279																															0	885	83	108	3859		57		195	0			437	3	2158	0	0	27835	25	341			8	19163	571	555	1949	1	154	253	335	5961	12459	1089	930	1153	1165	3760	600								0	0		0	
354																															0	0	911	0	89		0		859	0			316	0	1044	0	0	4471	0	0			0	1252	0	1120	1080	51	1083	9	0	0	0	289	1688	423	609	93	0								0	0		0	
439																															0	3307	13495	42	33356		0		1446	0			19063	0	8555	0	2706	107184	0	0			0	23834	1380	977	39974	1483	4059	10230	5862	1550	27	24609	14042	29140	11101	2827	1387								0	0		0	
457																															0	1050	2101	0	1765		27		3924	0			2784	0	3649	0	244	18279	0	0			0	2735	0	2461	8740	175	378	1714	447	21	0	3060	5154	4365	2631	317	0								0	0		0	
505																															0	2598	0	6517	29392		17		0	0			16269	9091	30434	0	2469	163522	5632	0			166	70500	979	5914	18131	141	2843	1679	2485	33530	29790	27064	9443	14585	21945	15723	7870								305	583		0	
1146																															0	35271	76	5733	53056	0	1042	1042	0	0	34563	0	34563	4774	11606	0	0	263947	8	0	0	0	0	76937	7791	0	134577	48047	5349	10496	7045	1228	4762	35282	31077	78208	38560	2488	0	0	0	0	0	0	0	0	32957	149	0		
1155																															0	8999	526	1124	20429		277		2998	0			30337	1238	6038	0	0	91838	0	0			0	15543	3795	665	33456	1896	1569	3668	6407	764	1239	30408	10389	9740	21223	4170	88								360	174		0	
1351																															0	0	7648	0	5989		71		3949	0			12950	0	8507	0	0	47081	0	115			0	7852	0	7430	39658	1636	5889	145	182	0	0	11370	20763	5390	1296	139	0								0	0		0	
1454																															0	2579	3357	1616	31253		39		3385	0			22808	1412	27691	0	0	128563	140	0			0	28952	3060	1636	20172	3839	1316	2395	4203	16354	845	29210	4104	16961	28691	19603	245								1427	1124		0	
1557																															0	59	3685	0	1773		4		8299	0			1232	0	872	0	0	18977	0	0			0	3053	0	0	6685	198	169	920	1204	344	218	1188	5130	3842	4468	374	490								0	0		0	
1632																															0	9007	3344	7618	77254		2229		5968	0			47461	3571	10497	0	946	206362	0	0			0	35497	2970	5147	63448	7071	8480	14261	3650	360	1675	66906	27832	48243	18389	8782	681								0	0		0	
1669																															0	1184	204	2	5789		137		1992	57			9268	0	10689	0	200	66862	0	0			0	35930	1467	20501	7138	2279	4643	3426	7163	15713	2554	5697	6024	7586	5966	4704	156								0	0		0	
1829																															0	3326	0	9152	30805		59		0	0			25322	11614	2560	0	742	157677	250	17244			0	48820	6781	0	32061	165	150	619	4928	20263	22539	28536	3210	10875	34759	29380	1713								582	920		0	
