"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																							0	1588	0	28736	0	0	643	34	0	1126	78534	64603	0	226	64829	0	1019	0	0	0	13705	1200	78534	0	0	9005	0	3500	0	5523	59080		0	44145	43126	0	3281	0	0	0	
242																																							100	1246	0	0	5949	0	239	0	0	365	28488	22240	0	41	24793	0	158	0	2512	0	3695	120	28488	0	0	3496	0	120	0	3505	18735		0	19572	19414	-41	1175	0	0	0	
279																																							1269	1385	65	58359	23832	245	1397	430	0	2583	125982	77713	0	255	107212	0	433	0	29244	0	18770	0	125982	0	0	18678	0	0	0	2353	75360		0	34885	34452	92	1965	0	0	0	
354																																							0	178	0	0	3226	0	33	0	0	175	7908	6914	0	19	6933	0	182	0	0	0	975	25	7908	0	0	453	0	500	0	1371	5543		0	4290	4108	-3	188	0	0	0	
439																																							0	6307	2712	3447	21096	0	2401	1	0	2504	169639	148184	0	1197	149381	0	1696	0	0	0	20258	596	169639	0	0	10361	0	9404	0	33815	114369		0	128729	127033	-103	4138	0	0	0	
457																																							0	1806	0	1687	0	0	94	0	0	804	27079	23893	0	295	24188	0	322	0	0	0	2891	60	27079	0	0	641	0	2190	0	2927	20966		0	23010	22688	0	0	0	0	0	
505																																							152	7897	213	0	111404	0	4601	0	0	6464	302876	254341	0	1897	280438	53	2214	1594	24200	0	22385	6480	302876	0	0	6176	0	10653	128	43832	210509		0	172637	170423	-925	0	0	0	0	
1146																																							13	18102	591	285	43195	0	22335	24	0	12415	417287	318321	0	6912	383522	0	3359	137	44289	6000	33765	19	417287	0	0	25127	0	8854	30886	71270	247051		0	292663	289304	-235	0	0	8000	0	
1155																																							27	5856	0	4976	31650	0	4680	210	0	5168	153656	116571	0	551	142130	0	1646	0	3000	0	11526	1600	153656	0	0	6518	0	3400	0	12236	104335		0	102735	101089	8	0	0	6400	15608	
1351																																							0	1981	0	33473	2932	0	1037	15	0	1163	102527	88930	0	250	89180	0	720	0	0	0	13347	240	102527	0	0	12645	0	530	0	9602	79328		0	56478	55758	-68	6168	0	0	0	
1454																																							354	18071	97	0	134863	0	3597	0	0	3482	358029	327928	0	808	328736	0	800	0	0	0	29293	1000	358029	0	0	27463	0	1214	1378	85343	242585		0	162487	161687	-384	34500	0	0	0	
1557																																							50	1371	0	1350	9645	0	164	0	0	586	31783	26801	0	251	27075	0	369	0	23	0	4708	200	31783	0	0	3650	0	800	0	4188	22613		0	17948	17579	58	1038	0	0	0	
1632																																							308	5589	0	0	24425	0	6374	0	0	8700	351170	272154	0	4507	322148	0	3961	0	29000	0	29022	1900	351170	0	0	8353	0	18685	0	46866	225288		0	309735	305774	84	0	0	15193	1294	
1669																																							2148	10703	1921	76641	45007	0	1728	0	0	8464	218214	178486	0	388	179395	0	1200	0	521	0	38819	800	218214	0	0	37156	0	800	0	36147	142339		0	69625	68425	63	3177	0	0	0	
1829																																							4422	3408	0	0	112609	0	2775	228	0	4018	308034	255824	0	1603	268177	0	2940	0	9000	0	39857	390	308034	0	0	34189	0	3100	0	54967	200857		0	183514	180574	2178	0	0	0	1750	
1856																																							138	186	0	85938	131066	0	605	0	0	5778	233976	73364	0	252	218526	0	104	98	81000	0	15450	380	233976	0	0	3853	0	12902	0	2617	70747		0	9366	9262	-1685	905	0	13910	50000	
2040																																							62	3679	0	0	25550	0	2429	0	0	3324	149598	116993	0	431	134413	0	1684	0	16469	0	15185	480	149598	0	0	10039	0	4270	371	10907	106086		0	115867	114183	396	0	0	520	0	
2161																																							11500	4052	0	193	27685	0	1454	0	0	3306	105017	95247	0	373	95620	0	519	0	0	0	9397	1000	105017	0	0	7287	0	1253	0	18964	76283		0	53901	53382	-143	3445	0	0	0	
2376																																							235	13085	458	458056	96260	2770	9305	556	0	18123	1027937	726044	0	15401	908499	69	6172	0	163069	0	119369	500	1027937	0	0	119007	0	0	0	36670	689374		0	420536	414364	-138	14725	0	3985	0	
2451																																							2316	444	0	0	0	0	83	0	0	566	21089	16807	0	176	18792	0	187	750	1809	0	2297	50	21089	0	0	188	0	2059	0	1810	14997		0	16984	16797	0	133	0	0	0	
2554																																							0	1310	0	4	2383	0	90	0	0	102	7778	7043	0	23	7066	0	44	0	0	0	712	50	7778	0	0	178	0	550	0	2000	5043		0	3733	3689	-66	200	0	0	0	
2732																																							0	22009	1411	0	70519	0	6763	0	0	3118	488428	428365	0	3494	432222	0	3163	0	363	0	56206	2320	488428	0	0	50137	0	3728	31859	75709	352656		0	352612	349449	21	3300	0	0	0	
2750																																							990	834	0	0	13290	0	360	0	0	1739	46956	37654	0	553	42195	0	615	0	3400	0	4761	90	46956	0	0	4649	0	93	0	2065	35589		0	30358	29743	-71	0	0	0	588	
2938																																							182	8459	0	0	52028	0	5873	266	0	5844	339788	243988	0	2089	313702	0	4997	0	40500	0	26086	1250	339788	0	0	13801	0	10884	0	58810	185178		0	272133	267136	151	0	0	13612	13513	
2956																																							0	2423	0	0	39350	0	2669	279	0	1314	109625	99350	0	397	99747	0	704	1101	0	0	9878	100	109625	0	0	326	0	9536	0	9922	89428		0	59346	58642	87	3847	0	0	0	
3252																																							4249	4029	0	10871	16640	0	826	3	0	2355	86759	72074	0	165	75479	0	960	0	3240	0	11280	200	86759	0	0	10791	0	300	0	13134	58940		0	47576	46616	-11	1170	0	0	0	
3458																																							3060	1382	0	2479	6649	0	142	0	0	278	23393	19623	0	60	21033	0	372	0	0	0	2360	100	23393	0	0	1842	0	450	0	3068	16555		0	8488	8116	-32	1287	0	0	1350	
3506																																							2	33108	4117	14530	369941	4	17713	0	0	44994	1464745	1247769	0	8518	1315288	35	9797	55952	54600	0	149422	2879	1464745	0	0	111049	0	36128	0	236667	1011102		0	934181	924384	-634	0	0	0	4401	
