"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
354057	327	20	12	0	350	55	0	0	0	0	
354253	360	36	1	0	337	14	0	0	0	0	
354310	13099	1622	433	0	12788	1744	0	0	0	0	
354552	1077	195	45	0	945	108	0	0	0	0	
354851	424	270	18	0	291	155	0	0	0	0	
354954	257	0	14	0	323	80	0	0	0	0	
355120	2050	525	36	0	1751	262	0	0	0	0	
355559	1001	230	3	0	819	51	0	0	0	0	
355737	97	0	4	0	101	8	0	0	0	0	
355746	1718	690	99	0	1844	915	0	0	0	0	
355821	1606	55	257	0	1672	378	0	0	0	0	
355858	22096	24630	3586	0	22581	28701	0	0	0	0	
356145	120	10	11	0	105	6	0	0	0	0	
356239	1010	235	9	0	1061	295	0	0	0	0	
356659	726	0	205	0	822	301	0	0	0	0	
356752	430	38	4	0	430	42	0	0	0	0	
356949	780	0	172	0	644	36	0	0	0	0	
357049	1882	175	68	0	1752	113	0	0	0	0	
357151	751	0	41	0	858	148	0	0	0	0	
357375	6888	4746	1637	4746	7026	1775	0	0	0	0	
357432	2738	968	231	0	2477	938	0	0	0	0	
357526	1221	240	16	0	992	27	0	0	0	0	
357553	993	0	70	0	986	63	0	0	0	0	
357740	2012	250	8	0	1862	108	0			0	
357777	768	156	20	0	715	123	0	0	0	0	
357834	370	67	2	0	370	69	0	0	0	0	
357937	1378	480	112	0	947	161	0	0	0	0	
358112	782	39	230	0	685	172	0	0	0	29	
358149	110	2	1	0	110	3	0	0	0	0	
358233	2766	1564	294	0	1773	865	0	0	0	0	
358448	964	0	35	0	988	59	0	0	0	0	
358635	12543	975	3735	0	25174	17341	0	0	0	0	
358756	520	21	25	0	531	57	0	0	0	0	
359070	54	10	0	0	44	0	0	0	0	0	
359324	349	228	55	0	261	195	0	0	0	0	
359351	334	2	1	0	336	5	0	0	0	0	
359360	219	18	6	0	197	2	0	0	0	0	
359548	1143	192	51	0	1143	243	0	0	0	0	
359650	178	0	34	0	205	21	-40	0	0	0	
359744	272	0	4	0	276	8	0	0	0	0	
359838	520	409	27	0	407	323	0	0	0	0	
359847	827	60	26	0	934	193	0	0	0	0	
359856	225	0	18	0	209	2	0	0	0	0	
359959	310	1	7	0	302	0	0	0	0	0	
360777	101	0	0	0	101	0	0	0	0	0	
360834	657	0	1	0	659	3	0	0	0	0	
360843	411	15	3	0	396	3	0	0	0	0	
360955	192	15	25	0	167	15	0	0	0	0	
361055	3385	605	764	0	4137	2121	0	0	0	0	
361167	6942	925	666	0	6394	1043	0	0	0	0	
361279	650	0	2	0	698	50	0	0	0	0	
361354	459	50	108	0	421	120	0	0	0	0	
361439	1547	112	82	0	2812	1459	0	0	0	0	
361457	720	230	73	0	671	254	0	0	0	0	
361541	620	31	94	0	559	64	0	0	0	0	
361653	1030	380	79	0	690	119	0	0	0	0	
362007	36163	600	1608	0	17938	5481	21498	0	0	0	
362043	34	0	0	0	34	0	0	0	0	0	
362052	213	-165	35	0	371	48	20	0	0	0	
362155	802	170	55	0	768	191	0	0	0	0	
362445	89192	51153	56556	0	160640	105157	-74000	0	0	0	
362717	3431	716	297	0	3387	969	0	0	0	0	
362753	916	180	18	0	856	138	0	0	0	0	
362856	567	0	67	0	582	82	0	0	0	0	
