RCON6979,IDRSSD,RCON9999
false,37,2003-09-30
false,242,2003-09-30
false,279,2003-09-30
false,354,2003-09-30
false,439,2003-09-30
false,457,2003-09-30
false,505,2003-09-30
false,1146,2003-09-30
false,1155,2003-09-30
false,1351,2003-09-30
false,1454,2003-09-30
false,1557,2003-09-30
false,1632,2003-09-30
false,1669,2003-09-30
false,1829,2003-09-30
false,1856,2003-09-30
false,2040,2003-09-30
false,2161,2003-09-30
false,2376,2003-09-30
false,2451,2003-09-30
false,2554,2003-09-30
false,2732,2003-09-30
false,2750,2003-09-30
false,2938,2003-09-30
false,2956,2003-09-30
false,3252,2003-09-30
false,3458,2003-09-30
false,3506,2003-09-30
false,3579,2003-09-30
false,3720,2003-09-30
false,3953,2003-09-30
false,4138,2003-09-30
false,4147,2003-09-30
false,4156,2003-09-30
false,4231,2003-09-30
false,4437,2003-09-30
false,4745,2003-09-30
false,4839,2003-09-30
false,5005,2003-09-30
false,5050,2003-09-30
false,5069,2003-09-30
false,5135,2003-09-30
false,5210,2003-09-30
false,5247,2003-09-30
false,5274,2003-09-30
false,5331,2003-09-30
false,5461,2003-09-30
false,5751,2003-09-30
false,5939,2003-09-30
false,6039,2003-09-30
false,6057,2003-09-30
false,6141,2003-09-30
false,6329,2003-09-30
false,6972,2003-09-30
false,7009,2003-09-30
false,7045,2003-09-30
false,7157,2003-09-30
false,7166,2003-09-30
false,7456,2003-09-30
false,7634,2003-09-30
false,8033,2003-09-30
false,8417,2003-09-30
false,8462,2003-09-30
false,8547,2003-09-30
false,8631,2003-09-30
false,9115,2003-09-30
false,9357,2003-09-30
false,9553,2003-09-30
false,9807,2003-09-30
false,9955,2003-09-30
false,10157,2003-09-30
false,10250,2003-09-30
false,10849,2003-09-30
false,10858,2003-09-30
false,11145,2003-09-30
false,11640,2003-09-30
false,11837,2003-09-30
false,12030,2003-09-30
false,12058,2003-09-30
false,12142,2003-09-30
false,12245,2003-09-30
false,12311,2003-09-30
false,12357,2003-09-30
false,12647,2003-09-30
false,12656,2003-09-30
false,12937,2003-09-30
false,12946,2003-09-30
false,12955,2003-09-30
false,13037,2003-09-30
false,13103,2003-09-30
false,13251,2003-09-30
false,13309,2003-09-30
false,13457,2003-09-30
false,14052,2003-09-30
false,14155,2003-09-30
false,14258,2003-09-30
false,14409,2003-09-30
false,14454,2003-09-30
false,14650,2003-09-30
false,14753,2003-09-30
false,14865,2003-09-30
false,14931,2003-09-30
false,14940,2003-09-30
false,15536,2003-09-30
false,16337,2003-09-30
false,16458,2003-09-30
false,16551,2003-09-30
false,16748,2003-09-30
false,16766,2003-09-30
false,16944,2003-09-30
false,16953,2003-09-30
false,17110,2003-09-30
false,17147,2003-09-30
false,17259,2003-09-30
false,17464,2003-09-30
false,17549,2003-09-30
false,17839,2003-09-30
false,17950,2003-09-30
false,18050,2003-09-30
false,18135,2003-09-30
