RCON6979,IDRSSD,RCON9999
false,37,2013-09-30
false,242,2013-09-30
false,279,2013-09-30
false,354,2013-09-30
false,457,2013-09-30
false,505,2013-09-30
false,1155,2013-09-30
false,1351,2013-09-30
false,1454,2013-09-30
false,1557,2013-09-30
false,1669,2013-09-30
false,1829,2013-09-30
false,1856,2013-09-30
false,2040,2013-09-30
false,2161,2013-09-30
false,2376,2013-09-30
false,2554,2013-09-30
false,2732,2013-09-30
false,2750,2013-09-30
false,3177,2013-09-30
false,3252,2013-09-30
false,3458,2013-09-30
false,3720,2013-09-30
false,3971,2013-09-30
false,4156,2013-09-30
false,4231,2013-09-30
false,4437,2013-09-30
false,4839,2013-09-30
false,5005,2013-09-30
false,5069,2013-09-30
false,5135,2013-09-30
false,5210,2013-09-30
false,5461,2013-09-30
false,5751,2013-09-30
false,6039,2013-09-30
false,6141,2013-09-30
false,6329,2013-09-30
false,7009,2013-09-30
false,7045,2013-09-30
false,7072,2013-09-30
false,7157,2013-09-30
false,7456,2013-09-30
false,7634,2013-09-30
false,8033,2013-09-30
false,8462,2013-09-30
false,8631,2013-09-30
false,9357,2013-09-30
false,9553,2013-09-30
false,9807,2013-09-30
false,9955,2013-09-30
false,10250,2013-09-30
false,10849,2013-09-30
false,10858,2013-09-30
false,11145,2013-09-30
false,11275,2013-09-30
false,11640,2013-09-30
false,11837,2013-09-30
false,12030,2013-09-30
false,12142,2013-09-30
false,12179,2013-09-30
false,12245,2013-09-30
false,12311,2013-09-30
false,12647,2013-09-30
false,12656,2013-09-30
false,12937,2013-09-30
false,12946,2013-09-30
false,12955,2013-09-30
false,13103,2013-09-30
false,13251,2013-09-30
false,13457,2013-09-30
false,14052,2013-09-30
false,14155,2013-09-30
false,14650,2013-09-30
false,14753,2013-09-30
false,14865,2013-09-30
false,14977,2013-09-30
false,16458,2013-09-30
false,16551,2013-09-30
false,16748,2013-09-30
false,16944,2013-09-30
false,16953,2013-09-30
false,17110,2013-09-30
false,17147,2013-09-30
false,17259,2013-09-30
false,17464,2013-09-30
false,17950,2013-09-30
false,17978,2013-09-30
false,18050,2013-09-30
false,18135,2013-09-30
false,18377,2013-09-30
false,18827,2013-09-30
false,18836,2013-09-30
false,18854,2013-09-30
false,19356,2013-09-30
false,19730,2013-09-30
false,19936,2013-09-30
false,19972,2013-09-30
false,20053,2013-09-30
false,20512,2013-09-30
false,20633,2013-09-30
false,20857,2013-09-30
false,21256,2013-09-30
false,21359,2013-09-30
false,21630,2013-09-30
false,21658,2013-09-30
false,22048,2013-09-30
false,22543,2013-09-30
false,22552,2013-09-30
false,22730,2013-09-30
false,22936,2013-09-30
false,23045,2013-09-30
false,23456,2013-09-30
false,23504,2013-09-30
false,23643,2013-09-30
false,23755,2013-09-30
