RCON6979,IDRSSD,RCON9999
false,37,2018-06-30
false,242,2018-06-30
false,279,2018-06-30
false,354,2018-06-30
false,457,2018-06-30
false,505,2018-06-30
false,1155,2018-06-30
false,1351,2018-06-30
false,1454,2018-06-30
false,1669,2018-06-30
false,1856,2018-06-30
false,2040,2018-06-30
false,2161,2018-06-30
false,2376,2018-06-30
false,2554,2018-06-30
false,2732,2018-06-30
false,2750,2018-06-30
false,3252,2018-06-30
false,3458,2018-06-30
false,3720,2018-06-30
false,3971,2018-06-30
false,4156,2018-06-30
false,4231,2018-06-30
false,5069,2018-06-30
false,5135,2018-06-30
false,5210,2018-06-30
false,5461,2018-06-30
false,5751,2018-06-30
false,6039,2018-06-30
false,6329,2018-06-30
false,7009,2018-06-30
false,7045,2018-06-30
false,7072,2018-06-30
false,7456,2018-06-30
false,7634,2018-06-30
false,8033,2018-06-30
false,8462,2018-06-30
false,8631,2018-06-30
false,9357,2018-06-30
false,9553,2018-06-30
false,9807,2018-06-30
false,9955,2018-06-30
false,10250,2018-06-30
false,10849,2018-06-30
false,11145,2018-06-30
false,11640,2018-06-30
false,11837,2018-06-30
false,12030,2018-06-30
false,12142,2018-06-30
false,12179,2018-06-30
false,12311,2018-06-30
false,12647,2018-06-30
false,12656,2018-06-30
false,12937,2018-06-30
false,12946,2018-06-30
false,13103,2018-06-30
false,13251,2018-06-30
false,13457,2018-06-30
false,14052,2018-06-30
false,14155,2018-06-30
false,14650,2018-06-30
false,14753,2018-06-30
false,14865,2018-06-30
false,14977,2018-06-30
false,16551,2018-06-30
false,16748,2018-06-30
false,17110,2018-06-30
false,17147,2018-06-30
false,17259,2018-06-30
false,17950,2018-06-30
false,17978,2018-06-30
false,18050,2018-06-30
false,18135,2018-06-30
false,18827,2018-06-30
false,18836,2018-06-30
false,18854,2018-06-30
false,19356,2018-06-30
false,19936,2018-06-30
false,19972,2018-06-30
false,20053,2018-06-30
false,20633,2018-06-30
false,20857,2018-06-30
false,21256,2018-06-30
false,21359,2018-06-30
false,21658,2018-06-30
false,22048,2018-06-30
false,22543,2018-06-30
false,22552,2018-06-30
false,22730,2018-06-30
false,22936,2018-06-30
false,23456,2018-06-30
false,23504,2018-06-30
false,23643,2018-06-30
false,23755,2018-06-30
false,24006,2018-06-30
false,24378,2018-06-30
false,24453,2018-06-30
false,24659,2018-06-30
