RCON6979,IDRSSD,RCON9999
false,37,2014-12-31
false,242,2014-12-31
false,279,2014-12-31
false,354,2014-12-31
false,457,2014-12-31
false,505,2014-12-31
false,1155,2014-12-31
false,1351,2014-12-31
false,1454,2014-12-31
false,1557,2014-12-31
false,1669,2014-12-31
false,1829,2014-12-31
false,1856,2014-12-31
false,2040,2014-12-31
false,2161,2014-12-31
false,2376,2014-12-31
false,2554,2014-12-31
false,2732,2014-12-31
false,2750,2014-12-31
false,3177,2014-12-31
false,3252,2014-12-31
false,3458,2014-12-31
false,3720,2014-12-31
false,3971,2014-12-31
false,4156,2014-12-31
false,4231,2014-12-31
false,4437,2014-12-31
false,4839,2014-12-31
false,5069,2014-12-31
false,5135,2014-12-31
false,5210,2014-12-31
false,5461,2014-12-31
false,5751,2014-12-31
false,6039,2014-12-31
false,6141,2014-12-31
false,6329,2014-12-31
false,7009,2014-12-31
false,7045,2014-12-31
false,7072,2014-12-31
false,7157,2014-12-31
false,7456,2014-12-31
false,7634,2014-12-31
false,8033,2014-12-31
false,8462,2014-12-31
false,8631,2014-12-31
false,9357,2014-12-31
false,9553,2014-12-31
false,9807,2014-12-31
false,9955,2014-12-31
false,10250,2014-12-31
false,10849,2014-12-31
false,11145,2014-12-31
false,11275,2014-12-31
false,11640,2014-12-31
false,11837,2014-12-31
false,12030,2014-12-31
false,12142,2014-12-31
false,12179,2014-12-31
false,12311,2014-12-31
false,12647,2014-12-31
false,12656,2014-12-31
false,12937,2014-12-31
false,12946,2014-12-31
false,12955,2014-12-31
false,13103,2014-12-31
false,13251,2014-12-31
false,13457,2014-12-31
false,14052,2014-12-31
false,14155,2014-12-31
false,14650,2014-12-31
false,14753,2014-12-31
false,14865,2014-12-31
false,14977,2014-12-31
false,16458,2014-12-31
false,16551,2014-12-31
false,16748,2014-12-31
false,16944,2014-12-31
false,16953,2014-12-31
false,17110,2014-12-31
false,17147,2014-12-31
false,17259,2014-12-31
false,17464,2014-12-31
false,17950,2014-12-31
false,17978,2014-12-31
false,18050,2014-12-31
false,18135,2014-12-31
false,18377,2014-12-31
false,18827,2014-12-31
false,18836,2014-12-31
false,18854,2014-12-31
false,19356,2014-12-31
false,19730,2014-12-31
false,19936,2014-12-31
false,19972,2014-12-31
false,20053,2014-12-31
false,20512,2014-12-31
false,20633,2014-12-31
false,20857,2014-12-31
false,21256,2014-12-31
false,21359,2014-12-31
false,21630,2014-12-31
false,21658,2014-12-31
false,22048,2014-12-31
false,22543,2014-12-31
false,22552,2014-12-31
false,22730,2014-12-31
false,22936,2014-12-31
false,23045,2014-12-31
false,23456,2014-12-31
false,23504,2014-12-31
false,23643,2014-12-31
false,23755,2014-12-31
false,24006,2014-12-31
false,24378,2014-12-31
false,24453,2014-12-31
false,24659,2014-12-31
false,24668,2014-12-31
false,24855,2014-12-31
false,24949,2014-12-31
false,25357,2014-12-31
false,25647,2014-12-31
false,26176,2014-12-31
false,26242,2014-12-31
false,26457,2014-12-31
false,26765,2014-12-31
false,27070,2014-12-31
false,27548,2014-12-31
false,27614,2014-12-31
false,27847,2014-12-31
false,28013,2014-12-31
false,28152,2014-12-31
false,28255,2014-12-31
false,28349,2014-12-31
false,28406,2014-12-31
false,28675,2014-12-31
false,28732,2014-12-31
false,29476,2014-12-31
false,29636,2014-12-31
false,29878,2014-12-31
false,29953,2014-12-31
false,30052,2014-12-31
false,30418,2014-12-31
false,30502,2014-12-31
false,30650,2014-12-31
false,30810,2014-12-31
false,30874,2014-12-31
false,31134,2014-12-31
false,31255,2014-12-31
false,31657,2014-12-31
false,31826,2014-12-31
false,31835,2014-12-31
false,32234,2014-12-31
false,32766,2014-12-31
false,32971,2014-12-31
false,33147,2014-12-31
false,33259,2014-12-31
false,33268,2014-12-31
false,33370,2014-12-31
false,33839,2014-12-31
false,33857,2014-12-31
false,34153,2014-12-31
false,34425,2014-12-31
false,34434,2014-12-31
false,34452,2014-12-31
true,34537,2014-12-31
false,34555,2014-12-31
false,34742,2014-12-31
false,34836,2014-12-31
false,35057,2014-12-31
false,35301,2014-12-31
false,35570,2014-12-31
false,35646,2014-12-31
false,35842,2014-12-31
false,35879,2014-12-31
false,36456,2014-12-31
false,36933,2014-12-31
false,37051,2014-12-31
false,37341,2014-12-31
false,37435,2014-12-31
false,37640,2014-12-31
false,37659,2014-12-31
false,37743,2014-12-31
false,37949,2014-12-31
false,38740,2014-12-31
false,39327,2014-12-31
false,39420,2014-12-31
false,39475,2014-12-31
false,39756,2014-12-31
false,40033,2014-12-31
false,40350,2014-12-31
false,40499,2014-12-31
false,40855,2014-12-31
false,41245,2014-12-31
false,41553,2014-12-31
false,41629,2014-12-31
false,41825,2014-12-31
false,41937,2014-12-31
false,41955,2014-12-31
false,42037,2014-12-31
false,42055,2014-12-31
false,42354,2014-12-31
false,42372,2014-12-31
false,42420,2014-12-31
false,42448,2014-12-31
false,42457,2014-12-31
false,42671,2014-12-31
false,43052,2014-12-31
false,43351,2014-12-31
false,43744,2014-12-31
false,43856,2014-12-31
false,43959,2014-12-31
false,44040,2014-12-31
false,44433,2014-12-31
false,44741,2014-12-31
false,44750,2014-12-31
false,44929,2014-12-31
false,45038,2014-12-31
false,45047,2014-12-31
false,45056,2014-12-31
false,45430,2014-12-31
false,45458,2014-12-31
false,45551,2014-12-31
false,45560,2014-12-31
false,45775,2014-12-31
false,46053,2014-12-31
false,46941,2014-12-31
false,47153,2014-12-31
false,47247,2014-12-31
false,47256,2014-12-31
false,47452,2014-12-31
false,47500,2014-12-31
false,48057,2014-12-31
false,48150,2014-12-31
false,48374,2014-12-31
false,48440,2014-12-31
false,49054,2014-12-31
false,49148,2014-12-31
false,49241,2014-12-31
false,49344,2014-12-31
false,49643,2014-12-31
false,49652,2014-12-31
false,49821,2014-12-31
false,49858,2014-12-31
false,49951,2014-12-31
false,50144,2014-12-31
false,50461,2014-12-31
false,50546,2014-12-31
false,50854,2014-12-31
false,50872,2014-12-31
false,50957,2014-12-31
false,51253,2014-12-31
false,51356,2014-12-31
false,51459,2014-12-31
false,51730,2014-12-31
false,51842,2014-12-31
false,52719,2014-12-31
false,52951,2014-12-31
false,53033,2014-12-31
false,53051,2014-12-31
false,53752,2014-12-31
false,54049,2014-12-31
false,54058,2014-12-31
false,54375,2014-12-31
false,54441,2014-12-31
false,54656,2014-12-31
false,54973,2014-12-31
false,55336,2014-12-31
false,55635,2014-12-31
false,55653,2014-12-31
false,55970,2014-12-31
false,56258,2014-12-31
false,56351,2014-12-31
false,56427,2014-12-31
false,56548,2014-12-31
false,56557,2014-12-31
false,56717,2014-12-31
false,57040,2014-12-31
false,57228,2014-12-31
false,57451,2014-12-31
false,58177,2014-12-31
false,58207,2014-12-31
false,58225,2014-12-31
false,58243,2014-12-31
false,58355,2014-12-31
false,58551,2014-12-31
false,58636,2014-12-31
false,58757,2014-12-31
false,58971,2014-12-31
false,59316,2014-12-31
false,59352,2014-12-31
false,59370,2014-12-31
false,59754,2014-12-31
false,60143,2014-12-31
false,60330,2014-12-31
false,60545,2014-12-31
false,60554,2014-12-31
false,60648,2014-12-31
false,61122,2014-12-31
false,61177,2014-12-31
false,61355,2014-12-31
false,61476,2014-12-31
false,61757,2014-12-31
false,61832,2014-12-31
false,61953,2014-12-31
false,62044,2014-12-31
false,62110,2014-12-31
false,62147,2014-12-31
false,62772,2014-12-31
false,63050,2014-12-31
false,63069,2014-12-31
false,63201,2014-12-31
false,63573,2014-12-31
false,63733,2014-12-31
false,63742,2014-12-31
false,63751,2014-12-31
false,64150,2014-12-31
false,64543,2014-12-31
false,64552,2014-12-31
false,64730,2014-12-31
false,65205,2014-12-31
false,65241,2014-12-31
false,65513,2014-12-31
false,65559,2014-12-31
false,65746,2014-12-31
false,65858,2014-12-31
false,66154,2014-12-31
false,66275,2014-12-31
false,66677,2014-12-31
false,67142,2014-12-31
false,67151,2014-12-31
false,67209,2014-12-31
false,67254,2014-12-31
false,67311,2014-12-31
false,67656,2014-12-31
false,67870,2014-12-31
false,68345,2014-12-31
false,68448,2014-12-31
false,68671,2014-12-31
false,68756,2014-12-31
false,68831,2014-12-31
false,68840,2014-12-31
false,68859,2014-12-31
false,68943,2014-12-31
false,69333,2014-12-31
false,69678,2014-12-31
false,70058,2014-12-31
false,70218,2014-12-31
false,70414,2014-12-31
false,70638,2014-12-31
false,70955,2014-12-31
false,71073,2014-12-31
false,71318,2014-12-31
false,71457,2014-12-31
false,71859,2014-12-31
false,72258,2014-12-31
false,72351,2014-12-31
false,72454,2014-12-31
false,72678,2014-12-31
false,73116,2014-12-31
false,73152,2014-12-31
false,73554,2014-12-31
false,73956,2014-12-31
false,74056,2014-12-31
false,74140,2014-12-31
false,74159,2014-12-31
false,74403,2014-12-31
false,74449,2014-12-31
false,75053,2014-12-31
false,75259,2014-12-31
false,75446,2014-12-31
false,75455,2014-12-31
false,75558,2014-12-31
true,75633,2014-12-31
false,75651,2014-12-31
false,76135,2014-12-31
false,76153,2014-12-31
false,76443,2014-12-31
false,76854,2014-12-31
false,77150,2014-12-31
false,77253,2014-12-31
false,77422,2014-12-31
false,77851,2014-12-31
false,78157,2014-12-31
false,78241,2014-12-31
false,78559,2014-12-31
false,78858,2014-12-31
false,79042,2014-12-31
false,79127,2014-12-31
false,79145,2014-12-31
false,79257,2014-12-31
false,79855,2014-12-31
false,80020,2014-12-31
false,80150,2014-12-31
false,80374,2014-12-31
false,80431,2014-12-31
false,80552,2014-12-31
false,80936,2014-12-31
false,81175,2014-12-31
false,81429,2014-12-31
false,82033,2014-12-31
false,82257,2014-12-31
false,82350,2014-12-31
false,82659,2014-12-31
false,83151,2014-12-31
false,83236,2014-12-31
false,83375,2014-12-31
false,83638,2014-12-31
false,83834,2014-12-31
false,83852,2014-12-31
false,83955,2014-12-31
false,84046,2014-12-31
false,84251,2014-12-31
false,84541,2014-12-31
false,84804,2014-12-31
false,85052,2014-12-31
false,85258,2014-12-31
false,85454,2014-12-31
false,85472,2014-12-31
false,85931,2014-12-31
false,86349,2014-12-31
false,86358,2014-12-31
false,86554,2014-12-31
false,86675,2014-12-31
false,87047,2014-12-31
false,87159,2014-12-31
false,87177,2014-12-31
false,87234,2014-12-31
false,87476,2014-12-31
false,87579,2014-12-31
false,88231,2014-12-31
false,88240,2014-12-31
false,88259,2014-12-31
false,88352,2014-12-31
false,88455,2014-12-31
false,88530,2014-12-31
false,88772,2014-12-31
false,88950,2014-12-31
false,89032,2014-12-31
false,89135,2014-12-31
false,89751,2014-12-31
false,89854,2014-12-31
false,89957,2014-12-31
false,90047,2014-12-31
false,90177,2014-12-31
false,90328,2014-12-31
false,90337,2014-12-31
false,90579,2014-12-31
false,90645,2014-12-31
false,90739,2014-12-31
false,91101,2014-12-31
false,91156,2014-12-31
false,91615,2014-12-31
false,91651,2014-12-31
false,91754,2014-12-31
false,91950,2014-12-31
false,92050,2014-12-31
false,92144,2014-12-31
false,92676,2014-12-31
false,92706,2014-12-31
false,92902,2014-12-31
false,93244,2014-12-31
false,93543,2014-12-31
false,93619,2014-12-31
false,93721,2014-12-31
false,93758,2014-12-31
false,94139,2014-12-31
false,94456,2014-12-31
false,94522,2014-12-31
false,94755,2014-12-31
false,94858,2014-12-31
false,95051,2014-12-31
false,95659,2014-12-31
false,95677,2014-12-31
false,96553,2014-12-31
false,97055,2014-12-31
false,97279,2014-12-31
false,97457,2014-12-31
false,97804,2014-12-31
false,97943,2014-12-31
false,98351,2014-12-31
false,98463,2014-12-31
false,98717,2014-12-31
false,99143,2014-12-31
false,99255,2014-12-31
false,99376,2014-12-31
false,99442,2014-12-31
false,99536,2014-12-31
true,99853,2014-12-31
false,99974,2014-12-31
false,100236,2014-12-31
false,100357,2014-12-31
false,100562,2014-12-31
false,100777,2014-12-31
false,100843,2014-12-31
false,101019,2014-12-31
false,101037,2014-12-31
false,101439,2014-12-31
false,101671,2014-12-31
false,101738,2014-12-31
false,101952,2014-12-31
false,102155,2014-12-31
false,102173,2014-12-31
false,102333,2014-12-31
false,102342,2014-12-31
false,102539,2014-12-31
false,102557,2014-12-31
false,102874,2014-12-31
false,103134,2014-12-31
false,103255,2014-12-31
false,103563,2014-12-31
false,103602,2014-12-31
false,104234,2014-12-31
false,104542,2014-12-31
false,104971,2014-12-31
false,105026,2014-12-31
false,105053,2014-12-31
false,105071,2014-12-31
false,105222,2014-12-31
false,105473,2014-12-31
false,105530,2014-12-31
false,106359,2014-12-31
false,106377,2014-12-31
false,106452,2014-12-31
false,106676,2014-12-31
false,107226,2014-12-31
false,107244,2014-12-31
false,107459,2014-12-31
false,107570,2014-12-31
false,107758,2014-12-31
false,108072,2014-12-31
false,108269,2014-12-31
false,108474,2014-12-31
false,108652,2014-12-31
false,108746,2014-12-31
false,108951,2014-12-31
false,109136,2014-12-31
false,109154,2014-12-31
false,109453,2014-12-31
false,109574,2014-12-31
false,109659,2014-12-31
false,109686,2014-12-31
false,110413,2014-12-31
false,110936,2014-12-31
false,110945,2014-12-31
false,110972,2014-12-31
false,111157,2014-12-31
false,111205,2014-12-31
false,111661,2014-12-31
false,111942,2014-12-31
false,111979,2014-12-31
false,112163,2014-12-31
false,112332,2014-12-31
false,112444,2014-12-31
false,112510,2014-12-31
false,112556,2014-12-31
false,112837,2014-12-31
false,113003,2014-12-31
false,113030,2014-12-31
false,113441,2014-12-31
false,113601,2014-12-31
false,113740,2014-12-31
false,113937,2014-12-31
false,114149,2014-12-31
false,114158,2014-12-31
false,114251,2014-12-31
false,114260,2014-12-31
false,114457,2014-12-31
false,114774,2014-12-31
false,114840,2014-12-31
false,114859,2014-12-31
false,115100,2014-12-31
false,115146,2014-12-31
false,115575,2014-12-31
false,116077,2014-12-31
false,116358,2014-12-31
false,116554,2014-12-31
true,116639,2014-12-31
false,116732,2014-12-31
false,116741,2014-12-31
false,116871,2014-12-31
false,117038,2014-12-31
false,117074,2014-12-31
false,117458,2014-12-31
false,117672,2014-12-31
false,117775,2014-12-31
false,118156,2014-12-31
false,118660,2014-12-31
false,118736,2014-12-31
false,119153,2014-12-31
true,119528,2014-12-31
false,119779,2014-12-31
false,119872,2014-12-31
false,120476,2014-12-31
false,120542,2014-12-31
false,120609,2014-12-31
false,120953,2014-12-31
false,121642,2014-12-31
false,121651,2014-12-31
false,121679,2014-12-31
false,121914,2014-12-31
false,122153,2014-12-31
false,122546,2014-12-31
false,122573,2014-12-31
false,122854,2014-12-31
false,123075,2014-12-31
false,123374,2014-12-31
false,123646,2014-12-31
false,124344,2014-12-31
false,124830,2014-12-31
false,125154,2014-12-31
false,125471,2014-12-31
false,125855,2014-12-31
false,125873,2014-12-31
false,125958,2014-12-31
false,126012,2014-12-31
false,126049,2014-12-31
false,126254,2014-12-31
false,126375,2014-12-31
false,126553,2014-12-31
false,126740,2014-12-31
false,126834,2014-12-31
false,127055,2014-12-31
false,127224,2014-12-31
false,127701,2014-12-31
false,128258,2014-12-31
false,128511,2014-12-31
