RCON6979,IDRSSD,RCON9999
true,45430,2008-06-30
false,45458,2008-06-30
false,45551,2008-06-30
false,45560,2008-06-30
false,45775,2008-06-30
false,46053,2008-06-30
false,46941,2008-06-30
false,47153,2008-06-30
false,47247,2008-06-30
false,47256,2008-06-30
false,47452,2008-06-30
false,47500,2008-06-30
false,48057,2008-06-30
false,48150,2008-06-30
false,48374,2008-06-30
false,48440,2008-06-30
false,48730,2008-06-30
false,49054,2008-06-30
false,49148,2008-06-30
false,49241,2008-06-30
false,49344,2008-06-30
false,49643,2008-06-30
false,49652,2008-06-30
false,49821,2008-06-30
false,49858,2008-06-30
false,49951,2008-06-30
false,50144,2008-06-30
false,50461,2008-06-30
false,50546,2008-06-30
false,50854,2008-06-30
false,50957,2008-06-30
false,51253,2008-06-30
false,51356,2008-06-30
false,51459,2008-06-30
false,51730,2008-06-30
false,51842,2008-06-30
false,52410,2008-06-30
false,52719,2008-06-30
false,52951,2008-06-30
false,53015,2008-06-30
false,53033,2008-06-30
false,53051,2008-06-30
false,53239,2008-06-30
false,53453,2008-06-30
false,53752,2008-06-30
false,54049,2008-06-30
false,54058,2008-06-30
false,54357,2008-06-30
false,54375,2008-06-30
false,54441,2008-06-30
false,54656,2008-06-30
false,55176,2008-06-30
false,55336,2008-06-30
false,55635,2008-06-30
false,55653,2008-06-30
false,56230,2008-06-30
false,56258,2008-06-30
false,56351,2008-06-30
false,56427,2008-06-30
false,56548,2008-06-30
false,56557,2008-06-30
false,56717,2008-06-30
false,57040,2008-06-30
false,57228,2008-06-30
false,57255,2008-06-30
false,57451,2008-06-30
false,57572,2008-06-30
false,57956,2008-06-30
false,58074,2008-06-30
false,58207,2008-06-30
false,58225,2008-06-30
false,58243,2008-06-30
false,58355,2008-06-30
false,58551,2008-06-30
false,58636,2008-06-30
false,58757,2008-06-30
false,58971,2008-06-30
false,59316,2008-06-30
false,59352,2008-06-30
false,59679,2008-06-30
false,59754,2008-06-30
false,60143,2008-06-30
false,60330,2008-06-30
false,60433,2008-06-30
false,60545,2008-06-30
false,60554,2008-06-30
false,60648,2008-06-30
false,61122,2008-06-30
false,61355,2008-06-30
false,61476,2008-06-30
false,61533,2008-06-30
false,61757,2008-06-30
false,61832,2008-06-30
false,61953,2008-06-30
false,62044,2008-06-30
false,62147,2008-06-30
false,63050,2008-06-30
false,63069,2008-06-30
false,63078,2008-06-30
false,63201,2008-06-30
false,63359,2008-06-30
false,63573,2008-06-30
false,63733,2008-06-30
false,63742,2008-06-30
false,63751,2008-06-30
false,64150,2008-06-30
false,64543,2008-06-30
false,64552,2008-06-30
true,64619,2008-06-30
false,64730,2008-06-30
false,65205,2008-06-30
false,65241,2008-06-30
false,65513,2008-06-30
false,65559,2008-06-30
false,65746,2008-06-30
false,65858,2008-06-30
false,66015,2008-06-30
false,66154,2008-06-30
false,66172,2008-06-30
false,66275,2008-06-30
false,66837,2008-06-30
false,66846,2008-06-30
false,67142,2008-06-30
false,67151,2008-06-30
false,67209,2008-06-30
false,67254,2008-06-30
false,67311,2008-06-30
false,68345,2008-06-30
false,68448,2008-06-30
false,68756,2008-06-30
false,68831,2008-06-30
false,68840,2008-06-30
false,68859,2008-06-30
false,68943,2008-06-30
false,69333,2008-06-30
false,69678,2008-06-30
false,69847,2008-06-30
false,70049,2008-06-30
false,70058,2008-06-30
false,70218,2008-06-30
false,70254,2008-06-30
false,70414,2008-06-30
false,70638,2008-06-30
false,70955,2008-06-30
false,71318,2008-06-30
false,71457,2008-06-30
false,71859,2008-06-30
false,72258,2008-06-30
false,72351,2008-06-30
false,72454,2008-06-30
false,72678,2008-06-30
false,73031,2008-06-30
false,73116,2008-06-30
false,73152,2008-06-30
false,73554,2008-06-30
false,73956,2008-06-30
false,74056,2008-06-30
false,74140,2008-06-30
false,74159,2008-06-30
false,74403,2008-06-30
false,74449,2008-06-30
false,74458,2008-06-30
false,75053,2008-06-30
false,75259,2008-06-30
false,75446,2008-06-30
false,75455,2008-06-30
false,75558,2008-06-30
false,75633,2008-06-30
false,75651,2008-06-30
false,76050,2008-06-30
false,76135,2008-06-30
false,76153,2008-06-30
false,76443,2008-06-30
false,76854,2008-06-30
false,77150,2008-06-30
false,77253,2008-06-30
true,77347,2008-06-30
false,77422,2008-06-30
false,77758,2008-06-30
false,77851,2008-06-30
false,78036,2008-06-30
false,78157,2008-06-30
false,78241,2008-06-30
false,78559,2008-06-30
false,78643,2008-06-30
false,78858,2008-06-30
false,79042,2008-06-30
false,79127,2008-06-30
false,79145,2008-06-30
false,79257,2008-06-30
false,79855,2008-06-30
false,80020,2008-06-30
false,80150,2008-06-30
false,80431,2008-06-30
false,80552,2008-06-30
false,80936,2008-06-30
false,81429,2008-06-30
false,82033,2008-06-30
false,82257,2008-06-30
false,82350,2008-06-30
false,82659,2008-06-30
false,83151,2008-06-30
false,83236,2008-06-30
false,83311,2008-06-30
false,83357,2008-06-30
false,83375,2008-06-30
false,83638,2008-06-30
false,83834,2008-06-30
false,83852,2008-06-30
false,83955,2008-06-30
false,84046,2008-06-30
false,84055,2008-06-30
false,84251,2008-06-30
false,84345,2008-06-30
false,84541,2008-06-30
false,84804,2008-06-30
false,85043,2008-06-30
false,85052,2008-06-30
false,85258,2008-06-30
false,85454,2008-06-30
false,85856,2008-06-30
false,85931,2008-06-30
false,86349,2008-06-30
false,86358,2008-06-30
false,86527,2008-06-30
false,86554,2008-06-30
false,87047,2008-06-30
false,87159,2008-06-30
false,87234,2008-06-30
false,87476,2008-06-30
false,87533,2008-06-30
false,88240,2008-06-30
false,88259,2008-06-30
false,88352,2008-06-30
false,88455,2008-06-30
false,88530,2008-06-30
false,88950,2008-06-30
false,89032,2008-06-30
false,89135,2008-06-30
false,89162,2008-06-30
false,89452,2008-06-30
false,89751,2008-06-30
false,89854,2008-06-30
false,89957,2008-06-30
false,90047,2008-06-30
false,90328,2008-06-30
false,90337,2008-06-30
false,90467,2008-06-30
false,90645,2008-06-30
false,90739,2008-06-30
false,91147,2008-06-30
false,91156,2008-06-30
false,91259,2008-06-30
false,91615,2008-06-30
false,91651,2008-06-30
false,91754,2008-06-30
false,91950,2008-06-30
false,91969,2008-06-30
false,92050,2008-06-30
false,92144,2008-06-30
false,92630,2008-06-30
false,92706,2008-06-30
false,92854,2008-06-30
false,92902,2008-06-30
false,93244,2008-06-30
false,93413,2008-06-30
false,93543,2008-06-30
false,93619,2008-06-30
false,93721,2008-06-30
false,93758,2008-06-30
false,94139,2008-06-30
false,94456,2008-06-30
false,94522,2008-06-30
true,94755,2008-06-30
false,94858,2008-06-30
false,95051,2008-06-30
false,95659,2008-06-30
false,96553,2008-06-30
false,97055,2008-06-30
false,97279,2008-06-30
false,97457,2008-06-30
false,97804,2008-06-30
false,97943,2008-06-30
false,98351,2008-06-30
false,98454,2008-06-30
false,98463,2008-06-30
false,98548,2008-06-30
false,98641,2008-06-30
false,98717,2008-06-30
false,99004,2008-06-30
false,99059,2008-06-30
false,99143,2008-06-30
false,99255,2008-06-30
false,99442,2008-06-30
false,99536,2008-06-30
false,99853,2008-06-30
false,99974,2008-06-30
false,100236,2008-06-30
false,100357,2008-06-30
false,100553,2008-06-30
false,100562,2008-06-30
false,100843,2008-06-30
false,101019,2008-06-30
false,101037,2008-06-30
true,101233,2008-06-30
false,101345,2008-06-30
false,101439,2008-06-30
false,101671,2008-06-30
false,101738,2008-06-30
false,101952,2008-06-30
false,102155,2008-06-30
false,102333,2008-06-30
false,102342,2008-06-30
false,102539,2008-06-30
false,102557,2008-06-30
false,103134,2008-06-30
false,103255,2008-06-30
false,103536,2008-06-30
false,103554,2008-06-30
false,103563,2008-06-30
false,103602,2008-06-30
false,104038,2008-06-30
false,104056,2008-06-30
false,104234,2008-06-30
false,104430,2008-06-30
false,104542,2008-06-30
false,104663,2008-06-30
false,105026,2008-06-30
false,105044,2008-06-30
false,105053,2008-06-30
false,105071,2008-06-30
false,105222,2008-06-30
false,105530,2008-06-30
false,105633,2008-06-30
false,106359,2008-06-30
false,106377,2008-06-30
false,106452,2008-06-30
false,106519,2008-06-30
true,106546,2008-06-30
false,106555,2008-06-30
false,106658,2008-06-30
false,107057,2008-06-30
false,107150,2008-06-30
false,107226,2008-06-30
false,107244,2008-06-30
false,107431,2008-06-30
false,107459,2008-06-30
false,107758,2008-06-30
false,108269,2008-06-30
false,108652,2008-06-30
false,108746,2008-06-30
false,108951,2008-06-30
false,109136,2008-06-30
false,109154,2008-06-30
false,109453,2008-06-30
false,109574,2008-06-30
false,109659,2008-06-30
false,109855,2008-06-30
false,110413,2008-06-30
false,110655,2008-06-30
false,110936,2008-06-30
false,110945,2008-06-30
false,111157,2008-06-30
false,111205,2008-06-30
false,111559,2008-06-30
false,111661,2008-06-30
false,111942,2008-06-30
false,111979,2008-06-30
false,112163,2008-06-30
false,112332,2008-06-30
false,112444,2008-06-30
false,112510,2008-06-30
false,112556,2008-06-30
false,112837,2008-06-30
false,113003,2008-06-30
false,113030,2008-06-30
false,113441,2008-06-30
false,113601,2008-06-30
false,113740,2008-06-30
false,113937,2008-06-30
false,114149,2008-06-30
false,114158,2008-06-30
false,114251,2008-06-30
false,114260,2008-06-30
false,114457,2008-06-30
false,114756,2008-06-30
false,114774,2008-06-30
false,114840,2008-06-30
false,114859,2008-06-30
false,115100,2008-06-30
false,115146,2008-06-30
false,115155,2008-06-30
false,115221,2008-06-30
false,115575,2008-06-30
false,115641,2008-06-30
false,116077,2008-06-30
false,116358,2008-06-30
false,116554,2008-06-30
false,116639,2008-06-30
false,116732,2008-06-30
false,116741,2008-06-30
false,117038,2008-06-30
false,117458,2008-06-30
false,117672,2008-06-30
false,117841,2008-06-30
false,118156,2008-06-30
false,118174,2008-06-30
false,118660,2008-06-30
false,118736,2008-06-30
false,119153,2008-06-30
false,119274,2008-06-30
false,119528,2008-06-30
false,119779,2008-06-30
false,120542,2008-06-30
false,120609,2008-06-30
false,120953,2008-06-30
false,121576,2008-06-30
false,121642,2008-06-30
false,121651,2008-06-30
false,121914,2008-06-30
false,122153,2008-06-30
false,122546,2008-06-30
false,122658,2008-06-30
false,122751,2008-06-30
false,122854,2008-06-30
false,123178,2008-06-30
false,123440,2008-06-30
false,123646,2008-06-30
false,124344,2008-06-30
false,124353,2008-06-30
false,124773,2008-06-30
false,124830,2008-06-30
false,125154,2008-06-30
false,125855,2008-06-30
false,125958,2008-06-30
false,126012,2008-06-30
false,126049,2008-06-30
false,126254,2008-06-30
false,126553,2008-06-30
false,126740,2008-06-30
false,126834,2008-06-30
false,127055,2008-06-30
false,127224,2008-06-30
false,127260,2008-06-30
false,127701,2008-06-30
true,128164,2008-06-30
false,128258,2008-06-30
false,128511,2008-06-30
false,128904,2008-06-30
false,128959,2008-06-30
false,129349,2008-06-30
false,129358,2008-06-30
false,129394,2008-06-30
false,129479,2008-06-30
false,129732,2008-06-30
false,129853,2008-06-30
false,129910,2008-06-30
false,130345,2008-06-30
false,130541,2008-06-30
false,130635,2008-06-30
false,130813,2008-06-30
false,130943,2008-06-30
false,131034,2008-06-30
false,131155,2008-06-30
false,131173,2008-06-30
false,131418,2008-06-30
false,131436,2008-06-30
true,131650,2008-06-30
false,131717,2008-06-30
false,131940,2008-06-30
false,132107,2008-06-30
false,132152,2008-06-30
false,132219,2008-06-30
false,132451,2008-06-30
false,132554,2008-06-30
false,132778,2008-06-30
false,132853,2008-06-30
false,132938,2008-06-30
false,133243,2008-06-30
false,133850,2008-06-30
false,133971,2008-06-30
false,134156,2008-06-30
false,134437,2008-06-30
false,134455,2008-06-30
false,134848,2008-06-30
false,135751,2008-06-30
false,135836,2008-06-30
false,135854,2008-06-30
false,136048,2008-06-30
false,136338,2008-06-30
false,136459,2008-06-30
false,136655,2008-06-30
false,137205,2008-06-30
false,137447,2008-06-30
false,137456,2008-06-30
false,137559,2008-06-30
false,137643,2008-06-30
false,137652,2008-06-30
false,137821,2008-06-30
false,137915,2008-06-30
false,138051,2008-06-30
false,138257,2008-06-30
false,138350,2008-06-30
false,138556,2008-06-30
false,138725,2008-06-30
false,138752,2008-06-30
false,139133,2008-06-30
false,139432,2008-06-30
false,139478,2008-06-30
false,139553,2008-06-30
false,139656,2008-06-30
false,139740,2008-06-30
false,139834,2008-06-30
false,139843,2008-06-30
false,139955,2008-06-30
false,140018,2008-06-30
false,140157,2008-06-30
false,140362,2008-06-30
false,140634,2008-06-30
false,141211,2008-06-30
false,141341,2008-06-30
false,141350,2008-06-30
false,141453,2008-06-30
false,141556,2008-06-30
false,141734,2008-06-30
false,141958,2008-06-30
false,142049,2008-06-30
false,142571,2008-06-30
false,142656,2008-06-30
false,142955,2008-06-30
false,143158,2008-06-30
false,143653,2008-06-30
true,143662,2008-06-30
false,143859,2008-06-30
false,143952,2008-06-30
false,144034,2008-06-30
false,144052,2008-06-30
false,144155,2008-06-30
false,144436,2008-06-30
false,144856,2008-06-30
false,144913,2008-06-30
false,145059,2008-06-30
false,145545,2008-06-30
false,145554,2008-06-30
false,145741,2008-06-30
false,145750,2008-06-30
false,145844,2008-06-30
false,145956,2008-06-30
false,146056,2008-06-30
false,146533,2008-06-30
false,146618,2008-06-30
false,146654,2008-06-30
false,146663,2008-06-30
false,146850,2008-06-30
false,147053,2008-06-30
false,147174,2008-06-30
false,147633,2008-06-30
false,147651,2008-06-30
false,147679,2008-06-30
false,147839,2008-06-30
false,147857,2008-06-30
false,147923,2008-06-30
false,148144,2008-06-30
false,148238,2008-06-30
false,148340,2008-06-30
false,148715,2008-06-30
false,148809,2008-06-30
false,148920,2008-06-30
false,149150,2008-06-30
false,149235,2008-06-30
false,149253,2008-06-30
false,149271,2008-06-30
false,149945,2008-06-30
false,150035,2008-06-30
false,150044,2008-06-30
false,150071,2008-06-30
false,150156,2008-06-30
false,150334,2008-06-30
false,150352,2008-06-30
false,150727,2008-06-30
false,150754,2008-06-30
false,151331,2008-06-30
false,151546,2008-06-30
false,151555,2008-06-30
false,151751,2008-06-30
false,151818,2008-06-30
false,151957,2008-06-30
false,152048,2008-06-30
false,152057,2008-06-30
false,152235,2008-06-30
false,152253,2008-06-30
false,152431,2008-06-30
false,152440,2008-06-30
false,152673,2008-06-30
false,152851,2008-06-30
false,153054,2008-06-30
false,153353,2008-06-30
false,154154,2008-06-30
false,154257,2008-06-30
false,154770,2008-06-30
false,155245,2008-06-30
false,155517,2008-06-30
false,155759,2008-06-30
false,156457,2008-06-30
false,156635,2008-06-30
false,156877,2008-06-30
false,156952,2008-06-30
false,157155,2008-06-30
false,157379,2008-06-30
false,157650,2008-06-30
false,157744,2008-06-30
false,157838,2008-06-30
false,157856,2008-06-30
false,157904,2008-06-30
false,158554,2008-06-30
false,158741,2008-06-30
false,158750,2008-06-30
false,158947,2008-06-30
false,158974,2008-06-30
false,159243,2008-06-30
false,159636,2008-06-30
false,159645,2008-06-30
false,159953,2008-06-30
false,160360,2008-06-30
false,160454,2008-06-30
false,160557,2008-06-30
false,160614,2008-06-30
false,160650,2008-06-30
false,160959,2008-06-30
false,161031,2008-06-30
false,161107,2008-06-30
false,161273,2008-06-30
false,161433,2008-06-30
false,161602,2008-06-30
false,162337,2008-06-30
false,163343,2008-06-30
false,163370,2008-06-30
false,163549,2008-06-30
false,163857,2008-06-30
false,164032,2008-06-30
false,164153,2008-06-30
false,164331,2008-06-30
false,164377,2008-06-30
false,164854,2008-06-30
false,164957,2008-06-30
false,164975,2008-06-30
false,165039,2008-06-30
false,165628,2008-06-30
false,165758,2008-06-30
false,165806,2008-06-30
false,166111,2008-06-30
false,166531,2008-06-30
false,166652,2008-06-30
true,166803,2008-06-30
false,166849,2008-06-30
false,167060,2008-06-30
false,167453,2008-06-30
false,167556,2008-06-30
false,167565,2008-06-30
false,167752,2008-06-30
false,167855,2008-06-30
false,167864,2008-06-30
false,168366,2008-06-30
false,168441,2008-06-30
false,168571,2008-06-30
false,168731,2008-06-30
false,169073,2008-06-30
false,169233,2008-06-30
false,169327,2008-06-30
false,169354,2008-06-30
false,169653,2008-06-30
false,169756,2008-06-30
false,169952,2008-06-30
false,170051,2008-06-30
false,170257,2008-06-30
false,170332,2008-06-30
false,170640,2008-06-30
false,170716,2008-06-30
false,170976,2008-06-30
false,171133,2008-06-30
false,171656,2008-06-30
false,171759,2008-06-30
false,171768,2008-06-30
false,172158,2008-06-30
false,172251,2008-06-30
false,172457,2008-06-30
false,172747,2008-06-30
false,172859,2008-06-30
false,173306,2008-06-30
false,173342,2008-06-30
false,173548,2008-06-30
false,173557,2008-06-30
false,173575,2008-06-30
true,173641,2008-06-30
false,173959,2008-06-30
false,174321,2008-06-30
false,174367,2008-06-30
false,175056,2008-06-30
false,175140,2008-06-30
false,175458,2008-06-30
false,175609,2008-06-30
false,175672,2008-06-30
false,176053,2008-06-30
false,176101,2008-06-30
false,176325,2008-06-30
false,176437,2008-06-30
false,176464,2008-06-30
false,176642,2008-06-30
false,177135,2008-06-30
false,177443,2008-06-30
false,177500,2008-06-30
false,177546,2008-06-30
false,177555,2008-06-30
false,177751,2008-06-30
false,177920,2008-06-30
false,177957,2008-06-30
false,178057,2008-06-30
false,178150,2008-06-30
false,178244,2008-06-30
false,178271,2008-06-30
false,178356,2008-06-30
false,178851,2008-06-30
false,179148,2008-06-30
false,179335,2008-06-30
false,179700,2008-06-30
false,179755,2008-06-30
false,180041,2008-06-30
false,180078,2008-06-30
false,180144,2008-06-30
false,180201,2008-06-30
false,180416,2008-06-30
false,180443,2008-06-30
false,180537,2008-06-30
false,180649,2008-06-30
false,180845,2008-06-30
false,181347,2008-06-30
false,181459,2008-06-30
false,181758,2008-06-30
false,181851,2008-06-30
false,181963,2008-06-30
false,182157,2008-06-30
false,182353,2008-06-30
false,182401,2008-06-30
false,182652,2008-06-30
false,182951,2008-06-30
false,183042,2008-06-30
false,183051,2008-06-30
false,183154,2008-06-30
false,183668,2008-06-30
false,183770,2008-06-30
false,183846,2008-06-30
false,183958,2008-06-30
false,184142,2008-06-30
false,184245,2008-06-30
false,184656,2008-06-30
false,184759,2008-06-30
false,184937,2008-06-30
false,185037,2008-06-30
false,185251,2008-06-30
false,185448,2008-06-30
false,185457,2008-06-30
false,185859,2008-06-30
false,186221,2008-06-30
false,186548,2008-06-30
false,186557,2008-06-30
false,186650,2008-06-30
false,186717,2008-06-30
false,186744,2008-06-30
false,186838,2008-06-30
false,186856,2008-06-30
false,187358,2008-06-30
false,187451,2008-06-30
false,187648,2008-06-30
false,187947,2008-06-30
false,188056,2008-06-30
false,188430,2008-06-30
false,188449,2008-06-30
false,188720,2008-06-30
false,188739,2008-06-30
false,188757,2008-06-30
false,188917,2008-06-30
false,188926,2008-06-30
false,189044,2008-06-30
false,189129,2008-06-30
false,189352,2008-06-30
false,189419,2008-06-30
false,189549,2008-06-30
false,189745,2008-06-30
false,189820,2008-06-30
false,189950,2008-06-30
false,190246,2008-06-30
false,190451,2008-06-30
false,190554,2008-06-30
false,190563,2008-06-30
false,190639,2008-06-30
false,190648,2008-06-30
false,190947,2008-06-30
false,190956,2008-06-30
false,191355,2008-06-30
false,191449,2008-06-30
false,191663,2008-06-30
false,191935,2008-06-30
false,192147,2008-06-30
false,192156,2008-06-30
false,192558,2008-06-30
false,192651,2008-06-30
false,192857,2008-06-30
false,193162,2008-06-30
false,193247,2008-06-30
false,193461,2008-06-30
false,193537,2008-06-30
false,193649,2008-06-30
false,193809,2008-06-30
false,194253,2008-06-30
false,194440,2008-06-30
false,194936,2008-06-30
false,195072,2008-06-30
false,195111,2008-06-30
false,195157,2008-06-30
false,195456,2008-06-30
false,196257,2008-06-30
false,196743,2008-06-30
false,196752,2008-06-30
false,196800,2008-06-30
false,197142,2008-06-30
false,197254,2008-06-30
false,197302,2008-06-30
false,197357,2008-06-30
false,197478,2008-06-30
false,197759,2008-06-30
false,198046,2008-06-30
false,198103,2008-06-30
false,198149,2008-06-30
false,198251,2008-06-30
false,198831,2008-06-30
false,198859,2008-06-30
false,198961,2008-06-30
false,199052,2008-06-30
false,199137,2008-06-30
false,199351,2008-06-30
false,199436,2008-06-30
false,199454,2008-06-30
false,199463,2008-06-30
false,199940,2008-06-30
false,200042,2008-06-30
false,200435,2008-06-30
false,200640,2008-06-30
false,201049,2008-06-30
false,201124,2008-06-30
false,201254,2008-06-30
false,201441,2008-06-30
false,201638,2008-06-30
false,201647,2008-06-30
false,201834,2008-06-30
false,202251,2008-06-30
false,202514,2008-06-30
false,202541,2008-06-30
false,202550,2008-06-30
false,202907,2008-06-30
false,203052,2008-06-30
false,203418,2008-06-30
false,203575,2008-06-30
false,204004,2008-06-30
false,204237,2008-06-30
false,204826,2008-06-30
false,205159,2008-06-30
false,205243,2008-06-30
false,205346,2008-06-30
false,205458,2008-06-30
false,205542,2008-06-30
false,205654,2008-06-30
false,206156,2008-06-30
false,206174,2008-06-30
false,206772,2008-06-30
false,206950,2008-06-30
false,207041,2008-06-30
false,207050,2008-06-30
false,207452,2008-06-30
false,207555,2008-06-30
false,207564,2008-06-30
false,207845,2008-06-30
false,207872,2008-06-30
false,207957,2008-06-30
false,208057,2008-06-30
false,208169,2008-06-30
false,208244,2008-06-30
false,208347,2008-06-30
false,208440,2008-06-30
false,208459,2008-06-30
false,208655,2008-06-30
false,208972,2008-06-30
false,209148,2008-06-30
false,209335,2008-06-30
false,209362,2008-06-30
false,209447,2008-06-30
false,209559,2008-06-30
false,209830,2008-06-30
false,209858,2008-06-30
