RIAD4097,RIAD4235,RIAD4239,RIAD4341,RIAD4797,RIAD4843,RIAD4844,RIAD4845,RIAD4846,RIADB523,RIADB524,RIADB525,RIADC899,RIADC900,RIADC902,RIADC903,RIADC904,RIADC905,RIADC907,RIADC908,RIADC909,RIADC911,RIADC913,RIADC914,RIADGW64,RIADJA28,RIADKW02,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,15536,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,16337,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,16458,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,16551,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,16748,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,16944,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,16953,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,17110,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,17147,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,17259,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,17464,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,17839,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,17950,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,18050,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,18135,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,18377,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,18827,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,18836,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,18854,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,18957,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,19356,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,19730,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,19936,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,19972,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,20053,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,20147,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,20370,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,20512,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,20633,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,20857,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,20866,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,21256,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,21359,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,21630,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,21658,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,22048,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,22356,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,22459,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,22543,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,22552,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,22730,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,22936,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,22954,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23036,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23045,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23241,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23504,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23540,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23643,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23755,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,23812,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,24006,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,24453,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,24659,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,24668,2008-12-31
