"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1350	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2800	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	FED. FUNDS SOLD & SECURITIES RS.	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	
37										2614		213	0			0	0			0	0	
242										358		131	0			0	0			1200	81	
279										3265		600	0			0	0			7500	500	
354										0		5	0			162	0			0	0	
439										6817		0	0			0	0			0	0	
457										2200		5	0			0	0			0	0	
505										12300		1256	0			0	0			4000	0	
1146										0		1326	0			6000	0			4080	2578	
1155										0		463	0			9305	0			0	0	
1351										5818		0	0			0	0			0	0	
1454										24100		1040	0			0	0			0	5	
1557										5716		23	0			0	0			60	0	
1632										0		500	0			11482	0			10000	0	
1669										14122		682	0			0	0			1004	0	
1829										0		964	0			0	0			0	728	
1856										759		20	0			0	0			0	0	
1959										0		0	0			0	0			0	0	
2040										8189		908	0			0	0			15416	185	
2161										4440		188	0			0	0			0	0	
2376										0		3969	0			23080	0			0	40000	
2451										290		95	0			0	0			1900	3	
2554										0		0	0			0	0			100	0	
2732										4200		181	0			0	0			350	0	
2750										2420		187	0			100	0			2589	0	
2938										0		1000	0			22754	0			20000	32	
2956										7090		0	0			0	0			0	0	
3252										2425		145	0			0	0			105	0	
3458										0		47	0			1074	0			0	0	
3506										0		3977	0			16047	0			13000	0	
3579										0		1444	0			4497	0			21897	0	
3720										0		625	0			2400	0			9467	0	
3953										2790		35	0			0	0			148	0	
4138										76		736	0			1000	0			5191	2998	
4147										4652		8398	0			0	0			8000	3000	
4156										0		495	0			1000	0			9856	0	
4231										0		0	0			1695	0			0	0	
4437										4756		718	0			3698	0			446	0	
4745										450		0	0			0	0			0	0	
4839										0		945	0			1472	0			18900	0	
5005										8232		1909	0			0	0			25404	12093	
5050										0		388	0			0	0			0	0	
5069										28300		0	0			0	0			0	1931	
5135										5743		334	0			0	0			0	0	
5210										0		3565	0			35181	0			450	0	
5247										131100		0	0			24525	0			2595	0	
5274										0		3020	0			187	0			1500	0	
5331										1300		1437	0			0	0			406	0	
5461										12225		0	0			0	0			466	1554	
5751										5275		0	0			0	0			0	0	
5939										78550		13168	0			46182	0			22253	0	
6039										3716		299	0			0	0			10	50	
6057										353		75	0			0	0			1500	0	
6141										5100		0	0			0	0			0	0	
6329										2450		725	0			0	0			0	0	
6842										2320		65	0			0	0			301	0	
6972										66565		0	0			2031	0			2474	0	
7009										50000		0	0			0	0			0	32417	
7045										16780		0	0			0	0			0	0	
7157										0		0	0			600	0			0	0	
7166										37005		1234	0			0	0			0	0	
7456										1325		86	0			0	0			0	0	
7634										316		87	0			0	0			0	0	
8033										975		423	0			0	0			1832	0	
8154										635		132	0			0	0			0	0	
8417										1457726		2191	0			0	0			0	0	
8462										3200		21	0			0	0			0	0	
8547										7780		939	0			2275	0			8000	0	
8631										2980		168	0			0	0			0	0	
9115										303500		913	0			2327	0			0	473	
9160										15349		545	0			0	0			7650	0	
9339										0		3331	0			13384	0			30500	0	
9357										0		3240	0			2946	0			64800	0	
9553										300		302	0			2000	0			0	0	
9807										118000		8157	0			42965	0			100792	0	
9955										3350		401	0			0	0			803	0	
10157										0		533	0			0	0			6375	4	
10250										8472		483	0			0	0			0	0	
10577										500		346	0			0	0			0	0	
10849										1685		1201	0			0	0			6873	0	
10858										1500		1464	0			6645	0			6645	0	
11145										900		447	0			1850	0			8596	0	
11350										1400		26	0			231	0			164	0	
11640										0		1418	0			0	0			18776	0	
11837										41		847	0			6001	0			0	0	
12030										8260		541	0			0	0			0	0	
12058										4000		281	111			0	111			2167	0	
12142										2100		447	0			0	0			2000	0	
12245										1700		779	0			0	0			3500	0	
12311	0	877872	138317	856273	0	535484	263722	151309	3500	58300	2826621	32468	16382	0	28167023	1736655	16382	1086872	24518885	2007749	144	
12357										3000		4	0			0	0			0	0	
12405										0		3447	0			29193	0			860	4725	
12647										1600		141	0			0	0			0	0	
12656										255		23	0			0	0			0	0	
12937										0		591	0			0	0			9434	0	
12946										4475		1385	0			0	0			15402	0	
12955										3225		324	0			0	0			5000	0	
13037										2671		51	0			0	0			0	460	
13103										39122		2482	0			5678	0			3225	24866	
13251										2071		102	0			0	0			0	0	
13309										94500		11537	0			50303	0			220061	3003	
13457										650		3	0			0	0			0	222	
14052										2159		233	0			0	0			0	0	
14155										0		195	0			560	0			3900	0	
14258										50000		3184	0			33825	0			5000	0	
14409	24804	25000	1965	1270872	925715	1078330	683152	409801	675	260000	4420314	55172	2481	0	17388218	1482715	2481	286707	14492690	319058	0	
14454										125		244	0			0	0			3839	0	
14650										900		56	0			0	0			0	0	
14753										800		9	0			0	0			0	0	
14865										120		229	0			0	0			1950	0	
14931										4675		95	0			42	0			0	0	
14940										3475		0	0			3326	0			218	0	
15536										41864		4755	0			0	0			0	0	
15732										0		548	0			3702	0			0	500	
16337										17542		903	0			1201	0			17066	0	
16355										2870		190	0			0	0			2000	0	
16458										7897		633	0			0	0			1992	0	
16551										2533		525	0			0	0			8864	0	
16748										4300		302	0			0	0			2000	0	
16766										0		4757	0			91200	0			90000	0	
16944										3500		0	0			0	0			0	0	
16953										3500		0	0			0	0			0	0	
17110										14981		219	0			0	0			0	0	
17147										1325		4195	0			52202	0			82905	0	
17259										400		233	0			0	0			2162	0	
17464										1000		2010	0			2000	0			2500	308	
17549										23000		461	0			0	0			0	0	
17642										9296		0	0			0	0			0	0	
17839										0		338	0			11859	0			0	0	
17950										1275		630	0			0	0			1973	0	
18050										10450		885	0			0	0			4430	0	
