"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37															0	213	245	1308	33	42	0	0	0	0	0	808	0	0				
242															0	131	0	402	0	6	6	0	0	0	0	265	0	0	OTHER                                                                                                                                                                                            			
279															0	600	0	1504	20	207	0	0	0	0	0	697	23	0				
354															0	5	1	162	0	9	0	0	0	0	0	147	0	0				
439															0	0	256	1847	161	421	0	0	0	0	0	1170	0	0				
457															0	5	85	808	0	388	0	0	0	0	0	330	372	0				
505															0	1256	0	5214	1162	2492	754	0	0	0	0	1466	0	0	SPLIT DOLLAR RECEIVABLE                                                                                                                                                                          			
1146															0	1326	0	11987	857	9513	5405	1427	0	0	0	1148	0	0	LTC-INVT TITLE PLANT INVESTMENT                                                                                                                                                                  	DUE FR FEDERATED                                                                                                                                                                                 		
1155															0	463	30	1917	45	209	0	0	0	0	0	1215	0	0				
1351															0	0	0	1497	38	349	311	0	0	0	0	1148	0	0	PRE PAID INCOME TAX                                                                                                                                                                              			
1454															0	1040	0	4154	867	1067	0	0	0	0	0	2047	0	0				
1557															0	23	0	797	39	39	0	0	0	0	0	735	0	0				
1632															0	500	341	4157	0	1023	0	0	0	0	0	2293	912	0				
1669															0	682	0	3566	243	336	0	0	0	0	0	2548	0	0				
1829															0	964	0	2933	447	1424	924	0	0	0	0	545	0	0	AIR INVESTMENTS                                                                                                                                                                                  			
1856															0	20	0	280	0	48	25	0	0	0	0	212	0	0	Int E&A but Uncoll-Other Securities                                                                                                                                                              			
1959															0	0	0	436	0	14	0	0	0	0	0	422	0	0				
2040															0	908	52	2316	389	489	56	39	0	0	0	867	0	0	Petroleum cleanup costs                                                                                                                                                                          	Computer software                                                                                                                                                                                		
2161															0	188	0	1153	142	526	304	0	0	0	0	439	0	0	U S GOVN AGENCY                                                                                                                                                                                  			
2376															0	3969	0	7613	164	364	0	0	0	0	0	3280	0	0				
2451															0	95	1	437	0	81	26	0	0	0	0	260	45	0	Accts Rec. - Beverly Ins Agency                                                                                                                                                                  			
2554															0	0	0	162	10	25	8	7	0	0	0	137	0	0	Prepaid Taxes                                                                                                                                                                                    	SOFTWARE                                                                                                                                                                                         		
2732															0	181	0	3829	38	540	154	144	0	0	0	3108	179	0	current federal inc tax                                                                                                                                                                          	leasehold purchase                                                                                                                                                                               		
2750															0	187	65	2421	0	571	537	0	0	0	0	1598	0	0	Deferred Comp.                                                                                                                                                                                   			
2938															67	1000	92	4578	66	133	0	0	0	0	0	3353	0	0				
2956															34	0	0	1382	10	44	0	0	0	0	0	1338	0	0				
3252															0	145	0	3281	0	598	441	0	0	0	0	2538	0	0	NP DRS                                                                                                                                                                                           			
3458															0	47	0	337	0	16	0	0	0	0	0	274	0	0				
3506															0	3977	873	26324	0	17092	15170	0	0	0	0	4382	0	0	Bank owned life insurance                                                                                                                                                                        			
3579															0	1444	0	3696	0	1046	777	0	0	0	0	1206	0	0	Prepaid Pension Contribution                                                                                                                                                                     			
3720															0	625	140	3722	0	2309	0	0	0	0	0	648	1602	0				
3953															23	35	0	1998	138	521	0	0	0	0	0	1442	360	0				
