"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5596	RCON5597	RCON6861	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	DEPOSITS IN LIFELINE ACCOUNTS	ESTIMATE OF UNINSURED DEPOSITS	EST AMT OF UNINSURD DEPS METHD INDCT	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
4147	0	0	0	0		0	0	0		72380	5291	33	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
4156	0	0	0	0		0	0	0		35516	11682	58	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
4231	0	0	0	0		0	0	0		50373	18521	81	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
4437	0	0	0	0		0	0	0		80326	32661	183	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
4745	0	0	0	0		0	0	0		5618	2636	12	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
4839	0	0	0	0		0	0	0		99914	56385	244	0	0	0	0		0		7	0		0	false	0	0	0	0	0	0	0	0	0	0		
5005	0	0	0	87		0	0	146		152053	57087	288	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5050	0	0	0	0		0	0	0		45226	25174	91	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5069	0	11	0	420		0	0	0		94826	108327	792	0	10	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5135	0	0	0	0		0	0	0		46659	25490	159	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5210	0	0	0	0		0	0	0		412236	65056	323	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5247	0	0	0	0		0	0	0		574845	185209	853	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5274	0	0	0	8		0	0	125		61285	17438	73	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5331	0	0	0	2039		0	0	60		137840	49069	243	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5461	0	0	0	0		0	0	0		71662	113817	398	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5751	0	3	0	0		0	0	0		34091	30935	126	0	2	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
5939	0	0	0	0		0	0	0		1741268	396279	2626	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
6039	0	0	0	0		0	0	0		50995	17616	85	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
6057	0	0	0	0		0	0	0		8854	3307	20	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
6141	0	0	0	0		0	0	0		19806	8778	30	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
6329	0	0	0	0		0	0	0		114743	70250	356	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
6842	0	0	0	0		0	0	0		17050	3484	27	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
6972	0	0	0	0		0	0	0		349266	187434	735	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
7009	0	0	0	0		0	0	3875		51432	443039	528	0	0	0	0		4		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
7045	0	0	0	0		0	0	0		49823	36303	96	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
7157	0	0	0	0		0	0	0		21517	4548	26	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
7166	0	0	0	0		0	0	0		194846	186698	701	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
7456	0	0	0	0		0	0	0		28852	7706	29	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
7634	0	0	0	0		0	0	0		23138	9018	47	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
8033	0	0	0	0		0	0	0		26094	12533	35	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
8154	0	0	0	0		0	0	0		28882	4098	19	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
8417	0	0	0	0		0	0	0		280654	2170165	578	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
8462	6	0	0	0		0	0	0		31112	24227	151	3	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
8547	0			0		0	0	0		80890	11793	59	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
8631	0	0	0	0		0	0	0		30320	9406	47	0	0	0	0		0		0	0			false	0	0	0	0	0	0						
9115	0	0	0	0		0	0	0		733403	672712	1425	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
9160	1	0	0	0		0	0	0		93030	30555	194	1	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
9339	0	108	0	0		0	0	0		154869	68514	436	0	8	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
9357	0	0	0	0		0	0	0		49684	162039	396	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
9553	0	0	0	0		0	0	0		32827	10716	55	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
9807	0	0	0	0		0	0	0		672868	663033	1864	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
9955		8	0	0		0	0	0		45227	29645	48		1	1	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
10157	0	0	0	0		0	0	0		46917	13575	63	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
10250	0	0	0	0		0	0	0		141039	54792	326	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
10577	0	2	0	0		0	0	0		41552	5692	39	0	3	0	0		0		0	0			false	0	0	0	0	0	0						
10849	0	0	0	0		0	0	0		89801	49019	253	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
10858	0	0	0	0		0	0	0		197065	72503	356	0	0	0	0		0		0	0			false	0	0	0	0	0	0						
11145	0	0	0	0		0	0	0		67947	25718	130	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
11350	30	0	0	0		0	0	0		28987	8572	57	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
11640	0	0	0	0		0	0	0		72935	50895	130	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
11837	0			0		0	0	0		36993	17031	97	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
12030	0	0	0	0		0	0	0		86269	76499	165	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
12058	0	0	0	0		0	0	0		70966	21448	136	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
12142	0	0	0	0		0	0	0		77373	68838	195	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
12245	0	0	0	0		0	0	0		50841	21112	101	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
12311	0	0	0	50978	0	0	0	0	0	13449427	6341282	22917	680	0	0	98790		0	0	0	0		0	false	0	15	0	0	0	0	0	0	0	0		
12357	0	0	0	0		0	0	0		20918	4378	24	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
12405	0	0	0	0		0	0	0		542741	311128	983	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
12647	0	0	0	0		0	0	0		25932	12176	58	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
12656	0			0		0	0	0		5843	3729	9	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
12937	0	0	0	0		0	0	0		51471	45013	148	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
12946	0	0	0	0		0	0	0		209436	125744	512	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
12955	1	0	0	0		0	0	0		44945	27689	100	1	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
13037	0			0		0	0	0		88041	22187	116	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
13103	0	0	0	3875		0	0	0		384484	150692	673	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
13251	0	0	0	0		0	0	0		16146	10679	66	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
13309	0	0	0	31903		0	0	0		1180875	457441	1928	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
13457	0	0	0	0		0	0	0		13466	2973	15	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
14052	0	3	0	0		0	0	0		35566	17714	80	0	0	108	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
14155	0	0	0	0		0	0	0		47078	9797	54	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
14258	12	0	0	0		0	0	0		164179	243395	722	2	0	0	0		0		0	0			false	0	0	0	0	0	0						
14409	0	0	0	680172	0	0	0	17	0	6923992	4919607	16875	0	0	0	0		0	0	0	178		0	false	0	0	0	0	0	0	0	0	0	0		
14454	0	24	114	0		0	0	0		22478	14580	120	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
14650	0	0	0	0		0	0	0		19467	7184	28	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
14753	0	0	0	0		0	0	0		18251	2809	16	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
14865	0	0	0	0		0	0	0		38657	29527	115	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
14931	0			0		0	0	35		14792	9817	42	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
14940	0	0	0	0		0	0	0		71628	42683	184	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
15536	0			0		0	0	0		641463	272164	1267	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
15732	0	0	0	0		0	0	0		134365	90862	372	0	0	0	0		0		47	0		0	false	0	0	0	0	0	0	0	0	0	0		
16337	0	0	0	0		0	0	0		117809	42222	233	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
16355	0	0	0	0		0	0	0		22293	12533	63	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
16458	2846	0	0	0		0	0	0		93877	42836	196	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
16551	0	0	0	0		0	0	0		43629	5326	37	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
16748	0	0	0	0		0	0	0		34951	6269	41	0	0	0	0		0		0	0			false	0	0	0	0	0	0						
16766	0	0	0	0		0	0	0		68822	162253	350	0	0	0	0		0		0	0			false	0	0	0	0	0	0						
16944	0	0	0	0		0	0	0		22437	2789	20	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
16953	14	0	0	0		0	0	0		20445	3618	16	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
17110	0			0		0	0	0		5606	55750	99	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
17147	0	0	0	0		0	0	0		329835	228899	702	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
17259	0	22	1	0		0	0	0		33999	4396	25	0	0	0	0		0		0	0		463	true	0	0	0	0	0	0	0	0	0	0		
17464	0	0	0	0		0	0	0		234164	190062	599	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
17549	0	0	0	0		0	0	0		93668	75326	319	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
17642	0	0	0	0		0	0	0		25563	8874	46	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
17839	0	0	0	0		0	0	0		100839	42576	214	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
17950	213	0	0	0		0	0	0		20487	17659	73	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
18050	0	0	0	0		0	0	0		123596	54035	238	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
18126	0	0	0	0		0	0	0		485451	284729	841	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	128836	0	0	0		
18135	0	0	0	0		0	0	0		91638	21161	103	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
18368	0	0	0	0		0	0	0		163050	196088	698	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
18377	0	0	0	0		0	0	0		11233	527	5	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
18827	0	0	0	0		0	0	0		83951	30541	111	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
18836	0			0		0	0	0		75166	24756	153	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
18854	0	0	0	0		0	0	0		15556	5815	36	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
18863	0			0		0	0	0		150085	146204	553	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
18957	0	0	0	0		0	0	0		28132	12030	59	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
19356	0	0	0	0		0	0	0		63392	13045	75	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
19730	0	0	0	0		0	0	0		475127	278339	947	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
19936	0	0	0	0		0	0	0		65597	49058	216	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
19972	0	0	0	0		0	0	0		29378	3731	29	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20053	0	0	0	0		0	0	159		16817	1328	4	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20147	0	0	0	0		0	0	0		31019	5449	37	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20259	0	85	2	0		0	0	0		18919	10005	33	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20370	0	0	0	0		0	0	0		57529	30953	131	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20512	0	0	0	0		0	0	0		50631	15243	66	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20633	0	0	0	0		0	0	0		60474	23525	109	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20754	0	0	0	0		0	0	0		9566	940	7	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20839	0	0	0	0		0	0	0		42325	15467	115	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20857	0	0	0	0		0	0	0		24586	11940	52	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
20866	83			0		0	0	0		47141	12388	79	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
21256	0			0		0	0	0		5707	1525	12	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
21359	0			0		0	0	0		10192	2116	13	0			0		0		0	0		0	false	0	0	0	0	0	0	0	0	0			
21630	0	0	0	0		0	0	0		23543	18414	77	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
21658	0	0	0	0		0	0	0		52748	8585	48	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22048	303	0	0	0		0	0	0		83549	59315	341	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22235	0	0	0	0		0	0	0		137262	47960	337	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22356	0	0	0	0		0	0	0		112972	71815	215	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22459	0	0	0	0		0	0	0		62490	12261	63	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22543	0	0	0	0		0	0	0		30581	14462	61	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22552	3	0	0	0		0	0	0		25901	5742	39	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22730	0	0	0	0		0	0	0		62705	11141	73	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22860	0	0	0	0		0	0	0		364900	242836	595	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22936	67	0	0	0		0	0	0		57045	42468	261	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
22954	0	0	0	0		0	0	0		32738	9080	45	0	2	2	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23036	0	0	0	0		0	0	0		143080	75259	363	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23045	0	0	0	0		0	0	0		13770	5534	29	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23241	0	0	0	21		0	0	2425		1438349	612391	2112	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23344	0	0	0	0		0	0	0		51669	34113	101	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23456	0	1	0	0		0	0	0		42316	8062	50	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23504	0	0	0	1023		0	0	1086		169101	196233	556	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23540	0	0	0	0		0	0	0		71606	41922	132	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23643	0	0	0	0		0	0	0		71902	48779	261	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23755	0	0	0	0		0	0	0		50886	34651	124	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
23812	0	0	0	0		0	0	0		290953	186085	765	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
24006	0	0	0	2228		0	0	23352		464644	104814	675	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
24266	0	0	0	8975		0	0	11450		1020420	574064	2568	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
24453	0	16	0	0		0	0	0		17046	21951	47	0	0	1	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
24659	0	0	0	0		0	0	0		15405	2695	19	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
24668	0	0	0	0		0	0	0		66844	23635	168	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
24855	2	0	0	0		0	0	0		6382	1084	6	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
24949	0	0	0	0		0	0	0		157126	67460	269	0	0	0	0		0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
