"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	FED. FUNDS SOLD & SECURITIES RS.	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	FED. FUNDS SOLD & SECURITIES RS.	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	
37																																							0	1406	0	2614	16358	0	0	560	40	0	1308	65575	53284	0	0	505	53789	0	1070	0	0	0	11786	1200	65575	0	0	8086	0	2500	0	5937	47347		0	44359	43289	0	
242																																							855	228	0	358	0	7161	0	292	0	0	402	24753	19648	0	0	195	21043	0	123	0	1200	0	3710	120	24753	0	0	3331	0	120	0	2482	17166		0	15580	15457	139	
279																																							1487	1240	0	3265	37652	29613	226	528	122	0	1504	100248	76654	0	0	272	84426	0	279	0	7500	0	15822	0	100248	0	0	15542	0	0	0	1621	75034		0	24890	24611	280	
354																																							0	443	0	0	115	4157	0	30	0	0	162	8573	7169	162	0	95	7426	0	131	0	0	0	1147	25	8573	0	0	558	0	500	0	1255	5914		0	3797	3666	64	
439																																							0	5315	3616	6817	3294	18870	0	2529	0	0	1847	148085	130318	0	0	1753	132071	0	873	0	0	0	16014	596	148085	0	0	8639	0	6503	0	28105	102213		0	106670	105797	276	
457																																							93	589	0	2200	3432	0	0	89	0	0	808	19455	17297	0	0	318	17615	0	156	0	0	0	1840	60	19455	0	0	840	0	940	0	2019	15278		0	12400	12244	0	
505																																							30	9135	88	12300	0	61509	20	5423	175	0	5214	252787	226584	0	0	3192	233776	52	2006	1709	4000	0	18959	6480	252787	0	0	4729	0	6480	0	41690	184894		0	159190	157184	1270	
1146																																							2207	11935	684	0	275	29848	0	9623	547	0	11987	310369	267224	6000	0	4350	287654	0	2551	145	4080	6000	22715	18	310369	0	0	13759	0	8629	0	54418	212806		0	245669	243118	309	
1155																																							3	4991	0	0	13056	17966	0	4338	19	0	1917	124959	105460	9305	0	690	115455	0	1211	0	0	0	9504	1600	124959	0	0	4222	0	3400	0	12203	93257		0	83880	82669	282	
