"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
788559																0	622	342	2122	0	0	0	0	0	0	0	1158	0	0	0				
788652																0	470	209	3037	108	388	274	0	0	0	0	606	1364	0	0	Agency Contract Receivable			
789051																0	157	8	1100	28	28	0	0	0	0	0	321	586	0	0				
790150																0	167	5	1305	35	88	0	0	0	0	0	399	646	0	0				
790235																0	156	0	376	0	108	0	0	0	0	0	112	0	0	0				
790271																0	3217	343	4549	0	751	298	0	0	0	0	238	0	0	0	ACCR INT ON US AGENCY			
790534																0	12110	0	36578	786	2972	1414	0	0	0	0	6276	15220	0	0	Imp Customer Liabilities on Acceptances			
790543																0	6161	3038	15144	0	1662	1053	0	0	0	0	4283	0	0	0	CURRENT FED/STATE TAX LIABILTY OVERPAYMENT			
790703																0	4506	1467	11407	294	1172	0	0	0	0	0	1018	3244	0	0				
790721																0	6355	3757	24694	0	1942	0	0	0	0	0	3688	8952	0	0				
790851																0	0	0	343	24	32	0	0	0	0	0	112	199	0	0				
790918																0	5044	3164	23790	595	1183	450	0	0	0	0	2702	11697	0	0	PPD FIT			
791072																5	244	0	2495	84	176	59	0	0	0	0	931	1144	0	0	Accts Rec Life Ins Contracts			
791205																0	404	0	811	0	52	0	0	0	77	7	271	0	0	0				
791353																0	607	0	2052	0	49	0	0	0	0	0	872	524	0	0				
791474																339	19502	6780	42040	1559	6499	376	0	0	0	0	8775	484	0	0	SOFTWARE			
791513																0	524	1157	6615	90	321	130	0	0	0	0	392	4221	0	0	Rabbi Trust Fund			
791746																0	164	29	777	30	45	0	0	0	0	0	515	24	0	0				
791821																0	55	338	1641	195	620	393	0	0	0	0	628	0	0	0	deferred software cost			
791942																0	517	0	1626	186	188	0	0	0	0	0	921	0	0	0				
792248																0	247	0	976	0	30	0	0	0	0	0	699	0	0	0	FTSB CHECK SUPPLY INVENTORY			
792453																0	614	0	1203	0	0	0	0	0	0	0	589	0	0	0				
792640																0	111	4	705	102	112	0	0	0	0	0	478	0	0	0				
792659																0	446	0	967	64	65	0	0	0	0	0	456	0	0	0				
792743																0	585	1340	2464	32	32	0	0	0	0	0	507	0	0	0				
793151																0	2095	541	11733	374	546	0	0	0	0	0	1838	6713	0	0				
793245																0	426	0	682	57	141	0	0	0	0	0	115	0	70	0				
793571																0	2821	751	9201	198	275	42	0	0	0	0	1350	4004	0	0	Prepaid income taxes			
794149																0	344	0	1893	0	716	482	0	0	0	0	833	0	0	0	EDP Software			
794251																0	170	0	709	33	83	0	0	0	0	0	456	0	0	0				
794336																0	240	1717	5446	0	1889	1062	0	0	0	0	1600	0	0	0	Suspense			
794345																0	308	1027	5649	48	97	49	0	0	0	0	1300	2917	0	0	Federal Income Tax Refund Receivable			
794608																0	2772	649	17672	361	1723	0	0	0	0	0	1526	11002	0	0				
794653																0	127	34	1052	0	1	0	0	0	0	0	200	690	0	0				
795249																0	291	409	1752	18	18	0	0	0	0	0	600	434	0	0				
795548																0	1070	437	3859	41	41	0	0	0	0	0	2311	0	0	0				
795959																0	1833	673	6382	203	255	0	0	0	0	0	1079	2542	0	0				
795968	0	79415	0	409872	21171	131706	61000	0	0	0	0	45594	153157	0	0		79415														Federal Tax Deposit			
796125																0	1518	1788	6214	232	527	0	0	0	0	0	2381	0	0	0				
796152																0	81	57	3149	220	246	0	0	0	0	0	554	2211	0	0				
796415																0	855	212	3020	333	565	229	0	0	0	0	1359	29	0	0	computer software book value			
796451																10	40	0	3427	286	412	116	0	0	0	0	2975	0	0	0	Software-Net			
796657																26	214	20	806	86	112	0	0	0	0	0	460	0	0	0				
796769																6	461	0	1067	94	232	115	0	0	0	0	374	0	0	0	115			
797140																0	729	248	3077	0	237	0	0	0	0	0	577	1286	0	0				
797159																0	85	0	221	0	10	0	0	0	0	0	126	0	0	0				
797234																0	0	1237	3118	0	617	0	0	0	0	0	1264	0	0	0				
797319																0	73	1	1054	174	404	175	0	0	0	0	544	32	0	0	OTHER RECEIVABLE - FNBM			
797467																0	1939	2837	16552	435	450	0	0	0	0	0	2084	9242	0	0				
797775																0	4425	7604	25558	890	2970	0	0	0	0	0	6043	4516	0	0				
798512																0	494	0	1214	0	256	198	0	0	0	0	403	61	0	0	DEFERRED FEE PLAN - RECEIVABLE			
798857																0	829	0	2297	103	264	79	0	0	0	0	1204	0	0	0	accrued late charges-loans			
799359																0	108	0	239	0	2	0	0	0	0	0	129	0	0	0				
799612																0	6135	3355	35535	7859	18316	0	0	0	0	0	7729	0	0	0				
799751																0	450	0	1098	36	38	0	0	0	0	0	610	0	0	0				
799854																0	98	0	717	71	78	0	0	0	0	0	541	0	0	0				
799939																0	52	0	442	9	9	0	0	0	0	0	381	0	0	0				
799948																1299	263	48	3886	77	1954	0	0	0	0	0	1621	0	0	0				
800134																0	589	0	5825	138	248	0	0	0	0	0	1130	3858	0	0				
800442																0	200	806	3965	0	100	0	0	0	0	0	1009	1850	0	0				
800479																0	62	0	254	0	0	0	0	0	0	0	112	80	0	0				
800657																0	9742	4856	44407	3186	4129	0	0	0	13154	0	9738	2788	0	0				
800750																0	33429	0	134585	0	24148	0	0	0	0	0	20788	56220	0	0				
800853																0	434	0	4334	0	346	95	104	0	0	0	692	2862	0	0	Fine Arts	Prepaid Insurance		
801047																0	1426	1314	11822	0	1290	0	0	0	0	0	1567	6225	0	0				
801056																0	788	0	1487	45	91	0	0	0	0	0	608	0	0	0				
801654																0	290	0	3047	94	124	0	0	0	0	0	625	2008	0	0				
802110																0	26739	19861	166911	0	8643	0	0	0	0	0	22303	89365	0	0				
802129																0	18318	6846	65249	8014	11846	0	0	0	0	0	6770	21469	0	0				
802174																0	303	95	1162	32	61	0	0	0	0	0	194	509	0	0				
802352																0	950	486	4356	136	280	144	0	0	0	0	2640	0	0	0	Insurance Agency Accounts Receivable			
802736																0	572	1885	5574	0	347	111	0	0	0	0	1346	1424	0	0	CRA Fund			
802866	0	47380	42274	169589	0	55546	0	0	0	0	0	24389	0	0	0		47380																	
803144																0	293	124	820	0	120	38	57	0	0	0	283	0	0	0	Prepaid Maintenance Contracts	Prepaid Employee Insurances		
803256																5	127	0	722	30	36	1	0	0	0	0	559	0	0	0	Shazam Reserve			
803265																110	146	143	1984	169	334	49	0	0	0	0	310	1051	0	0	Due from Robert Lee Delaware			
803461																138	0	176	1181	152	371	0	0	0	0	0	634	0	0	0				
803649																0	291	20	2660	147	365	157	0	0	0	0	1984	0	0	0	Computer software			
803658																0	234	314	2403	17	17	0	0	0	0	0	583	1255	0	0				
803957																0	4	0	748	0	76	42	0	0	0	0	668	0	0	0	computer software			
804150																8	65	221	821	20	114	4	82	0	0	0	421	0	0	0	COMPUTER SOFTWARE	INCOME TAX RECEIVABLE		
804338																0	0	3654	8553	862	996	0	0	0	0	0	3903	0	0	0				
