"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											160					0	0	0	0	
242											153					2612	0	0	500	
279											1475					28708	0	0	0	
354											5					0	0	0	0	
439											339					0	0	0	0	
457											132					0	0	0	0	
505											2939					42100	0	0	0	
1146											2368					42843	883	0	0	
1155											733					3000	0	0	14831	
1351											0					0	0	0	0	
1454											1096					0	5	0	0	
1557											132					2111	0	0	0	
1632											1344					9000	0	0	5796	
1669											426					107	0	0	0	
1829											1201					8550	2103	0	2883	
1856											4620					88000	0	0	25000	
2040											1149					20968	252	0	0	
2161											251					0	0	0	0	
2376											9367					169404	8429	0	0	
2451											528					6430	0	0	0	
2554											0					0	0	0	0	
2732											181					116	0	0	0	
2750											427					5900	0	0	606	
2938											1428					15500	0	0	3503	
3252											292					4274	0	0	0	
3458											177					0	0	0	1325	
3506											13377					198122	0	0	6088	
3720											565					4234	0	0	3621	
3953											946					392	0	0	0	
4138											914					2574	0	0	0	
4147											2489					13000	0	0	0	
4156											1336					19000	0	0	0	
4231											0					0	0	0	0	
4437											869					7527	0	0	3886	
4839											1595					30900	0	0	11303	
5005											3282					46142	17136	0	0	
5069											0					0	0	0	0	
5135											1280					17000	0	0	0	
5210											10206					170409	0	0	23361	
5274											2705					13455	0	0	1620	
5331											4026					17252	0	0	82000	
5461											0					6262	141	0	0	
5751											253					0	0	0	0	
6039											291					0	51	0	0	
6057											165					700	0	0	0	
6141											0					0	0	0	0	
