"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	PB/PSA FDIC CERTIFICATE NUMBER	
37	13	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3854	427	0	0	47490	5864	13751	79		
242	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1211	124	0	0	11753	4782	10886	47		
279	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9407	502	421	1	55005	5596	15464	119		
354	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	5543	777	1092	6		
439	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	8073	650	592	2	95135	23370	54384	230		
457	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	725	85	0	0	17345	2783	6576	33		
505	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7599	666	597	1	158178	21797	91626	390		
1146	0	0	0	6276		0	0	10		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9775	493	570	2	211562	20403	171138	735		
1155	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9785	737	329	1	77640	11295	52334	150		
1351	0	46	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4857	537	0	0	36983	7544	47624	214		
1454	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	14400	1378	0	0	182478	31850	203334	476		
1557	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1884	388	0	0	19048	2592	7371	35		
