"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																					0	1893	0	0	27250	0	469	20	1330	79817	65095	409	65504	0	1066	0	0	0	14313	1200	79817	0	0	10007	0	3500	0	7243	57852		0	47886	46820	-394	2035	0	0	0	
242																																					100	1024	0	0	7499	0	324	66	426	30659	23850	98	27060	0	159	0	2612	0	3599	120	30659	0	0	3502	0	120	0	4141	19709		0	20930	20771	-143	449	0	0	500	
279																																					277	1980	67	47333	21999	250	3008	437	2552	128615	80297	388	109393	0	446	0	28708	0	19222	0	128615	0	0	19910	0	0	0	4065	76232		0	49368	48922	-688	1790	0	0	0	
354																																					0	191	0	0	3849	0	34	0	215	8196	6634	30	7259	0	178	0	0	0	936	25	8195	0	0	498	0	500	0	1568	5067		0	4085	3907	-87	0	0	595	0	
439																																					56	9639	4061	0	24546	0	3478	145	2880	187861	158184	1468	159652	0	1711	10119	0	0	28209	596	187861	0	0	1198	0	26808	0	41245	116939		0	130506	128795	-393	4142	0	0	0	
457																																					17	1133	0	936	457	0	124	0	962	28814	24646	239	26185	0	401	0	0	0	2629	60	28814	0	0	284	0	2290	0	2926	21720		0	25220	24819	-5	366	0	1300	0	
505																																					167	6052	120	0	79547	0	4069	236	8627	324517	258000	1982	302082	52	2361	1594	42100	0	22383	6480	324517	0	0	7022	0	10653	0	46881	211119		0	226466	224105	-1772	0	0	0	0	
1146																																					312	18796	516	190	59924	0	23319	71	13948	491202	393045	6321	452209	0	4211	196	42843	6000	38993	19	491202	0	0	31167	0	8854	38282	78130	314915		0	339859	335648	-1047	0	0	4000	0	
1155																																					1201	4723	0	3123	34270	0	4846	0	6351	171993	140087	1424	159342	0	1667	0	3000	0	12651	1600	171993	0	0	8066	0	3400	300	18598	121489		0	118846	117179	-415	0	0	0	14831	
1351																																					0	2346	0	35487	3862	0	1013	20	1371	104503	89464	563	90027	0	1190	0	0	0	14476	240	104503	0	0	13844	0	530	0	11106	78358		0	59530	58340	-138	2064	0	0	0	
1454																																					373	25671	67	0	147542	0	3202	0	4591	429459	400212	513	400725	0	1485	0	0	0	28734	1000	429459	0	0	30961	0	1214	1253	96898	303314		0	196445	194960	-4441	51800	0	0	0	
1557																																					50	1003	0	967	11697	0	155	0	768	35223	28303	262	30676	0	375	0	2111	0	4547	200	35223	0	0	3675	0	800	0	4445	23858		0	17613	17238	-128	3345	0	0	0	
1632																																					133	13443	0	0	33028	0	10558	0	9967	529170	441865	5084	483915	0	6618	0	9000	0	45255	1900	529170	0	0	16820	0	26935	0	43996	397869		0	468659	462041	-400	0	0	22170	5796	
1669																																					2545	10936	1657	71974	46885	0	1643	48	9138	222258	182313	786	183206	0	1539	0	107	0	39052	800	222258	0	0	38635	0	800	0	36854	145459		0	69268	67729	-1183	9703	0	0	0	
1829																																					672	5210	0	0	103096	0	2759	536	5260	303125	252648	1136	265217	0	3309	0	8550	0	37908	390	303125	0	0	35266	0	3100	0	55375	197273		0	188901	185592	-848	0	0	0	2883	
