RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
113,59,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,true,true,37,2002-06-30
40,77,,,,,,,,,,,,,49,86,,,,,,,,,,,,,true,true,242,2002-06-30
0,0,28,660,7,1124,3,1755,12,164,2,292,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,true,false,279,2002-06-30
5,20,0,0,0,0,0,0,0,0,0,0,0,0,21,110,0,0,0,0,0,0,0,0,0,0,0,0,true,true,354,2002-06-30
0,0,201,5681,64,8396,34,13044,503,8390,48,4903,16,3973,0,0,107,3019,25,2943,11,2843,82,1373,3,329,0,0,false,false,439,2002-06-30
17,103,0,0,0,0,0,0,0,0,0,0,0,0,48,247,0,0,0,0,0,0,0,0,0,0,0,0,true,true,457,2002-06-30
0,0,35,2018,35,5852,41,20828,213,4932,30,5184,23,10734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,505,2002-06-30
,,62,2834,55,7147,17,7691,165,6893,39,7182,27,14642,,,4,86,0,0,0,0,2,61,0,0,0,0,false,false,1146,2002-06-30
0,0,39,1496,19,2707,28,9982,282,5765,52,5079,39,10725,12,69,0,0,0,0,0,0,0,0,0,0,0,0,true,false,1155,2002-06-30
0,0,76,2360,12,1200,4,1047,438,8175,11,1197,8,2383,0,0,152,4215,19,2431,9,1012,367,3660,2,283,0,0,false,false,1351,2002-06-30
0,0,187,18320,48,5829,14,4819,584,20284,28,3339,12,3616,0,0,13,1267,5,906,2,794,122,4137,3,449,2,647,false,false,1454,2002-06-30
