RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
128,8929,,,,,,,,,,,,,,,6,177,1,104,0,0,4,107,0,0,0,0,false,true,37,2009-06-30
,,37,1668,0,0,0,0,178,1352,11,294,3,146,,,37,911,7,225,2,120,57,1478,9,952,1,247,false,false,242,2009-06-30
,,34,1438,26,3779,10,3604,96,1367,5,204,5,1325,,,2,56,1,100,1,282,28,265,0,0,0,0,false,false,279,2009-06-30
1,9,,,,,,,,,,,,,,,9,267,7,880,0,0,112,594,0,0,0,0,false,true,354,2009-06-30
,,17,753,5,790,7,2482,52,1333,5,643,10,2665,,,26,984,7,1133,4,965,53,1349,13,1657,8,2035,false,false,457,2009-06-30
,,19,1215,31,4323,41,15826,121,3235,34,3968,13,5190,,,,,,,,,,,,,,,false,false,505,2009-06-30
,,56,1882,40,5263,38,12915,181,4062,48,4998,46,12374,,,13,597,8,1203,4,1465,47,1048,9,1097,10,1612,false,false,1155,2009-06-30
0,0,170,5386,16,2401,14,5899,683,10400,25,2674,7,2282,0,0,107,4405,35,4270,4,1176,292,3846,7,856,1,16,false,false,1351,2009-06-30
,,77,2848,74,8207,30,10428,434,7168,52,4170,31,8966,,,18,908,9,882,3,431,67,1586,7,947,1,184,false,false,1454,2009-06-30
0,0,18,594,4,484,1,475,46,542,6,772,0,0,0,0,33,1548,13,2131,9,3077,302,5749,30,4215,9,3540,false,false,1557,2009-06-30
,,118,4583,116,16169,151,66162,900,18004,104,13992,57,22036,,,31,1066,21,3293,15,4271,80,1842,20,2778,3,357,false,false,1632,2009-06-30
76,244,,,,,,,,,,,,,8,136,,,,,,,,,,,,,true,true,1669,2009-06-30
,,63,2310,44,5180,89,55764,160,3537,43,3698,40,19241,,,,,,,,,,,,,,,false,false,1829,2009-06-30
,,10,259,1,159,0,0,60,1779,21,2778,5,1970,,,11,470,4,426,0,0,34,403,4,511,0,0,false,false,1856,2009-06-30
,,44,2452,36,6877,52,24700,117,3453,10,818,11,4560,,,14,993,5,1079,4,1209,28,288,3,317,3,1297,false,false,2040,2009-06-30
,,84,1850,8,1173,0,0,657,5367,22,3376,8,3240,,,8,97,0,0,0,0,153,1198,4,623,1,396,false,false,2161,2009-06-30
,,6,353,45,8189,204,96914,37,2153,2,275,9,8091,,,,,,,,,,,,,,,false,false,2376,2009-06-30
,,16,624,10,1099,3,958,30,944,4,391,7,2804,,,53,1701,17,2196,3,984,100,1667,7,757,0,0,false,false,2451,2009-06-30
,,1,35,0,0,0,0,35,534,1,105,0,0,25,54,,,,,,,,,,,,,true,false,2554,2009-06-30
,,9,490,33,5055,121,61506,225,3404,109,5706,137,26266,,,0,0,1,164,0,0,0,0,0,0,0,0,false,false,2732,2009-06-30
,,13,492,3,235,1,905,69,1126,2,245,3,1583,,,18,661,13,1727,15,4317,178,4462,30,3507,8,2279,false,false,2750,2009-06-30
,,107,4239,106,15147,102,44560,502,11534,85,11401,65,26284,,,19,704,20,3020,11,3706,45,1064,10,1262,2,542,false,false,2938,2009-06-30
,,19,800,12,1843,6,2520,208,5484,17,1863,1,329,,,31,1031,17,2091,22,6863,625,19539,46,5090,16,5239,false,false,3252,2009-06-30
,,5,52,0,0,0,0,30,600,4,612,7,2242,,,45,1624,7,955,3,1004,63,549,0,0,1,456,false,false,3458,2009-06-30
,,51,1805,34,4082,47,27548,148,2740,23,2153,9,4367,,,49,1366,23,2928,6,1478,59,1309,12,1577,2,541,false,false,3720,2009-06-30
