RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2019-09-30
,,31,1287,24,3304,27,10622,120,2639,18,1885,8,2781,,,18,767,12,2069,5,1795,56,773,6,717,4,402,false,false,2161,2019-09-30
,,2,113,24,3457,100,40780,9,351,0,0,3,1418,,,,,,,,,,,,,,,false,false,2376,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,2019-09-30
,,63,2366,97,12334,68,26248,308,6705,45,3336,20,3996,,,47,1330,28,2816,11,2562,19,503,15,1392,9,2527,false,false,3720,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3971,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5751,2019-09-30
,,109,3616,65,8439,91,37694,390,6851,30,3165,18,5940,,,85,3003,51,6504,28,7308,105,2310,8,898,0,0,false,false,6039,2019-09-30
,,175,11294,130,20030,166,65460,1124,27688,83,11664,30,5657,,,28,1190,16,1973,6,1067,27,663,4,689,0,0,false,false,6329,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7009,2019-09-30
,,47,1602,26,2628,18,6559,33,672,12,1309,1,360,,,19,622,11,1364,4,1391,35,676,15,1554,6,1289,false,false,7045,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7072,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7456,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7634,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8033,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8462,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8631,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9357,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9553,2019-09-30
,,10,533,37,6685,92,34326,38,1002,19,2341,11,3141,,,,,,,,,,,,,,,false,false,9807,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9955,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10250,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10849,2019-09-30
,,96,3273,91,11278,79,29374,98,2805,17,1417,12,2502,,,2,118,3,492,0,0,2,61,0,0,0,0,false,false,11145,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11640,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11837,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12030,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12142,2019-09-30
,,1673,72012,2826,333702,3929,1358384,23562,651800,4399,409929,4249,1054418,,,140,7967,141,16698,38,11029,380,10088,67,7281,39,7843,,,12311,2019-09-30
,,44,2034,35,4162,41,13875,90,2206,16,1135,13,2960,,,30,1184,16,2560,8,1460,37,918,10,1336,5,955,false,false,12647,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12656,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12946,2019-09-30
,,42,2524,151,17974,282,100508,270,9444,108,11330,92,24966,,,,,,,,,,,,,,,false,false,13103,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13251,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13457,2019-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14155,2019-09-30
