RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
121,66,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,true,true,37,2001-06-30
34,62,0,0,0,0,0,0,0,0,0,0,0,0,39,81,0,0,0,0,0,0,0,0,0,0,0,0,true,true,242,2001-06-30
0,0,3,191,2,349,1,514,7,216,2,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,279,2001-06-30
4,12,0,0,0,0,0,0,0,0,0,0,0,0,18,101,0,0,0,0,0,0,0,0,0,0,0,0,true,true,354,2001-06-30
0,0,218,6670,72,9067,34,12253,484,8096,59,6063,13,3410,0,0,103,2891,25,2713,8,2165,95,1700,4,384,4,933,false,false,439,2001-06-30
16,83,0,0,0,0,0,0,0,0,0,0,0,0,45,253,0,0,0,0,0,0,0,0,0,0,0,0,true,true,457,2001-06-30
0,0,62,3196,56,9041,45,22769,249,6172,39,6183,12,5451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,505,2001-06-30
,,53,2135,36,4776,31,12522,475,10076,66,7321,37,13824,6,0,,,,,,,,,,,,,true,false,1146,2001-06-30
0,0,46,2116,19,3395,24,9230,306,6659,46,5473,41,14187,0,0,6,175,5,578,0,0,74,1409,4,449,6,1575,false,false,1155,2001-06-30
0,0,70,2315,15,1881,3,534,443,7769,11,1109,10,3520,0,0,177,4859,22,3060,0,0,351,3512,1,140,0,0,false,false,1351,2001-06-30
0,0,140,10860,44,5581,13,3788,608,19079,23,2418,11,1786,0,0,9,564,5,634,2,808,136,5400,2,310,3,729,false,false,1454,2001-06-30
0,0,7,158,2,336,2,1217,45,430,2,321,1,671,51,286,0,0,0,0,0,0,0,0,0,0,0,0,true,false,1557,2001-06-30
0,0,181,10302,36,4994,44,18178,488,10094,47,5260,26,9090,46,91,0,0,0,0,0,0,0,0,0,0,0,0,true,false,1632,2001-06-30
133,364,0,0,0,0,0,0,0,0,0,0,0,0,17,210,0,0,0,0,0,0,0,0,0,0,0,0,true,true,1669,2001-06-30
0,0,79,2996,29,3218,30,18415,227,4846,28,2984,26,11415,0,0,1,96,0,0,0,0,0,0,0,0,0,0,false,false,1829,2001-06-30
11,31,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,true,true,1856,2001-06-30
0,0,3,62,0,0,0,0,13,155,8,233,2,506,0,0,27,522,14,533,6,531,76,935,36,875,20,738,false,false,1959,2001-06-30
0,0,51,447,7,672,2,1310,406,23381,55,5818,22,9818,22,97,0,0,0,0,0,0,0,0,0,0,0,0,true,false,2040,2001-06-30
0,0,110,2745,20,2367,8,2519,292,3336,7,1154,0,0,0,0,20,483,0,0,0,0,73,911,2,292,0,0,false,false,2161,2001-06-30
0,0,0,0,2,430,8,4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,2376,2001-06-30
4,53,0,0,0,0,0,0,0,0,0,0,0,0,30,115,0,0,0,0,0,0,0,0,0,0,0,0,true,true,2451,2001-06-30
