RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,2018-03-31
,,62,2598,18,2092,6,2140,152,3612,19,2398,14,2682,,,12,595,14,2302,2,377,93,1757,9,1063,8,2054,false,false,2161,2018-03-31
,,4,108,28,4160,134,54894,11,438,0,0,4,1739,,,,,,,,,,,,,,,false,false,2376,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,2018-03-31
,,63,2464,81,10044,66,23869,245,4902,37,2993,21,4609,,,48,1575,29,3425,9,2235,20,481,16,1279,12,2639,false,false,3720,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3971,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135,2018-03-31
,,111,4687,220,27276,329,131163,397,10671,93,10117,61,17221,,,46,1926,58,7830,46,14455,48,1243,15,1741,2,412,false,false,5210,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5751,2018-03-31
,,132,4109,68,8530,101,38647,342,5218,34,3822,18,5084,,,71,2593,55,6938,29,7370,88,1941,6,572,2,258,false,false,6039,2018-03-31
,,165,11384,107,14711,133,53636,889,21232,102,13880,21,4520,,,37,1631,17,2225,7,1526,51,1388,5,629,0,0,false,false,6329,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7009,2018-03-31
,,59,2193,28,3272,15,5230,29,680,9,982,5,2276,,,19,591,12,1460,4,1306,28,606,13,1235,5,1101,false,false,7045,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7072,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7456,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7634,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8033,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8462,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8631,2018-03-31
,,6,406,12,1648,61,28423,246,7391,121,11769,149,37567,0,1,,,,,,,,,,,,,true,false,9357,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9553,2018-03-31
,,7,308,39,4844,101,38745,44,1526,26,2576,12,2743,,,,,,,,,,,,,,,false,false,9807,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9955,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10250,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10849,2018-03-31
,,100,3646,88,11143,72,27323,87,2523,11,1007,16,3557,,,0,0,3,523,0,0,1,27,0,0,0,0,false,false,11145,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11640,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11837,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12030,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12142,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12179,2018-03-31
,,1992,87780,3180,375312,4305,1443932,25066,692848,4738,444431,4268,1093697,,,140,7573,157,17293,39,9990,409,9935,75,6757,47,10150,false,false,12311,2018-03-31
,,62,2778,36,4386,41,14051,109,2573,20,1333,13,2619,,,38,1165,18,2674,9,2106,36,941,6,506,6,802,false,false,12647,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12656,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12937,2018-03-31
,,165,6936,163,19961,152,54549,1223,25198,237,24940,119,35994,,,149,6011,61,7478,24,5659,173,3822,17,1941,11,2513,false,false,12946,2018-03-31
,,53,2639,158,19794,308,110864,527,11591,171,15024,187,42531,,,,,,,,,,,,,,,false,false,13103,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13251,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13457,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14052,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14155,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14650,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14753,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14865,2018-03-31
,,4,94,1,230,0,0,65,1550,6,690,4,1272,,,16,615,17,1879,11,3024,110,3136,29,3270,12,2556,false,false,14977,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16551,2018-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16748,2018-03-31
,,0,0,0,0,0,0,3,214,1,58,5,1377,,,,,,,,,,,,,,,false,false,17110,2018-03-31
