RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
0,0,40,1541,51,7577,48,21105,122,2757,28,2705,22,6181,0,0,0,0,1,207,0,0,0,0,0,0,0,0,false,false,5274,2006-06-30
0,0,1,62,6,429,26,13737,16,342,8,809,16,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,5331,2006-06-30
0,0,22,1643,62,13210,47,18991,240,6589,63,5955,58,16996,0,0,0,0,2,356,6,2349,7,117,1,40,4,1375,false,false,5461,2006-06-30
14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,714,10,1120,3,683,110,2955,34,3589,19,4981,false,true,5751,2006-06-30
0,0,99,2543,24,3191,24,4436,190,3805,24,2555,44,6754,0,0,43,1090,6,760,4,1166,45,694,5,321,2,368,false,false,6039,2006-06-30
30,53,0,0,0,0,0,0,0,0,0,0,0,0,38,100,0,0,0,0,0,0,0,0,0,0,0,0,true,true,6057,2006-06-30
42,39,0,0,0,0,0,0,0,0,0,0,0,0,54,26,0,0,0,0,0,0,0,0,0,0,0,0,true,true,6141,2006-06-30
0,0,194,7938,70,9595,45,12159,819,17466,93,9894,30,9149,82,183,0,0,0,0,0,0,0,0,0,0,0,0,true,false,6329,2006-06-30
0,0,16,819,53,6609,54,22404,291,5032,84,5440,97,25156,0,0,0,0,0,0,2,675,4,112,0,0,0,0,false,false,6972,2006-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,7009,2006-06-30
0,0,30,1355,18,2571,14,4324,42,841,12,118,5,900,0,0,25,972,11,1338,4,1044,61,1238,11,1129,2,429,false,false,7045,2006-06-30
0,0,20,426,0,0,0,0,79,1308,4,584,5,2217,0,0,25,1170,5,682,0,0,181,2737,1,28,0,0,false,false,7157,2006-06-30
15,175,0,0,0,0,0,0,0,0,0,0,0,0,23,166,0,0,0,0,0,0,0,0,0,0,0,0,true,true,7456,2006-06-30
40,189,0,0,0,0,0,0,0,0,0,0,0,0,19,38,0,0,0,0,0,0,0,0,0,0,0,0,true,true,7634,2006-06-30
0,0,2,40,0,0,3,1127,141,3585,47,5524,14,2666,0,0,1,51,1,99,1,306,12,330,20,1646,8,1571,false,false,8033,2006-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,8417,2006-06-30
0,0,36,885,2,149,1,540,130,2451,11,1055,12,3251,0,0,16,661,8,904,1,484,105,2350,24,2999,11,3594,false,false,8462,2006-06-30
0,0,12,455,8,1079,11,3545,50,1098,6,761,7,2664,5,11,0,0,0,0,0,0,0,0,0,0,0,0,true,false,8631,2006-06-30
0,0,1,5,11,1359,35,16295,250,5185,126,10384,159,42014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,9357,2006-06-30
0,0,7,279,6,785,0,0,47,965,14,1580,3,1065,0,0,49,2089,42,5343,22,5171,83,1989,46,5261,45,11150,false,false,9553,2006-06-30
0,0,36,2827,95,14618,239,117072,231,7164,90,11698,56,19606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,9807,2006-06-30
44,169,0,0,0,0,0,0,0,0,0,0,0,0,104,229,0,0,0,0,0,0,0,0,0,0,0,0,true,true,9955,2006-06-30
0,0,24,581,3,332,1,672,39,564,5,391,9,3384,0,0,25,957,14,1955,6,1217,146,3248,27,2816,2,552,false,false,10157,2006-06-30
0,0,38,1477,61,8915,70,28602,734,16135,160,14702,78,26278,0,0,0,0,1,149,1,358,2,37,0,0,0,0,false,false,10250,2006-06-30
0,0,47,1640,27,4181,45,21372,104,1964,19,2373,14,4276,0,0,50,1694,16,2094,9,2834,64,1732,24,2124,11,2858,false,false,10849,2006-06-30
0,0,40,1722,43,5366,46,18460,4168,17524,157,11135,66,15788,0,0,73,3459,76,9322,11,2245,351,10629,88,7404,36,7115,false,false,10858,2006-06-30
0,0,128,4134,83,10980,41,16320,63,1038,5,246,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,true,false,11145,2006-06-30
0,0,91,2674,35,3868,31,10708,323,7239,39,4325,25,7225,0,0,71,2300,39,4476,9,2690,124,2524,39,3049,27,4877,false,false,11640,2006-06-30
0,0,16,510,10,1168,27,11344,33,770,14,1796,6,2686,14,7,0,0,0,0,0,0,0,0,0,0,0,0,true,false,11837,2006-06-30
751,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,7486,40,7495,23,10868,94,2791,3,444,1,224,false,true,12030,2006-06-30
143,262,0,0,0,0,0,0,0,0,0,0,0,0,94,207,0,0,0,0,0,0,0,0,0,0,0,0,true,true,12058,2006-06-30
