RCFDHU20,RCFDHU21,RCFDHU22,RCFDHU23,RCFDJ981,RCFDJF77,RCFDJF78,RCFDJF84,RCFDJF85,RCFDJF86,RCFDJF87,RCFDJF88,RCFDJF89,RCFDJF90,RCFDJF91,RCFDJF92,RCFDJF93,RCFDK009,RCFDK030,RCFDK033,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,21256,2013-09-30
,,,,,,,,,,,,,,,,,,,,21359,2013-09-30
,,,,,,,,,,,,,,,,,,,,21630,2013-09-30
,,,,,,,,,,,,,,,,,,,,21658,2013-09-30
,,,,,,,,,,,,,,,,,,,,22048,2013-09-30
,,,,,,,,,,,,,,,,,,,,22543,2013-09-30
,,,,,,,,,,,,,,,,,,,,22552,2013-09-30
,,,,,,,,,,,,,,,,,,,,22730,2013-09-30
,,,,,,,,,,,,,,,,,,,,22936,2013-09-30
,,,,,,,,,,,,,,,,,,,,23045,2013-09-30
,,,,,,,,,,,,,,,,,,,,23456,2013-09-30
,,,,,,,,,,,,,,,,,,,,23504,2013-09-30
,,,,,,,,,,,,,,,,,,,,23643,2013-09-30
,,,,,,,,,,,,,,,,,,,,23755,2013-09-30
,,,,,,,,,,,,,,,,,,,,24006,2013-09-30
,,,,,,,,,,,,,,,,,,,,24378,2013-09-30
,,,,,,,,,,,,,,,,,,,,24453,2013-09-30
,,,,,,,,,,,,,,,,,,,,24659,2013-09-30
,,,,,,,,,,,,,,,,,,,,24668,2013-09-30
,,,,,,,,,,,,,,,,,,,,24855,2013-09-30
,,,,,,,,,,,,,,,,,,,,24949,2013-09-30
,,,,,,,,,,,,,,,,,,,,25357,2013-09-30
,,,,,,,,,,,,,,,,,,,,25647,2013-09-30
,,,,,,,,,,,,,,,,,,,,26176,2013-09-30
,,,,,,,,,,,,,,,,,,,,26242,2013-09-30
,,,,,,,,,,,,,,,,,,,,26457,2013-09-30
,,,,,,,,,,,,,,,,,,,,26765,2013-09-30
,,,,,,,,,,,,,,,,,,,,26859,2013-09-30
,,,,,,,,,,,,,,,,,,,,27070,2013-09-30
,,,,,,,,,,,,,,,,,,,,27548,2013-09-30
,,,,,,,,,,,,,,,,,,,,27614,2013-09-30
,,,,,,,,,,,,,,,,,,,,27847,2013-09-30
,,,,,,,,,,,,,,,,,,,,28013,2013-09-30
,,,,,,,,,,,,,,,,,,,,28152,2013-09-30
,,,,,,,,,,,,,,,,,,,,28255,2013-09-30
,,,,,,,,,,,,,,,,,,,,28349,2013-09-30
,,,,,,,,,,,,,,,,,,,,28406,2013-09-30
,,,,,,,,,,,,,,,,,,,,28572,2013-09-30
,,,,,,,,,,,,,,,,,,,,28675,2013-09-30
,,,,,,,,,,,,,,,,,,,,28732,2013-09-30
,,,,,,,,,,,,,,,,,,,,29104,2013-09-30
,,,,,,,,,,,,,,,,,,,,29476,2013-09-30
,,,,,,,,,,,,,,,,,,,,29636,2013-09-30
,,,,,,,,,,,,,,,,,,,,29878,2013-09-30
,,,,,,,,,,,,,,,,,,,,29953,2013-09-30
,,,,,,,,,,,,,,,,,,,,30052,2013-09-30
,,,,,,,,,,,,,,,,,,,,30418,2013-09-30
,,,,,,,,,,,,,,,,,,,,30502,2013-09-30
,,,,,,,,,,,,,,,,,,,,30650,2013-09-30
,,,,,,,,,,,,,,,,,,,,30810,2013-09-30
,,,,,,,,,,,,,,,,,,,,30874,2013-09-30
,,,,,,,,,,,,,,,,,,,,31134,2013-09-30
,,,,,,,,,,,,,,,,,,,,31255,2013-09-30
,,,,,,,,,,,,,,,,,,,,31657,2013-09-30
,,,,,,,,,,,,,,,,,,,,31826,2013-09-30
,,,,,,,,,,,,,,,,,,,,31835,2013-09-30
,,,,,,,,,,,,,,,,,,,,32234,2013-09-30
,,,,,,,,,,,,,,,,,,,,32766,2013-09-30
,,,,,,,,,,,,,,,,,,,,32971,2013-09-30
,,,,,,,,,,,,,,,,,,,,33147,2013-09-30
,,,,,,,,,,,,,,,,,,,,33259,2013-09-30
,,,,,,,,,,,,,,,,,,,,33268,2013-09-30
,,,,,,,,,,,,,,,,,,,,33370,2013-09-30
,,,,,,,,,,,,,,,,,,,,33839,2013-09-30
,,,,,,,,,,,,,,,,,,,,33857,2013-09-30
,,,,,,,,,,,,,,,,,,,,34153,2013-09-30
,,,,,,,,,,,,,,,,,,,,34359,2013-09-30
,,,,,,,,,,,,,,,,,,,,34425,2013-09-30
,,,,,,,,,,,,,,,,,,,,34434,2013-09-30
,,,,,,,,,,,,,,,,,,,,34452,2013-09-30
,,,,,,,,,,,,,,,,,,,,34537,2013-09-30
,,,,,,,,,,,,,,,,,,,,34555,2013-09-30
,,,,,,,,,,,,,,,,,,,,34742,2013-09-30
,,,,,,,,,,,,,,,,,,,,34836,2013-09-30
,,,,,,,,,,,,,,,,,,,,35057,2013-09-30
,,,,0,,,,,,,,,,,,,0,0,0,35301,2013-09-30
,,,,,,,,,,,,,,,,,,,,35570,2013-09-30
,,,,,,,,,,,,,,,,,,,,35646,2013-09-30
,,,,,,,,,,,,,,,,,,,,35842,2013-09-30
,,,,,,,,,,,,,,,,,,,,35879,2013-09-30
,,,,,,,,,,,,,,,,,,,,36456,2013-09-30
,,,,,,,,,,,,,,,,,,,,36933,2013-09-30
,,,,,,,,,,,,,,,,,,,,37051,2013-09-30
,,,,,,,,,,,,,,,,,,,,37341,2013-09-30
,,,,,,,,,,,,,,,,,,,,37435,2013-09-30
,,,,,,,,,,,,,,,,,,,,37640,2013-09-30
,,,,,,,,,,,,,,,,,,,,37659,2013-09-30
,,,,,,,,,,,,,,,,,,,,37743,2013-09-30
,,,,,,,,,,,,,,,,,,,,37949,2013-09-30
,,,,,,,,,,,,,,,,,,,,38740,2013-09-30
,,,,,,,,,,,,,,,,,,,,39327,2013-09-30
,,,,,,,,,,,,,,,,,,,,39420,2013-09-30
,,,,,,,,,,,,,,,,,,,,39475,2013-09-30
,,,,,,,,,,,,,,,,,,,,39756,2013-09-30
,,,,,,,,,,,,,,,,,,,,40033,2013-09-30
,,,,,,,,,,,,,,,,,,,,40350,2013-09-30
,,,,,,,,,,,,,,,,,,,,40499,2013-09-30
,,,,,,,,,,,,,,,,,,,,40707,2013-09-30
,,,,,,,,,,,,,,,,,,,,40855,2013-09-30
,,,,,,,,,,,,,,,,,,,,41245,2013-09-30
,,,,,,,,,,,,,,,,,,,,41553,2013-09-30
,,,,,,,,,,,,,,,,,,,,41629,2013-09-30
,,,,,,,,,,,,,,,,,,,,41759,2013-09-30
,,,,,,,,,,,,,,,,,,,,41825,2013-09-30
,,,,,,,,,,,,,,,,,,,,41937,2013-09-30
,,,,,,,,,,,,,,,,,,,,41955,2013-09-30
,,,,,,,,,,,,,,,,,,,,42037,2013-09-30
,,,,,,,,,,,,,,,,,,,,42055,2013-09-30
,,,,,,,,,,,,,,,,,,,,42354,2013-09-30
,,,,,,,,,,,,,,,,,,,,42372,2013-09-30
,,,,,,,,,,,,,,,,,,,,42420,2013-09-30
,,,,,,,,,,,,,,,,,,,,42448,2013-09-30
,,,,,,,,,,,,,,,,,,,,42457,2013-09-30
,,,,,,,,,,,,,,,,,,,,42671,2013-09-30
,,,,,,,,,,,,,,,,,,,,43052,2013-09-30
,,,,,,,,,,,,,,,,,,,,43351,2013-09-30
,,,,,,,,,,,,,,,,,,,,43454,2013-09-30
,,,,,,,,,,,,,,,,,,,,43744,2013-09-30
,,,,,,,,,,,,,,,,,,,,43856,2013-09-30
,,,,,,,,,,,,,,,,,,,,43959,2013-09-30
,,,,,,,,,,,,,,,,,,,,44040,2013-09-30
,,,,,,,,,,,,,,,,,,,,44433,2013-09-30
,,,,,,,,,,,,,,,,,,,,44741,2013-09-30
,,,,,,,,,,,,,,,,,,,,44750,2013-09-30
,,,,,,,,,,,,,,,,,,,,44929,2013-09-30
,,,,,,,,,,,,,,,,,,,,45038,2013-09-30
,,,,,,,,,,,,,,,,,,,,45047,2013-09-30
,,,,,,,,,,,,,,,,,,,,45056,2013-09-30
,,,,,,,,,,,,,,,,,,,,45430,2013-09-30
,,,,,,,,,,,,,,,,,,,,45458,2013-09-30
,,,,,,,,,,,,,,,,,,,,45551,2013-09-30
,,,,,,,,,,,,,,,,,,,,45560,2013-09-30
,,,,,,,,,,,,,,,,,,,,45775,2013-09-30
,,,,,,,,,,,,,,,,,,,,46053,2013-09-30
,,,,,,,,,,,,,,,,,,,,46941,2013-09-30
,,,,,,,,,,,,,,,,,,,,47153,2013-09-30
,,,,,,,,,,,,,,,,,,,,47247,2013-09-30
,,,,,,,,,,,,,,,,,,,,47256,2013-09-30
,,,,,,,,,,,,,,,,,,,,47452,2013-09-30
,,,,,,,,,,,,,,,,,,,,47500,2013-09-30
,,,,,,,,,,,,,,,,,,,,48057,2013-09-30
,,,,,,,,,,,,,,,,,,,,48150,2013-09-30
,,,,,,,,,,,,,,,,,,,,48374,2013-09-30
,,,,,,,,,,,,,,,,,,,,48440,2013-09-30
,,,,,,,,,,,,,,,,,,,,49054,2013-09-30
,,,,,,,,,,,,,,,,,,,,49148,2013-09-30
,,,,,,,,,,,,,,,,,,,,49241,2013-09-30
,,,,,,,,,,,,,,,,,,,,49344,2013-09-30
,,,,,,,,,,,,,,,,,,,,49643,2013-09-30
,,,,,,,,,,,,,,,,,,,,49652,2013-09-30
,,,,,,,,,,,,,,,,,,,,49821,2013-09-30
,,,,,,,,,,,,,,,,,,,,49858,2013-09-30
,,,,,,,,,,,,,,,,,,,,49951,2013-09-30
,,,,,,,,,,,,,,,,,,,,50144,2013-09-30
,,,,,,,,,,,,,,,,,,,,50461,2013-09-30
,,,,,,,,,,,,,,,,,,,,50546,2013-09-30
,,,,,,,,,,,,,,,,,,,,50854,2013-09-30
,,,,,,,,,,,,,,,,,,,,50872,2013-09-30
,,,,,,,,,,,,,,,,,,,,50957,2013-09-30
,,,,,,,,,,,,,,,,,,,,51253,2013-09-30
,,,,,,,,,,,,,,,,,,,,51356,2013-09-30
,,,,,,,,,,,,,,,,,,,,51459,2013-09-30
,,,,,,,,,,,,,,,,,,,,51730,2013-09-30
,,,,,,,,,,,,,,,,,,,,51842,2013-09-30
,,,,,,,,,,,,,,,,,,,,52410,2013-09-30
,,,,,,,,,,,,,,,,,,,,52719,2013-09-30
,,,,,,,,,,,,,,,,,,,,52951,2013-09-30
,,,,,,,,,,,,,,,,,,,,53033,2013-09-30
,,,,,,,,,,,,,,,,,,,,53051,2013-09-30
,,,,,,,,,,,,,,,,,,,,53453,2013-09-30
,,,,,,,,,,,,,,,,,,,,53752,2013-09-30
,,,,,,,,,,,,,,,,,,,,54049,2013-09-30
,,,,,,,,,,,,,,,,,,,,54058,2013-09-30
,,,,,,,,,,,,,,,,,,,,54375,2013-09-30
,,,,,,,,,,,,,,,,,,,,54441,2013-09-30
,,,,,,,,,,,,,,,,,,,,54656,2013-09-30
,,,,,,,,,,,,,,,,,,,,54973,2013-09-30
