RCFDHU20,RCFDHU21,RCFDHU22,RCFDHU23,RCFDJ981,RCFDJF77,RCFDJF78,RCFDJF84,RCFDJF85,RCFDJF86,RCFDJF87,RCFDJF88,RCFDJF89,RCFDJF90,RCFDJF91,RCFDJF92,RCFDJF93,RCFDK009,RCFDK030,RCFDK033,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2018-12-31
,,,,,,,,,,,,,,,,,,,,242,2018-12-31
,,,,,,,,,,,,,,,,,,,,279,2018-12-31
,,,,,,,,,,,,,,,,,,,,354,2018-12-31
,,,,,,,,,,,,,,,,,,,,457,2018-12-31
,,,,,,,,,,,,,,,,,,,,505,2018-12-31
,,,,,,,,,,,,,,,,,,,,1155,2018-12-31
,,,,,,,,,,,,,,,,,,,,1351,2018-12-31
,,,,,,,,,,,,,,,,,,,,1454,2018-12-31
,,,,,,,,,,,,,,,,,,,,1669,2018-12-31
,,,,,,,,,,,,,,,,,,,,1856,2018-12-31
,,,,,,,,,,,,,,,,,,,,2040,2018-12-31
,,,,,,,,,,,,,,,,,,,,2161,2018-12-31
,,,,,,,,,,,,,,,,,,,,2376,2018-12-31
,,,,,,,,,,,,,,,,,,,,2554,2018-12-31
,,,,,,,,,,,,,,,,,,,,2732,2018-12-31
,,,,,,,,,,,,,,,,,,,,2750,2018-12-31
,,,,,,,,,,,,,,,,,,,,3252,2018-12-31
,,,,,,,,,,,,,,,,,,,,3458,2018-12-31
,,,,,,,,,,,,,,,,,,,,3720,2018-12-31
,,,,,,,,,,,,,,,,,,,,3971,2018-12-31
,,,,,,,,,,,,,,,,,,,,4156,2018-12-31
,,,,,,,,,,,,,,,,,,,,4231,2018-12-31
,,,,,,,,,,,,,,,,,,,,5069,2018-12-31
,,,,,,,,,,,,,,,,,,,,5135,2018-12-31
,,,,,,,,,,,,,,,,,,,,5210,2018-12-31
,,,,,,,,,,,,,,,,,,,,5461,2018-12-31
,,,,,,,,,,,,,,,,,,,,5751,2018-12-31
,,,,,,,,,,,,,,,,,,,,6039,2018-12-31
,,,,,,,,,,,,,,,,,,,,6329,2018-12-31
,,,,,,,,,,,,,,,,,,,,7009,2018-12-31
,,,,,,,,,,,,,,,,,,,,7045,2018-12-31
,,,,,,,,,,,,,,,,,,,,7072,2018-12-31
,,,,,,,,,,,,,,,,,,,,7456,2018-12-31
,,,,,,,,,,,,,,,,,,,,7634,2018-12-31
