RCFDHU20,RCFDHU21,RCFDHU22,RCFDHU23,RCFDJ981,RCFDJF77,RCFDJF78,RCFDJF84,RCFDJF85,RCFDJF86,RCFDJF87,RCFDJF88,RCFDJF89,RCFDJF90,RCFDJF91,RCFDJF92,RCFDJF93,RCFDK009,RCFDK030,RCFDK033,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2017-12-31
,,,,,,,,,,,,,,,,,,,,242,2017-12-31
,,,,,,,,,,,,,,,,,,,,279,2017-12-31
,,,,,,,,,,,,,,,,,,,,354,2017-12-31
,,,,,,,,,,,,,,,,,,,,457,2017-12-31
,,,,,,,,,,,,,,,,,,,,505,2017-12-31
,,,,,,,,,,,,,,,,,,,,1155,2017-12-31
,,,,,,,,,,,,,,,,,,,,1351,2017-12-31
,,,,,,,,,,,,,,,,,,,,1454,2017-12-31
,,,,,,,,,,,,,,,,,,,,1557,2017-12-31
,,,,,,,,,,,,,,,,,,,,1669,2017-12-31
,,,,,,,,,,,,,,,,,,,,1856,2017-12-31
,,,,,,,,,,,,,,,,,,,,2040,2017-12-31
,,,,,,,,,,,,,,,,,,,,2161,2017-12-31
,,,,,,,,,,,,,,,,,,,,2376,2017-12-31
,,,,,,,,,,,,,,,,,,,,2554,2017-12-31
,,,,,,,,,,,,,,,,,,,,2732,2017-12-31
,,,,,,,,,,,,,,,,,,,,2750,2017-12-31
,,,,,,,,,,,,,,,,,,,,3252,2017-12-31
,,,,,,,,,,,,,,,,,,,,3458,2017-12-31
,,,,,,,,,,,,,,,,,,,,3720,2017-12-31
,,,,,,,,,,,,,,,,,,,,3971,2017-12-31
,,,,,,,,,,,,,,,,,,,,4156,2017-12-31
,,,,,,,,,,,,,,,,,,,,4231,2017-12-31
,,,,,,,,,,,,,,,,,,,,4839,2017-12-31
,,,,,,,,,,,,,,,,,,,,5069,2017-12-31
,,,,,,,,,,,,,,,,,,,,5135,2017-12-31
,,,,,,,,,,,,,,,,,,,,5210,2017-12-31
,,,,,,,,,,,,,,,,,,,,5461,2017-12-31
,,,,,,,,,,,,,,,,,,,,5751,2017-12-31
,,,,,,,,,,,,,,,,,,,,6039,2017-12-31
,,,,,,,,,,,,,,,,,,,,6141,2017-12-31
,,,,,,,,,,,,,,,,,,,,6329,2017-12-31
,,,,,,,,,,,,,,,,,,,,7009,2017-12-31
,,,,,,,,,,,,,,,,,,,,7045,2017-12-31
,,,,,,,,,,,,,,,,,,,,7072,2017-12-31
,,,,,,,,,,,,,,,,,,,,7456,2017-12-31
,,,,,,,,,,,,,,,,,,,,7634,2017-12-31
,,,,,,,,,,,,,,,,,,,,8033,2017-12-31
,,,,,,,,,,,,,,,,,,,,8462,2017-12-31
,,,,,,,,,,,,,,,,,,,,8631,2017-12-31
,,,,,,,,,,,,,,,,,,,,9357,2017-12-31
,,,,,,,,,,,,,,,,,,,,9553,2017-12-31
,,,,,,,,,,,,,,,,,,,,9807,2017-12-31
,,,,,,,,,,,,,,,,,,,,9955,2017-12-31
,,,,,,,,,,,,,,,,,,,,10250,2017-12-31
,,,,,,,,,,,,,,,,,,,,10849,2017-12-31
,,,,,,,,,,,,,,,,,,,,11145,2017-12-31
