RCFDHU20,RCFDHU21,RCFDHU22,RCFDHU23,RCFDJ981,RCFDJF77,RCFDJF78,RCFDJF84,RCFDJF85,RCFDJF86,RCFDJF87,RCFDJF88,RCFDJF89,RCFDJF90,RCFDJF91,RCFDJF92,RCFDJF93,RCFDK009,RCFDK030,RCFDK033,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2005-06-30
,,,,,,,,,,,,,,,,,,,,242,2005-06-30
,,,,,,,,,,,,,,,,,,,,279,2005-06-30
,,,,,,,,,,,,,,,,,,,,354,2005-06-30
,,,,,,,,,,,,,,,,,,,,439,2005-06-30
,,,,,,,,,,,,,,,,,,,,457,2005-06-30
,,,,,,,,,,,,,,,,,,,,505,2005-06-30
,,,,,,,,,,,,,,,,,,,,1146,2005-06-30
,,,,,,,,,,,,,,,,,,,,1155,2005-06-30
,,,,,,,,,,,,,,,,,,,,1351,2005-06-30
,,,,,,,,,,,,,,,,,,,,1454,2005-06-30
,,,,,,,,,,,,,,,,,,,,1557,2005-06-30
,,,,,,,,,,,,,,,,,,,,1632,2005-06-30
,,,,,,,,,,,,,,,,,,,,1669,2005-06-30
,,,,,,,,,,,,,,,,,,,,1829,2005-06-30
,,,,,,,,,,,,,,,,,,,,1856,2005-06-30
,,,,,,,,,,,,,,,,,,,,2040,2005-06-30
,,,,,,,,,,,,,,,,,,,,2161,2005-06-30
,,,,,,,,,,,,,,,,,,,,2376,2005-06-30
,,,,,,,,,,,,,,,,,,,,2451,2005-06-30
,,,,,,,,,,,,,,,,,,,,2554,2005-06-30
,,,,,,,,,,,,,,,,,,,,2732,2005-06-30
,,,,,,,,,,,,,,,,,,,,2750,2005-06-30
,,,,,,,,,,,,,,,,,,,,2938,2005-06-30
,,,,,,,,,,,,,,,,,,,,2956,2005-06-30
,,,,,,,,,,,,,,,,,,,,3252,2005-06-30
,,,,,,,,,,,,,,,,,,,,3458,2005-06-30
,,,,,,,,,,,,,,,,,,,,3506,2005-06-30
,,,,,,,,,,,,,,,,,,,,3720,2005-06-30
,,,,,,,,,,,,,,,,,,,,3953,2005-06-30
,,,,,,,,,,,,,,,,,,,,4138,2005-06-30
,,,,,,,,,,,,,,,,,,,,4147,2005-06-30
,,,,,,,,,,,,,,,,,,,,4156,2005-06-30
,,,,,,,,,,,,,,,,,,,,4231,2005-06-30
,,,,,,,,,,,,,,,,,,,,4437,2005-06-30
,,,,,,,,,,,,,,,,,,,,4839,2005-06-30
,,,,,,,,,,,,,,,,,,,,5005,2005-06-30
,,,,,,,,,,,,,,,,,,,,5050,2005-06-30
,,,,,,,,,,,,,,,,,,,,5069,2005-06-30
,,,,,,,,,,,,,,,,,,,,5135,2005-06-30
,,,,,,,,,,,,,,,,,,,,5210,2005-06-30
,,,,,,,,,,,,,,,,,,,,5247,2005-06-30
,,,,,,,,,,,,,,,,,,,,5274,2005-06-30
,,,,,,,,,,,,,,,,,,,,5331,2005-06-30
,,,,,,,,,,,,,,,,,,,,5461,2005-06-30
,,,,,,,,,,,,,,,,,,,,5751,2005-06-30
,,,,,,,,,,,,,,,,,,,,6039,2005-06-30
,,,,,,,,,,,,,,,,,,,,6057,2005-06-30
,,,,,,,,,,,,,,,,,,,,6141,2005-06-30
,,,,,,,,,,,,,,,,,,,,6329,2005-06-30
,,,,,,,,,,,,,,,,,,,,6972,2005-06-30
,,,,,,,,,,,,,,,,,,,,7009,2005-06-30
,,,,,,,,,,,,,,,,,,,,7045,2005-06-30
,,,,,,,,,,,,,,,,,,,,7157,2005-06-30
,,,,,,,,,,,,,,,,,,,,7166,2005-06-30
,,,,,,,,,,,,,,,,,,,,7456,2005-06-30
,,,,,,,,,,,,,,,,,,,,7634,2005-06-30
,,,,,,,,,,,,,,,,,,,,8033,2005-06-30
,,,,,,,,,,,,,,,,,,,,8417,2005-06-30
,,,,,,,,,,,,,,,,,,,,8462,2005-06-30
,,,,,,,,,,,,,,,,,,,,8631,2005-06-30
,,,,,,,,,,,,,,,,,,,,9357,2005-06-30
,,,,,,,,,,,,,,,,,,,,9553,2005-06-30
,,,,,,,,,,,,,,,,,,,,9807,2005-06-30
,,,,,,,,,,,,,,,,,,,,9955,2005-06-30
,,,,,,,,,,,,,,,,,,,,10157,2005-06-30
,,,,,,,,,,,,,,,,,,,,10250,2005-06-30
,,,,,,,,,,,,,,,,,,,,10849,2005-06-30
,,,,,,,,,,,,,,,,,,,,10858,2005-06-30
,,,,,,,,,,,,,,,,,,,,11145,2005-06-30
,,,,,,,,,,,,,,,,,,,,11640,2005-06-30
,,,,,,,,,,,,,,,,,,,,11837,2005-06-30
,,,,,,,,,,,,,,,,,,,,12030,2005-06-30
,,,,,,,,,,,,,,,,,,,,12058,2005-06-30
,,,,,,,,,,,,,,,,,,,,12142,2005-06-30
,,,,,,,,,,,,,,,,,,,,12245,2005-06-30
,,,,,,,,,,,,,,,,,,,,12311,2005-06-30
,,,,,,,,,,,,,,,,,,,,12647,2005-06-30
,,,,,,,,,,,,,,,,,,,,12656,2005-06-30
,,,,,,,,,,,,,,,,,,,,12937,2005-06-30
,,,,,,,,,,,,,,,,,,,,12946,2005-06-30
,,,,,,,,,,,,,,,,,,,,12955,2005-06-30
,,,,,,,,,,,,,,,,,,,,13037,2005-06-30
,,,,,,,,,,,,,,,,,,,,13103,2005-06-30
