RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3385,RCON3386,RCON3387,RCON3465,RCON3466,RCON3484,RCON3485,RCONA514,RCONA529,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17,IDRSSD,RCON9999
,,,,,,,,,,,,0,25217,170535,6726,256295,386,156893,0,12472,,,0,14487,30403,76167,7883,5515,43039,0,1113,62487,,,5005,2001-09-30
,,,,,,,,,,,,0,,46263,0,79136,4726,19650,0,9842,,,0,8430,15614,20437,8400,7040,6949,129,16365,16905,,,5050,2001-09-30
,,,,,,,,,,,,0,0,191837,41782,257955,161,191454,0,767,,,0,2016,105304,87273,2444,0,1931,0,16,4675,,,5069,2001-09-30
,,,,,,,,,,,,0,0,51020,5994,84250,26,23928,9946,7973,,,52,9165,15149,23458,16977,682,4358,206,5205,13722,,,5135,2001-09-30
,,,,,,,,,,,,28264,391,358471,0,571017,36363,327498,1324,12720,,,0,77345,27690,183925,58172,75360,5552,0,12155,119299,,,5210,2001-09-30
,,,,,,,,,,,,24025,2675,442230,112077,825206,200,339881,2113,81129,,,0,38446,35870,177603,203115,0,14216,281,15476,393047,,,5247,2001-09-30
,,,,,,,,,,,,224,,60780,0,87730,3949,50018,0,3387,,,0,2365,6288,46487,11490,2183,1927,0,7398,18251,,,5274,2001-09-30
,,,,,,,,,,,,1990,96,105084,340,203855,0,80161,0,19123,,,0,17811,12966,37160,6825,33748,42064,0,572,78281,,,5331,2001-09-30
,,,,,,,,,,,,0,2904,111569,11759,200095,36,74476,0,25084,,,0,22221,25975,22144,26233,15607,15035,0,2054,50422,,,5461,2001-09-30
,,,,,,,,,,,,2,,44475,2940,88449,0,14680,19412,7553,,,0,9693,9945,15664,19013,6371,11601,0,2729,27755,,,5751,2001-09-30
,,,,,,,,,,,,43666,4026,1499189,73094,2369007,7409,1331690,0,127031,,,0,162516,248846,996675,3429,614217,3211,0,19877,536339,,,5939,2001-09-30
,,,,,,,,,,,,0,,57161,5446,76403,0,30654,3118,14028,,,0,8071,13677,31594,7740,281,483,382,7273,6683,,,6039,2001-09-30
,,,,,,,,,,,,0,,10499,441,14911,15,,,,,,0,1688,3001,6002,2435,356,352,,,920,,,6057,2001-09-30
,,,,,,,,,,,,0,,13323,4561,30495,0,5081,3036,1354,,,0,5901,4563,9135,4241,1581,4150,0,2920,2502,,,6141,2001-09-30
,,,,,,,,,,,,57,0,135622,5076,203469,65,77085,3906,31580,,,0,27188,42328,54356,19680,20530,5826,636,27261,24436,,,6329,2001-09-30
,,,,,,,,,,,,0,,15535,2443,22664,6,,,,,,252,1880,2576,10877,1266,64,1028,,,2133,,,6842,2001-09-30
,,,,,,,,,,,,1768,2474,285012,58722,624087,0,200421,433,38027,,,0,62974,38688,125506,136180,611,94163,1839,13563,193702,,,6972,2001-09-30
,,,,,,,,,,,,7,0,284004,84800,545702,5000,0,0,0,,,0,0,0,0,12099,0,122751,0,284004,417340,,,7009,2001-09-30
,,,,,,,,,,,,0,,44018,9257,87234,0,23136,2946,3323,,,0,17114,6498,21691,16095,584,12369,390,14515,16859,,,7045,2001-09-30
,,,,,,,,,,,,258,,16806,223,29874,0,9908,2203,2566,,,9,3676,1224,13104,5487,3380,2385,0,2129,4681,,,7157,2001-09-30
,,,,,,,,,,,,0,0,282186,30629,394474,1131,232851,477,46502,,,3153,44302,72795,94468,10783,17660,22057,600,2232,70279,,,7166,2001-09-30
,,,,,,,,,,,,0,,18811,1747,42108,0,1437,8752,6119,,,0,5879,2396,19724,17635,0,1907,0,1914,4650,,,7456,2001-09-30
,,,,,,,,,,,,1,,24030,658,37404,100,9305,2351,7956,,,0,3116,4742,12252,1998,3700,4575,0,4410,4386,,,7634,2001-09-30
,,,,,,,,,,,,0,,43241,2262,48312,192,6868,8234,20997,,,0,5165,6440,12515,1801,637,612,0,7142,6664,,,8033,2001-09-30
,,,,,,,,,,,,17,,28186,346,36721,28,19902,3006,3526,,,1964,4562,3359,19286,1000,1996,1442,0,1460,3289,,,8154,2001-09-30
,,,,,,,,,,,,30175,0,96493,1059471,1572748,0,0,0,0,,,0,0,0,0,0,0,853,0,0,658776,,,8417,2001-09-30
,,,,,,,,,,,,0,,28116,4298,62147,0,7488,8494,5848,,,0,12537,17226,13223,13782,6402,5559,0,6056,2924,,,8462,2001-09-30
,,,,,,,,,,,,1845,8000,88789,9514,113249,25,70337,,6111,,,0,10503,8502,54459,0,6873,3071,183,12152,17906,,,8547,2001-09-30
,,,,,,,,,,,,0,,28878,2859,45895,1577,11995,,4471,,,0,7269,3592,13254,10360,0,0,0,12410,9927,,,8631,2001-09-30
,,,,,,,,,,,,3645,0,540315,221764,1413628,0,404184,0,94974,,,484,56147,86758,151846,0,514781,35966,0,26711,928379,,,9115,2001-09-30
