RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3385,RCON3386,RCON3387,RCON3465,RCON3466,RCON3484,RCON3485,RCONA514,RCONA529,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17,IDRSSD,RCON9999
,,,,,,,,,,,,0,,31888,0,87800,802,,,3183,16205,5364,0,11450,7957,23646,8794,7573,31073,0,4926,11491,,,37,2015-12-31
,,,,,,,,,,,,0,,26169,361,41060,978,,4631,1861,8680,8053,0,5533,4072,4665,4382,0,7011,0,2792,7829,,,242,2015-12-31
,,,,,,,,,,,,0,32009,146283,1895,200596,4866,,,2999,108876,29969,0,26308,42424,31557,5248,14570,16120,0,3920,32211,,,279,2015-12-31
,,,,,,,,,,,,165,,3251,117,9664,200,,582,291,760,819,0,0,328,2071,3925,951,566,0,766,3051,,,354,2015-12-31
,,,,,,,,,,,,843,,41128,117,45245,1280,,9028,8491,10618,11261,0,3002,2958,6712,0,1,431,0,2701,17204,,,457,2015-12-31
,,,,,,,,,,,,0,10500,289769,0,443355,51847,,0,21319,147110,86069,0,9988,10854,21267,10571,33944,34627,0,22788,285842,,,505,2015-12-31
,,,,,,,,,,,,13080,0,144332,0,210807,22460,,6499,39833,29668,54955,0,93690,18607,31516,17558,45,11390,514,7913,10611,,,1155,2015-12-31
,,,,,,,,,,,,9,0,81765,226,154349,0,,5146,15437,20249,28598,0,14811,36472,38464,27448,2235,36521,0,9496,22597,,,1351,2015-12-31
,,,,,,,,,,,,0,0,250356,0,778230,163184,,4135,26601,105674,86247,1445,129278,61003,43348,231651,338,107256,0,25961,271360,,,1454,2015-12-31
,,,,,,,,,,,,43,,56318,798,77128,4000,,23693,9384,7501,13595,0,8843,6076,8640,2461,7770,2510,0,2129,13948,,,1557,2015-12-31
,,,,,,,,,,,,0,0,94132,0,264626,25972,,,8970,54413,14171,582,64851,19607,32351,94487,768,30034,0,10441,47814,,,1669,2015-12-31
,,,,,,,,,,,,0,39060,267925,0,408121,9441,,0,22965,130114,113618,10999,25645,23103,43218,9265,52267,34521,673,476,124882,,,1829,2015-12-31
,,,,,,,,,,,,0,30089,41251,340,129243,42334,,,10316,3667,20707,0,1839,32074,26940,0,42714,0,0,333,19011,,,1856,2015-12-31
,,,,,,,,,,,,9141,23495,124209,1716,196707,2637,,,23429,25078,66483,0,18798,6521,29776,11239,7139,38781,0,1491,58348,,,2040,2015-12-31
,,,,,,,,,,,,0,0,76150,5003,137204,13815,,10856,17433,37457,3078,0,32489,14057,11145,0,7434,15881,280,7625,33456,,,2161,2015-12-31
,,,,,,,,,,,,40010,682450,2787731,0,3374360,1545,,0,22372,205209,2560060,0,49644,483852,356145,0,364332,0,0,89,1126547,,,2376,2015-12-31
,,,,,,,,,,,,74,,6367,0,13660,2543,,1614,1757,262,1938,0,2281,732,2613,0,0,3846,0,386,2001,,,2554,2015-12-31
,,,,,,,,,,,,0,0,340130,0,571127,73273,,0,34645,24257,279304,0,51997,90738,33846,65882,0,66165,0,1708,173166,,,2732,2015-12-31
,,,,,,,,,,,,163,,41665,820,60357,1249,,21861,2753,1020,14552,0,10000,5063,9190,1847,860,9207,0,807,16176,,,2750,2015-12-31
,,,,,,,,,,,,0,112803,777148,0,1066200,92742,,0,7898,660676,108043,0,70653,69085,109872,14172,87525,8532,0,531,570529,,,3177,2015-12-31
,,,,,,,,,,,,507,5000,94598,110,179768,0,,46355,9886,507,30396,75,48711,34572,14663,1823,56883,18236,0,6119,27501,,,3252,2015-12-31
,,,,,,,,,,,,6574,,25059,128,40726,249,,3562,3153,5112,12007,0,7592,6005,7032,8620,1687,2782,0,950,4631,,,3458,2015-12-31
,,,,,,,,,,,,3714,0,140450,0,235912,21601,,9465,13062,34316,74829,0,69163,29553,24683,31829,11575,6918,0,6568,38814,,,3720,2015-12-31
,,,,,,,,,,,,0,36955,562917,2724,750447,75452,,42953,61092,148329,258490,33219,19060,72251,122956,14263,35366,15707,0,18737,356423,,,3971,2015-12-31
,,,,,,,,,,,,975,10845,159221,1915,211593,786,,11784,17786,43692,83506,410,45091,32672,23350,15692,0,16607,0,2043,44121,,,4156,2015-12-31
,,,,,,,,,,,,0,0,49437,0,114178,0,,,3029,9222,28933,0,12262,25467,18502,2117,30837,17583,0,4754,22356,,,4231,2015-12-31
,,,,,,,,,,,,2312,1305,135982,0,241091,10444,,,18021,55841,56229,0,50560,23175,21223,25921,36484,16018,0,2576,87663,,,4437,2015-12-31
,,,,,,,,,,,,0,22000,240042,0,338693,10031,,0,4443,41898,192077,0,13408,30157,8632,9284,29224,39263,0,1327,75893,,,4839,2015-12-31
,,,,,,,,,,,,65,0,317895,0,402358,38154,,0,3163,48672,266394,0,1572,130822,12048,0,0,31147,0,0,48058,,,5069,2015-12-31
,,,,,,,,,,,,22723,22723,326422,0,458273,63477,,80081,26526,51210,149855,0,46269,122115,46075,35891,0,4573,597,11176,74464,,,5135,2015-12-31
,,,,,,,,,,,,46289,74339,839473,0,1132866,27529,,1027,45305,413981,303139,0,32493,89747,158230,66701,84668,36419,0,14721,462878,,,5210,2015-12-31
,,,,,,,,,,,,0,0,306844,0,533841,4743,,10232,33132,41394,202339,0,10357,26536,9192,53340,26291,71673,0,10245,405463,,,5461,2015-12-31
,,,,,,,,,,,,37,2818,134977,1828,191152,998,,26546,27343,23723,50167,1666,19225,26364,18371,0,11466,28558,0,5303,68259,,,5751,2015-12-31
,,,,,,,,,,,,0,,52425,1600,90179,15053,,3204,4459,6561,34718,0,10257,9886,19223,11060,0,272,507,2431,16067,,,6039,2015-12-31
,,,,,,,,,,,,0,,18220,5884,59214,0,,1574,936,3350,8551,0,19888,6191,5213,9138,404,12803,0,3801,3823,,,6141,2015-12-31
,,,,,,,,,,,,0,0,407956,6987,514616,19997,,4861,31780,92958,131138,0,37466,126590,75938,26096,0,6392,1235,147734,83688,,,6329,2015-12-31
,,,,,,,,,,,,0,0,275078,0,566421,6550,,0,83427,0,0,0,0,0,0,191089,0,88042,0,191378,418854,,,7009,2015-12-31
,,,,,,,,,,,,0,0,80224,0,200262,11484,,6613,4454,34142,20666,0,86087,12160,18160,2578,59542,38284,483,11285,36624,,,7045,2015-12-31
,,,,,,,,,,,,0,15000,148926,1058,185988,225,,,4219,97521,43432,0,8712,25006,41307,0,10130,4839,0,2268,50430,,,7072,2015-12-31
,,,,,,,,,,,,0,,24030,1641,45503,0,,2851,4484,8959,3501,66,5428,3892,10593,10928,1,7793,0,4143,11880,,,7157,2015-12-31
,,,,,,,,,,,,461,,54050,0,78695,3683,,19201,10667,5886,16252,0,15264,5182,10704,1431,667,15772,0,1972,19589,,,7456,2015-12-31
,,,,,,,,,,,,0,,43838,0,63346,5917,,2578,4793,10864,19295,0,6192,16474,14367,265,6687,4905,0,6307,7796,,,7634,2015-12-31
,,,,,,,,,,,,0,13523,179787,5419,220030,10870,,,14604,77356,99868,0,23998,25984,38314,5320,0,2332,0,4482,17799,,,8033,2015-12-31
,,,,,,,,,,,,0,0,51520,3550,175514,4441,,7970,14605,8364,10624,0,36795,30454,10662,51052,34150,14883,0,9940,9252,,,8462,2015-12-31
,,,,,,,,,,,,0,,32797,1750,67511,13664,,,8412,12635,6528,0,5975,6498,9224,13373,0,0,0,4873,20165,,,8631,2015-12-31
,,,,,,,,,,,,0,557,342999,523,485014,51958,,0,132622,122960,66236,0,14742,5990,1370,32103,21170,997,0,2738,353482,,,9357,2015-12-31
,,,,,,,,,,,,2068,46370,100356,191,172735,5607,,46795,6670,6830,37321,0,19481,28108,17535,601,19437,37750,0,2042,26243,,,9553,2015-12-31
,,,,,,,,,,,,61838,187500,1631495,0,2223237,17503,,0,42573,403896,1183801,0,10702,244252,152107,63417,29681,300342,0,531,1243979,,,9807,2015-12-31
,,,,,,,,,,,,0,9276,72617,0,133022,20385,,12966,9175,6450,40565,2231,20802,11559,8777,9961,0,25948,0,1230,46157,,,9955,2015-12-31
