RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3385,RCON3386,RCON3387,RCON3465,RCON3466,RCON3484,RCON3485,RCONA514,RCONA529,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17,IDRSSD,RCON9999
,,,,,,,,,,,,0,,40348,0,84792,9961,,,2765,21415,8135,0,7741,14640,30744,10019,6411,13356,0,6951,7635,,,37,2011-06-30
,,,,,,,,,,,,0,,20972,1640,35426,1060,,2229,1566,7542,6971,0,4907,2286,8386,5009,0,5533,0,2785,6482,,,242,2011-06-30
,,,,,,,,,,,,0,20066,74451,2426,143004,3553,,,2617,48248,17899,124,13208,26731,39483,8495,33727,13392,0,5301,18970,,,279,2011-06-30
,,,,,,,,,,,,0,,4149,565,10441,99,,615,418,1163,1163,0,0,1353,3174,5154,0,393,0,791,2583,,,354,2011-06-30
,,,,,,,,,,,,1,,31415,786,36440,1241,,6871,5997,7756,8742,0,2739,3365,10314,0,2,173,0,1557,10624,,,457,2011-06-30
,,,,,,,,,,,,0,45500,233688,0,401971,74390,,0,18701,134372,47988,0,10658,26630,43883,7913,37263,34421,0,24038,215590,,,505,2011-06-30
,,,,,,,,,,,,12953,4,136207,0,208827,28248,,8484,37358,24354,54587,0,60717,30595,53392,18917,124,6373,483,7508,12310,,,1155,2011-06-30
,,,,,,,,,,,,0,0,70911,8440,157096,0,,4716,19393,12371,25012,0,10411,36088,42133,36993,0,35457,0,9418,23770,,,1351,2011-06-30
,,,,,,,,,,,,0,0,215910,0,544162,86001,,2648,25672,90177,70680,0,101409,59907,52139,144564,11130,62131,0,26038,153804,,,1454,2011-06-30
,,,,,,,,,,,,10,,33939,2641,58288,1921,,18301,2095,2548,9836,0,7075,9521,12140,5110,0,12099,0,1159,7601,,,1557,2011-06-30
,,,,,,,,,,,,0,207,81716,2163,246213,20882,,,9251,44954,11282,0,54075,28926,49440,99508,2897,19742,0,12382,30297,,,1669,2011-06-30
,,,,,,,,,,,,1811,24116,232436,0,411296,59648,,0,21152,120542,88500,23556,19245,44114,76097,12364,41640,21753,722,1464,130952,,,1829,2011-06-30
,,,,,,,,,,,,0,54000,38832,0,161276,15012,,,27885,2155,8119,0,2228,377,76107,23252,52626,5074,0,726,4964,,,1856,2011-06-30
,,,,,,,,,,,,3232,20000,140921,8309,206060,2718,,,13633,29874,93162,0,27805,17365,48585,1865,20970,21195,3,3051,53664,,,2040,2011-06-30
,,,,,,,,,,,,0,0,57840,17608,129976,9070,,5245,13145,28667,2576,0,23856,26418,16089,4829,16545,7968,320,8636,20523,,,2161,2011-06-30
,,,,,,,,,,,,173090,537464,1629321,0,2531571,76092,,0,30939,252365,1345612,0,19666,253696,425803,151126,531430,0,0,405,650252,,,2376,2011-06-30
,,,,,,,,,,,,128,,5133,92,10984,3919,,1227,804,457,2101,0,1690,1580,2879,423,0,714,0,419,1091,,,2554,2011-06-30
,,,,,,,,,,,,0,254,364837,0,514595,37925,,0,31254,41705,287895,4860,45492,159743,72182,10850,0,65944,0,2393,80708,,,2732,2011-06-30
,,,,,,,,,,,,62,,36125,910,57813,291,,19129,2686,2666,9889,0,8652,12316,13462,6415,5141,5933,0,1667,9171,,,2750,2011-06-30
,,,,,,,,,,,,1924,3500,80506,1631,149420,1289,,36233,9589,614,25403,108,36090,29179,17112,2001,41328,14530,0,5084,28785,,,3252,2011-06-30
