RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3385,RCON3386,RCON3387,RCON3465,RCON3466,RCON3484,RCON3485,RCONA514,RCONA529,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17,IDRSSD,RCON9999
,,,,,,,,,,,,0,,46879,3669,80533,0,32782,,1061,,,0,8517,12058,29708,13569,7629,5934,0,9615,9468,,,37,2005-12-31
,,,,,,,,,,,,13,,20550,527,28220,100,14072,2483,1411,,,0,4803,2047,7891,6589,8,428,0,2718,4115,,,242,2005-12-31
,,,,,,,,,,,,0,26698,43105,1941,122982,378,38411,,1137,,,324,8403,16620,38449,850,68050,4520,0,2942,12894,,,279,2005-12-31
,,,,,,,,,,,,13,,3987,159,7944,0,2619,638,198,,,0,0,748,2540,3722,0,0,0,569,2516,,,354,2005-12-31
,,,,,,,,,,,,0,0,121773,12020,168411,0,92465,,16883,,,0,17633,24084,43438,10174,10294,2388,0,5675,23284,,,439,2005-12-31
,,,,,,,,,,,,56,,25336,382,29663,0,12483,5073,3416,,,0,2053,4303,8525,930,44,539,0,3914,7541,,,457,2005-12-31
,,,,,,,,,,,,0,16162,198934,7832,315297,147,145307,,17341,,,0,8120,28430,52537,27229,59126,4675,0,29743,136905,,,505,2005-12-31
,,,,,,,,,,,,1284,21175,355494,625,464090,20969,259548,0,27345,,,0,51924,39362,75320,29066,15632,926,56964,9659,145751,,,1146,2005-12-31
,,,,,,,,,,,,20436,12591,116954,0,169191,9,68894,,30044,,,0,31896,25499,40471,18572,300,18764,464,10096,10255,,,1155,2005-12-31
,,,,,,,,,,,,0,0,57953,2013,99529,0,28747,4504,15757,,,182,9567,13021,33655,24999,927,10302,0,8762,18231,,,1351,2005-12-31
,,,,,,,,,,,,1012,0,187947,18023,385889,363,118645,3039,30712,,,97,65156,42141,44408,98071,31269,24963,1577,30279,109775,,,1454,2005-12-31
,,,,,,,,,,,,0,,17329,3749,33774,50,7524,8359,709,,,0,2783,3509,11559,9682,0,1494,0,737,4509,,,1557,2005-12-31
,,,,,,,,,,,,13644,34000,400490,0,456608,307,330113,11943,58730,,,0,9857,92982,61971,24667,611,4339,0,11673,143208,,,1632,2005-12-31
,,,,,,,,,,,,0,235,69753,11520,223611,2482,50240,,8833,,,0,39963,21374,59998,112809,47,9374,0,9562,24904,,,1669,2005-12-31
,,,,,,,,,,,,2922,7000,162711,0,313039,6334,134417,0,25482,,,20935,15692,35080,94815,21642,43076,48260,526,2089,63074,,,1829,2005-12-31
,,,,,,,,,,,,2337,79418,14585,476,231398,34,9618,1475,2514,,,0,1295,76972,2051,31324,173769,1995,0,2567,505,,,1856,2005-12-31
,,,,,,,,,,,,1400,18468,119700,143,153306,67,29544,,83338,,,0,24538,25135,30128,2505,2696,20388,436,6376,25784,,,2040,2005-12-31
,,,,,,,,,,,,0,0,56233,3160,98215,2999,37367,,5889,,,162,19308,16871,14701,18218,4989,4046,401,9335,18319,,,2161,2005-12-31
,,,,,,,,,,,,9619,174997,563412,3323,1023578,352,560623,0,2353,,,0,12679,68326,319868,25391,347141,31767,0,436,266146,,,2376,2005-12-31
,,,,,,,,,,,,1,,22763,409,25418,103,11849,3688,6636,,,0,1621,3332,7752,0,0,0,0,566,3767,,,2451,2005-12-31
,,,,,,,,,,,,0,,3370,250,7573,0,1030,1288,603,,,0,1738,508,2287,2372,3,50,0,470,483,,,2554,2005-12-31
,,,,,,,,,,,,0,265,403574,14560,507842,0,290421,0,83738,,,0,35740,130530,62785,25598,0,40797,0,29113,127520,,,2732,2005-12-31
,,,,,,,,,,,,3790,2322,34307,0,51863,1188,13826,15967,2364,,,0,5754,8475,14783,7325,5600,627,0,2151,9520,,,2750,2005-12-31
,,,,,,,,,,,,35062,40500,300349,0,364342,480,232680,3905,53973,,,0,7350,71944,23859,35640,5327,6933,0,7869,91681,,,2938,2005-12-31
,,,,,,,,,,,,26,,43311,4027,107679,5491,13642,21421,4849,,,153,34880,9526,16821,18924,16721,12500,0,3399,18920,,,3252,2005-12-31
,,,,,,,,,,,,3080,,8771,2103,25027,3150,5234,779,1485,,,657,4192,3453,6385,6831,329,2974,0,496,3020,,,3458,2005-12-31
,,,,,,,,,,,,10295,101263,1084932,9405,1642767,36,948697,0,131000,,,23349,24988,40415,269267,171540,112962,68250,571,2831,718167,,,3506,2005-12-31
,,,,,,,,,,,,3830,4299,88102,5249,153056,0,74420,,6020,,,0,36817,14116,32359,29198,9184,13302,0,7874,21429,,,3720,2005-12-31
,,,,,,,,,,,,0,,79844,4416,95560,16,35899,16146,20661,,,25,8601,8677,16954,0,0,0,0,4683,29307,,,3953,2005-12-31
,,,,,,,,,,,,406,2735,120826,588,174260,0,89413,,11868,,,0,13886,27710,46688,31176,445,10061,0,15267,33654,,,4138,2005-12-31
,,,,,,,,,,,,0,12500,71727,6011,114361,1126,55660,,9539,,,0,13806,7321,20903,5767,46,16210,935,3221,31249,,,4147,2005-12-31
,,,,,,,,,,,,0,16549,92245,0,140427,103,48374,16337,22127,,,905,19591,15957,33157,12433,0,23553,0,4503,23941,,,4156,2005-12-31
,,,,,,,,,,,,1839,0,50704,401,113333,0,38391,,3063,,,0,11299,28518,27482,29835,18152,9525,0,6887,19133,,,4231,2005-12-31
,,,,,,,,,,,,6895,8427,162430,1987,208232,1230,108585,0,33339,,,17,19654,17138,24552,24602,2322,8682,0,17181,90181,,,4437,2005-12-31
,,,,,,,,,,,,11725,29223,181244,877,270512,186,167173,,10372,,,0,6874,65223,50699,12335,38975,23733,0,2848,50547,,,4839,2005-12-31
,,,,,,,,,,,,0,25407,205577,6488,318021,516,199498,0,5730,,,0,20342,37986,84570,29000,9707,41290,0,330,81610,,,5005,2005-12-31
,,,,,,,,,,,,0,,55449,0,89008,144,39334,,10263,,,0,9182,16317,18822,10259,5471,12914,150,5690,20305,,,5050,2005-12-31
,,,,,,,,,,,,0,645,265680,17682,321628,0,263184,0,2439,,,0,2963,101231,82043,19940,0,1170,0,57,45326,,,5069,2005-12-31
,,,,,,,,,,,,0,13154,176248,13453,244606,106,101623,19810,41473,,,0,21697,79027,37106,18225,2365,2527,517,11139,24112,,,5135,2005-12-31
,,,,,,,,,,,,25604,146384,484445,0,928740,1024,440208,3132,24799,,,0,39462,36453,191912,168912,134102,76047,0,9699,315472,,,5210,2005-12-31
,,,,,,,,,,,,11263,2694,783280,41137,1076033,200,491601,128,77237,,,0,10714,58648,184344,131089,0,13073,0,204619,620871,,,5247,2005-12-31
,,,,,,,,,,,,2313,10579,92708,1996,127729,1906,77380,,10799,,,0,3559,5520,56129,13278,3025,280,0,1153,23468,,,5274,2005-12-31
,,,,,,,,,,,,83403,23207,161158,740,345488,7,147597,0,9680,,,0,22419,22939,41964,107986,12109,37522,0,435,77564,,,5331,2005-12-31
,,,,,,,,,,,,124,622,226834,8584,376813,160,176738,936,30342,,,0,9387,26967,17833,52717,23322,35632,0,4668,246435,,,5461,2005-12-31
,,,,,,,,,,,,36,514,43263,2224,89790,0,14914,22336,3798,,,0,9698,8751,10853,15601,13885,10264,0,1924,32100,,,5751,2005-12-31
,,,,,,,,,,,,0,,53420,9520,80348,2358,27809,,17075,,,0,11554,12647,25917,8886,0,306,458,3903,9277,,,6039,2005-12-31
,,,,,,,,,,,,0,,11524,765,15919,63,8418,1377,1736,,,0,1779,931,8645,2700,40,35,0,554,593,,,6057,2005-12-31
,,,,,,,,,,,,0,,13744,3714,34745,0,9381,2397,1224,,,0,6708,4850,6810,3893,4125,4247,0,3459,1397,,,6141,2005-12-31
,,,,,,,,,,,,831,1793,211047,2911,294432,236,122260,,29808,,,0,46495,63821,59334,22690,24199,5627,802,57463,37468,,,6329,2005-12-31
,,,,,,,,,,,,48157,34749,498994,0,820318,0,421580,0,65929,,,0,84240,43816,87747,206101,56,45957,0,6499,255816,,,6972,2005-12-31
,,,,,,,,,,,,1022,0,233094,64826,462476,2000,0,0,0,,,0,0,0,0,60517,0,80593,0,233094,361267,,,7009,2005-12-31
,,,,,,,,,,,,0,0,51093,14101,107173,0,29933,3179,4984,,,0,30079,6161,24101,20752,1,14861,0,12427,21755,,,7045,2005-12-31
,,,,,,,,,,,,20,,18354,1240,32885,0,9275,2293,3377,,,18,2754,2219,11206,7837,1022,3071,0,3406,7767,,,7157,2005-12-31
,,,,,,,,,,,,83,31000,500219,13793,592745,150,443868,944,51676,,,281,3036,118809,48760,3574,9605,23737,298,3450,169120,,,7166,2005-12-31
,,,,,,,,,,,,2349,,20927,4,41628,0,4169,7873,6887,,,0,4647,1197,15339,14084,4695,472,0,1890,7543,,,7456,2005-12-31
,,,,,,,,,,,,172,,26955,127,41144,100,11091,1601,10499,,,0,3220,7103,13748,3994,1841,4831,0,3764,4258,,,7634,2005-12-31
,,,,,,,,,,,,54,,60479,11004,80764,236,17332,6337,29735,,,0,5903,10929,15176,1000,256,1793,0,6618,7565,,,8033,2005-12-31
,,,,,,,,,,,,0,1695817,1605514,200033,3230946,0,0,0,0,,,0,0,0,0,0,0,0,0,1548159,46341,,,8417,2005-12-31
,,,,,,,,,,,,0,,29663,5207,76053,0,6251,8785,6144,,,0,17136,19213,11193,18662,7278,7152,0,7629,4361,,,8462,2005-12-31
,,,,,,,,,,,,145,,25946,587,47090,29,9821,,9710,,,0,5835,3475,10921,14993,0,0,0,6270,13234,,,8631,2005-12-31
,,,,,,,,,,,,7481,4643,312575,0,385871,14385,192319,0,113772,,,0,12601,4716,1979,30063,269,972,0,5705,225783,,,9357,2005-12-31
,,,,,,,,,,,,456,,55832,3,60894,11,22593,26301,3596,,,0,8934,7013,21535,1822,1,411,0,1633,2855,,,9553,2005-12-31
,,,,,,,,,,,,153182,407377,2032693,3769,2562498,14246,1958796,0,71451,,,0,18937,217633,245186,232370,56543,157043,0,821,1072300,,,9807,2005-12-31
,,,,,,,,,,,,0,,40413,727,85721,4878,19523,8826,6002,,,2812,15513,10108,18887,29798,0,1379,0,3250,19686,,,9955,2005-12-31
,,,,,,,,,,,,371,,27942,326,55132,61,12096,10679,2823,,,0,5619,3977,15223,8011,13736,1852,0,1203,11637,,,10157,2005-12-31
,,,,,,,,,,,,1645,1141,267864,3370,338399,1387,184804,,54868,,,0,12463,67974,103492,6120,17230,27292,288,26963,107980,,,10250,2005-12-31
,,,,,,,,,,,,2388,32304,195694,113,265144,1549,158083,,18256,,,0,5780,53217,58849,10664,27125,18560,0,2340,64312,,,10849,2005-12-31
,,,,,,,,,,,,20802,9537,296132,4967,393148,31,106323,34932,59898,,,0,3286,61933,108517,55689,0,980,45933,49045,135655,,,10858,2005-12-31
,,,,,,,,,,,,0,14968,111111,4645,143639,99,99893,,4667,,,0,27351,6742,22342,7132,1169,10597,0,6026,41323,,,11145,2005-12-31
,,,,,,,,,,,,5807,20013,128625,0,222288,99,64028,19840,34477,,,0,7645,41543,33678,24495,8070,36777,0,12994,50404,,,11640,2005-12-31
,,,,,,,,,,,,729,,71621,732,102394,30,60008,,9492,,,0,26716,14895,25032,18653,465,3747,124,1030,7835,,,11837,2005-12-31
,,,,,,,,,,,,0,217,226879,13920,271132,0,164468,,30912,,,0,21497,58835,105632,17565,70,100,0,2242,32606,,,12030,2005-12-31
,,,,,,,,,,,,0,2083,69257,1667,96177,233,49603,4604,10606,,,0,7124,10522,30841,17931,0,1908,0,4320,22887,,,12058,2005-12-31
,,,,,,,,,,,,0,0,63978,7698,159078,561,46177,4030,4845,,,0,25759,32854,28553,20690,33616,19604,293,8564,24635,,,12142,2005-12-31
,,,,,,,,,,,,3341,5000,65468,138,100933,25,58493,0,2365,,,0,4768,15800,17794,5618,6464,18903,86,2947,24698,,,12245,2005-12-31
1451953,3746800,104049,32305469,50003,141773,2791492,536530,1558877,2147822,0,815402,,,22360195,,,,15001694,29240,3875043,,,,242013,4324633,3428552,,,,0,2966127,13134391,,,12311,2005-12-31
,,,,,,,,,,,,38,,43411,1488,62382,17,29584,6379,6318,,,0,4204,7224,18104,500,3383,9146,80,1051,16143,,,12647,2005-12-31
,,,,,,,,,,,,0,,8076,1004,10359,5,5929,1054,554,,,0,1170,1371,3237,699,0,0,0,660,1696,,,12656,2005-12-31
,,,,,,,,,,,,95,153,132302,0,158678,2772,121236,,8222,,,0,0,48590,48590,10425,0,0,0,2369,31022,,,12937,2005-12-31
,,,,,,,,,,,,1783,9742,304895,859,485463,206,249605,1593,33620,,,0,10255,104177,138351,44983,50456,49103,0,19458,157718,,,12946,2005-12-31
,,,,,,,,,,,,0,8500,81631,3992,106199,35,65204,,15114,,,233,7462,16174,22380,8072,1233,5148,0,1225,21614,,,12955,2005-12-31
,,,,,,,,,,,,0,0,62579,4444,102287,360,19521,,34044,,,0,9966,8973,34020,26597,5680,386,300,2650,23851,,,13037,2005-12-31
,,,,,,,,,,,,15417,96026,609219,537,936946,43,479526,0,49438,,,0,60705,53363,157535,137185,103060,53638,0,80258,398180,,,13103,2005-12-31
,,,,,,,,,,,,100,,21973,2007,34198,1331,13245,2075,3650,,,0,2295,1084,10014,5300,471,2047,0,5078,11963,,,13251,2005-12-31
,,,,,,,,,,,,1162,,12277,0,20169,0,4096,6292,1293,,,63,2110,1411,3847,2702,13,3088,0,513,3458,,,13457,2005-12-31
,,,,,,,,,,,,689,,50806,472,63318,654,34314,,12452,,,0,7113,7750,12817,6101,0,115,0,4035,16587,,,14052,2005-12-31
,,,,,,,,,,,,0,,78307,209,93712,0,39682,15813,17177,,,0,12916,7596,21221,3245,1807,389,0,6134,20170,,,14155,2005-12-31
,,,,,,,,,,,,16655,8435,621693,128809,817112,0,500293,2918,107587,,,0,36296,123751,43614,31558,4469,8412,0,8869,483489,,,14258,2005-12-31
2429659,2956535,68477,33828291,24512,77093,572879,367543,7194667,124641,0,324113,,,23054205,,,,10642246,0,5061287,,,,352405,3063370,3297574,,,,987775,5761087,15740010,,,14409,2005-12-31
,,,,,,,,,,,,0,,25941,8449,42221,0,21446,1619,2559,,,5885,1971,4066,11449,499,1058,0,0,1935,15975,,,14454,2005-12-31
,,,,,,,,,,,,0,,16385,1698,27367,1812,9441,,1439,,,818,5583,1526,5501,3037,170,484,0,4346,4828,,,14650,2005-12-31
,,,,,,,,,,,,165,,13843,467,29306,0,3670,8206,1309,,,0,2110,3280,10354,8940,3262,1263,0,659,4714,,,14753,2005-12-31
,,,,,,,,,,,,3,5113,108271,2075,177883,3347,60495,25875,12295,,,0,48691,13816,30345,10319,26764,11803,426,5572,39374,,,14865,2005-12-31
,,,,,,,,,,,,194728,435,872038,698,1216354,6183,791463,0,63540,,,138440,20321,183125,364817,0,86279,48923,0,3571,321205,,,15536,2005-12-31
,,,,,,,,,,,,2077,29000,301408,22558,409331,676,233253,165,35951,,,0,13076,57072,90957,27473,3571,13791,0,30198,88163,,,16337,2005-12-31
,,,,,,,,,,,,0,6316,111163,4719,199547,396,95853,,12118,,,192,7254,14178,26337,36548,8728,22724,0,2431,79497,,,16458,2005-12-31
,,,,,,,,,,,,195,20840,124060,929,137954,0,105750,,8969,,,312,7594,36244,30490,3337,0,3011,0,6525,16885,,,16551,2005-12-31
,,,,,,,,,,,,13,,30224,2288,47546,66,16913,,4293,,,0,4308,1840,17978,5240,3921,344,0,9018,8157,,,16748,2005-12-31
,,,,,,,,,,,,0,,13807,1769,29392,0,10649,,1178,,,0,6434,420,3899,3311,66,7834,0,1241,8625,,,16944,2005-12-31
,,,,,,,,,,,,0,,12062,2816,30397,100,3685,3819,2498,,,0,4026,1871,9111,13414,0,355,0,2061,5043,,,16953,2005-12-31
,,,,,,,,,,,,0,0,97731,2294,137312,23596,1254,,5416,,,0,0,97061,20371,0,0,6625,0,86109,277,,,17110,2005-12-31
,,,,,,,,,,,,38552,57964,536497,37982,767583,1335,353913,4911,132062,,,4461,17600,108594,136724,29364,54006,47459,0,49695,207387,,,17147,2005-12-31
,,,,,,,,,,,,796,,33231,20,59306,0,22090,,3443,,,125,6071,5357,16650,13733,821,8036,0,6772,15902,,,17259,2005-12-31
,,,,,,,,,,,,0,66102,1041541,21938,1258251,49801,762437,257,227468,,,0,27614,35430,31826,11953,37778,6511,4093,36183,807639,,,17464,2005-12-31
,,,,,,,,,,,,3114,0,187879,2717,268410,589,174683,,12081,,,977,14187,50837,40578,0,1899,52752,0,1099,84797,,,17549,2005-12-31
,,,,,,,,,,,,4033,10000,145571,16656,203483,69,99532,6998,32941,,,0,22125,42376,30564,29080,2448,757,0,5739,46258,,,17839,2005-12-31
,,,,,,,,,,,,2401,10079,104285,70,159873,24,75229,10452,10153,,,302,26205,17995,21908,29847,6694,5973,0,6860,44245,,,17950,2005-12-31
,,,,,,,,,,,,0,4304,156132,5675,275104,533,130761,,9996,,,0,13320,31955,54385,29072,43180,16874,0,10291,78991,,,18050,2005-12-31
,,,,,,,,,,,,7255,12919,98746,6750,179911,375,53989,,31268,,,0,21529,21699,23464,32031,0,18870,0,13488,38562,,,18135,2005-12-31
,,,,,,,,,,,,87,51136,368137,31495,542055,137,315875,0,52542,,,19707,3346,21315,21795,62864,0,35877,264,761,372473,,,18368,2005-12-31
,,,,,,,,,,,,0,,12612,0,24999,8668,12612,,0,,,0,0,2055,13945,850,2009,0,0,0,4273,,,18377,2005-12-31
,,,,,,,,,,,,0,757,81631,8048,163254,250,60835,,6044,,,0,32061,15106,30719,35460,9339,21341,0,12803,44762,,,18827,2005-12-31
,,,,,,,,,,,,0,7178,109132,2804,132031,774,74933,,2427,,,0,7368,22410,45984,7211,1052,1312,0,26419,18655,,,18836,2005-12-31
,,,,,,,,,,,,176,,19287,1423,26521,567,12236,1491,4834,,,0,6093,3903,8634,8004,0,20,0,599,1969,,,18854,2005-12-31
,,,,,,,,,,,,0,,35266,2452,56347,259,19094,2578,10218,,,0,7642,11289,14313,4721,6051,3864,111,2967,7597,,,18957,2005-12-31
,,,,,,,,,,,,695,0,39307,1117,75277,80,25748,,9480,,,0,13830,5392,22143,18806,7320,3454,0,3129,9183,,,19356,2005-12-31
,,,,,,,,,,,,23213,51216,1259215,70102,1729326,29830,946651,2966,260045,,,901,23484,225525,307832,81050,51578,15042,0,44758,737509,,,19730,2005-12-31
,,,,,,,,,,,,3619,0,116764,8024,173048,151,84483,,16946,,,0,27163,30891,29587,8511,24043,2366,0,10061,9681,,,19936,2005-12-31
,,,,,,,,,,,,0,,26498,0,46928,3442,26252,,0,,,0,0,0,0,12760,1220,476,0,248,36088,,,19972,2005-12-31
,,,,,,,,,,,,1169,,29870,50,41948,2397,18816,2566,5126,,,0,1605,6193,12528,3697,0,3195,68,1810,5198,,,20053,2005-12-31
,,,,,,,,,,,,0,,31824,0,49432,0,21717,,3904,,,0,3802,1705,11630,2,4,6,453,4233,16083,,,20147,2005-12-31
,,,,,,,,,,,,0,,19648,3430,56597,13,14662,1723,2165,,,0,14017,100,973,453,24775,4784,0,2821,15059,,,20259,2005-12-31
,,,,,,,,,,,,170,3568,98039,0,124311,260,86767,,9362,,,0,14016,5399,24041,0,3147,7977,101,2271,36964,,,20370,2005-12-31
,,,,,,,,,,,,0,,52312,110,92771,2661,46722,,727,,,0,8651,8973,23327,13864,7413,11540,0,3272,18846,,,20512,2005-12-31
,,,,,,,,,,,,0,1242,125760,5075,223555,1931,104857,0,3561,,,0,22435,28622,44184,52258,22692,9473,0,10744,86219,,,20633,2005-12-31
,,,,,,,,,,,,0,,9031,284,13159,0,3096,2150,2694,,,0,1837,1436,5698,3862,0,0,0,1092,1741,,,20754,2005-12-31
,,,,,,,,,,,,0,12000,141338,13391,163768,104,121852,,14833,,,0,9648,54601,43322,1241,1170,947,0,3452,18860,,,20839,2005-12-31
,,,,,,,,,,,,478,,25408,293,78983,10677,10969,9084,3579,,,0,10344,2710,7244,20658,563,17216,0,1778,32715,,,20857,2005-12-31
,,,,,,,,,,,,1643,2677,135051,185,166163,1371,117918,,14450,,,0,30305,960,4346,6017,10819,1055,177,2355,107975,,,20866,2005-12-31
,,,,,,,,,,,,3,,4659,501,8295,300,3375,,600,,,0,1330,300,2786,589,908,193,0,580,1299,,,21256,2005-12-31
,,,,,,,,,,,,0,,12386,892,17359,100,5447,3483,1723,,,0,1168,2070,4084,1146,0,1100,0,1701,5948,,,21359,2005-12-31
,,,,,,,,,,,,0,,25886,5288,64001,171,19744,,3532,,,0,6063,13361,12106,7399,15299,6249,0,2598,3131,,,21630,2005-12-31
,,,,,,,,,,,,739,2384,84109,275,119565,271,60342,5008,7674,,,0,19641,8475,42660,22731,216,6231,175,6760,38938,,,21658,2005-12-31
,,,,,,,,,,,,1891,6489,131250,0,192905,17,42071,18747,57795,,,324,21915,56491,54416,32501,4168,3234,0,12421,13878,,,22048,2005-12-31
,,,,,,,,,,,,0,10000,233967,20749,331683,5205,203756,5193,2122,,,0,42791,83295,115043,14899,34220,3018,0,19394,38275,,,22235,2005-12-31
,,,,,,,,,,,,9883,254,149283,4947,231923,6000,94110,16680,27781,,,0,6936,21519,46413,1521,26907,23759,2483,8052,90269,,,22356,2005-12-31
,,,,,,,,,,,,3015,,76419,3341,98111,48,40766,,7575,,,630,9757,8858,30845,12431,0,1716,190,25141,14826,,,22459,2005-12-31
,,,,,,,,,,,,0,,49797,5273,73994,174,44651,,1907,,,0,17277,6478,15850,10173,927,4279,0,2988,10587,,,22543,2005-12-31
,,,,,,,,,,,,1162,,39538,234,45564,0,20405,12006,4973,,,0,6709,6401,14737,2038,31,1667,0,2054,5197,,,22552,2005-12-31
,,,,,,,,,,,,38,1244,49978,1324,89573,166,39603,,5166,,,0,8918,3554,22646,17782,7873,6733,0,5209,24021,,,22730,2005-12-31
,,,,,,,,,,,,0,12818,153073,17392,192890,811,124668,4565,14866,,,0,13813,53358,36617,8249,1065,2081,0,8542,29899,,,22936,2005-12-31
,,,,,,,,,,,,134,,60106,757,71332,0,36993,7993,9253,,,0,6189,12905,21863,4392,494,801,0,5085,8382,,,22954,2005-12-31
,,,,,,,,,,,,36860,150,378356,0,437155,0,312945,107,44368,,,0,3786,126996,80113,41241,296,646,0,6622,117282,,,23036,2005-12-31
,,,,,,,,,,,,0,,8228,9150,38753,0,7061,,485,,,0,6931,3107,2192,19581,0,62,0,276,15783,,,23045,2005-12-31
,,,,,,,,,,,,294590,266909,1725689,5123,2707152,33,1113160,30272,279640,,,5737,46995,341223,494580,0,556127,147278,0,288537,711968,,,23241,2005-12-31
,,,,,,,,,,,,1576,,54263,0,77217,111,36152,5558,7177,,,0,10127,4294,26735,6201,4029,8662,0,4022,13498,,,23456,2005-12-31
,,,,,,,,,,,,4682,6740,304666,1653,541459,144,264027,0,29566,,,0,4893,19501,25364,38636,99941,63120,0,9697,239797,,,23504,2005-12-31
,,,,,,,,,,,,0,0,38162,6475,155673,1,27485,0,3418,,,22,20981,23279,26115,31247,24414,48801,0,5597,46818,,,23540,2005-12-31
,,,,,,,,,,,,0,443,99428,0,164949,6231,41912,,22400,,,0,15014,50364,51741,47994,0,3528,0,34488,9615,,,23643,2005-12-31
,,,,,,,,,,,,0,3000,87649,10746,123585,0,72994,,8137,,,0,10759,22823,24788,0,6705,6840,0,4678,33405,,,23755,2005-12-31
,,,,,,,,,,,,3830,65942,652283,40366,851339,417,589117,49,54914,,,18461,22908,78685,129389,22228,48251,33329,0,8201,427696,,,23812,2005-12-31
,,,,,,,,,,,,0,0,374780,27410,886267,1205,342332,0,29114,,,0,29435,75586,243179,378297,20953,51649,0,2519,353242,,,24006,2005-12-31
,,,,,,,,,,,,109,24053,1515766,38466,2421820,0,1277412,31506,160187,,,13350,51539,201324,232499,235671,8998,377104,0,21514,1041375,,,24266,2005-12-31
,,,,,,,,,,,,0,,41040,28704,96031,0,28877,,9753,,,0,20754,8051,4087,10952,768,0,0,4374,31171,,,24453,2005-12-31
,,,,,,,,,,,,63,,21949,1594,28506,604,10138,3790,4864,,,0,6096,2520,6227,909,0,566,35,1987,5867,,,24659,2005-12-31
,,,,,,,,,,,,7869,814,81840,3172,141414,11058,60902,,6854,,,0,22296,11686,35365,8849,2222,24714,0,8387,19746,,,24668,2005-12-31
,,,,,,,,,,,,0,,5011,1112,8872,2191,1064,2211,642,,,0,1327,831,2404,0,0,12,0,1086,1374,,,24855,2005-12-31
,,,,,,,,,,,,165,25800,444943,16673,529129,12,305515,3281,92818,,,1747,29764,103844,154996,7344,0,26888,397,38245,105433,,,24949,2005-12-31
,,,,,,,,,,,,0,,33590,768,50076,99,24446,,3908,,,0,9349,6097,8150,1495,4619,3097,0,4575,3828,,,25357,2005-12-31
,,,,,,,,,,,,0,,55462,7782,89880,0,50728,,3550,,,0,3667,35431,16287,17662,0,3187,0,1184,14146,,,25647,2005-12-31
,,,,,,,,,,,,2375,22253,303251,6078,403763,341,251865,5435,27303,,,0,22243,43904,94651,17435,8098,40115,553,11911,137402,,,25852,2005-12-31
