RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3385,RCON3386,RCON3387,RCON3465,RCON3466,RCON3484,RCON3485,RCONA514,RCONA529,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17,IDRSSD,RCON9999
,,,,,,,,,,,,0,,45656,0,83108,3179,,,3019,25199,5553,0,6776,14233,30362,7059,6909,15172,0,7595,7513,,,37,2010-12-31
,,,,,,,,,,,,0,,22464,11,33724,476,,3439,1460,7758,6959,0,4274,1927,6736,2774,0,5626,0,2849,5867,,,242,2010-12-31
,,,,,,,,,,,,0,28073,76092,1436,146794,78,,,2522,48723,18485,188,12118,27868,40728,11543,35682,12659,0,5960,17176,,,279,2010-12-31
,,,,,,,,,,,,0,,4434,464,9940,99,,764,306,1233,1233,0,0,1107,3466,4286,0,398,0,861,1945,,,354,2010-12-31
,,,,,,,,,,,,0,,30998,3845,39293,1090,,6977,5869,7650,7203,0,2027,3694,10298,142,2,175,0,2798,12458,,,457,2010-12-31
,,,,,,,,,,,,0,45500,238706,98,395341,73193,,0,16630,139608,49189,0,9403,27406,45491,5450,34559,30263,0,25058,192920,,,505,2010-12-31
,,,,,,,,,,,,10224,0,145234,0,209043,16144,,,38864,26352,59971,0,56384,29806,51618,18724,133,7337,493,7646,11960,,,1155,2010-12-31
,,,,,,,,,,,,0,0,71562,7024,150526,0,,4614,19882,12353,24810,0,9603,32911,40605,36702,0,30827,0,9900,24114,,,1351,2010-12-31
,,,,,,,,,,,,14,0,219773,0,507714,49890,,2735,25232,94879,69268,0,91802,62043,51807,136414,14593,60826,0,26422,133142,,,1454,2010-12-31
,,,,,,,,,,,,0,,32212,4028,56048,1990,,17865,1623,2499,9331,0,6516,12822,12513,3529,0,11476,0,1075,6879,,,1557,2010-12-31
,,,,,,,,,,,,0,144,83901,3604,251530,20153,,,10885,45215,11216,0,54023,30855,50585,101572,3698,18489,0,12524,42010,,,1669,2010-12-31
,,,,,,,,,,,,4571,27618,234681,0,415879,63870,,0,22227,121340,88823,24349,17524,41813,82730,14324,36848,21080,673,1430,130704,,,1829,2010-12-31
,,,,,,,,,,,,0,54000,39194,0,172410,15877,,518,26778,2144,9107,0,2521,1437,85745,20653,66233,6088,0,842,4633,,,1856,2010-12-31
,,,,,,,,,,,,4852,20190,153413,1692,206537,215,,,14590,33247,100273,0,31305,16568,57503,216,19790,20928,399,3709,44671,,,2040,2010-12-31
,,,,,,,,,,,,0,0,59027,6949,127615,8905,,,12971,31189,2696,0,27664,26515,16300,3878,20560,13663,310,8375,19767,,,2161,2010-12-31
,,,,,,,,,,,,181285,562010,1559294,0,2466140,37893,,0,21872,276951,1260026,0,17320,263971,424210,276275,449772,4434,0,444,219192,,,2376,2010-12-31
,,,,,,,,,,,,71,,5441,201,10462,3666,,1594,848,481,2115,0,1564,1451,2734,0,0,113,0,348,982,,,2554,2010-12-31
,,,,,,,,,,,,0,211,388315,0,532669,46902,,0,70807,32163,279647,0,39298,171480,70417,9128,0,55892,0,4495,89466,,,2732,2010-12-31
,,,,,,,,,,,,195,,36758,902,56022,202,,19416,2527,2745,10195,0,6790,12667,14016,5353,4446,5070,0,1831,7918,,,2750,2010-12-31
,,,,,,,,,,,,2722,3500,72650,442,155340,2074,,30334,9520,690,25365,122,48538,27400,16783,2967,51857,15335,0,5205,23002,,,3252,2010-12-31
,,,,,,,,,,,,2412,,14304,636,31043,2436,,920,2995,2024,7341,81,5826,5669,7788,5563,489,3294,0,854,3032,,,3458,2010-12-31
,,,,,,,,,,,,4109,5244,113427,0,195053,16931,,5440,11362,28243,58737,0,45467,28371,35731,19826,17135,13739,0,7677,25013,,,3720,2010-12-31
