"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH PARENT HOLDING CO	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	15169	14925	210	0	0	0	0	0	14925	0	0	34	
242	3810	3840	133	0	0	165	0	0	3840	0	0	2	
279	20159	19946	172	0	0	0	0	0	19946	0	0	41	
354	941	947	-13	0	0	0	0	0	947	0	0	7	
439	29467	29920	729	0	0	1250	0	0	29920	0	0	68	
457	2712	2713	119	0	0	120	0	0	2713	0	0	0	
505	24230	23592	624	0	0	193	0	0	23592	0	0	207	
1146	132427	39254	581	92437	0	0	0	0	39254	0	0	155	
1155	14067	13503	-199	0	1000	259	0	0	13503	0	0	22	
1351	15278	14944	617	0	0	288	0	0	14944	0	0	5	
1454	32404	32227	1534	0	0	1500	0	0	32227	0	0	143	
1557	4581	4634	101	0	0	167	0	0	4634	0	0	13	
1632	51965	49972	1804	0	0	0	0	0	49972	94	0	95	
1669	39298	38636	535	0	0	0	0	0	38636	0	0	127	
1829	39530	39324	831	0	0	541	0	0	39324	0	0	-84	
1856	16136	13109	226	0	0	1610	0	0	13109	4000	0	411	
2040	15878	16733	448	0	500	1774	0	0	16733	0	0	-29	
2161	10796	10415	352	0	0	0	0	0	10415	0	0	29	
2376	173201	126444	2634	0	44138	0	0	0	126444	0	0	-15	
2451	3391	3291	100	0	0	0	0	0	3291	0	0	0	
2554	625	680	36	0	0	103	0	0	680	0	0	12	
2732	62123	61079	1220	0	0	232	0	0	61079	0	0	56	
2750	4742	4902	6	0	0	63	0	0	4902	-113	0	10	
2938	30658	30049	1330	0	0	905	0	0	30049	75	0	109	
3252	12972	13052	675	0	-880	0	0	0	13052	0	0	125	
3458	2744	2691	60	0	0	0	0	-17	2674	0	0	10	
3720	21330	20720	591	0	0	120	0	0	20720	0	0	139	
3953	6884	6551	533	0	0	200	0	0	6551	0	0	0	
4138	17180	16934	338	0	0	173	0	0	16934	0	0	81	
4156	16150	15700	787	0	0	397	0	0	15700	0	0	60	
4231	12882	12466	266	0	0	0	0	0	12466	0	0	150	
4437	21169	20597	668	0	0	145	0	0	20597	0	0	49	
4839	21642	21006	626	0	0	207	0	0	21006	0	0	217	
5005	37947	37074	573	0	0	0	0	0	37074	0	0	300	
5069	88730	79490	9769	0	0	540	0	0	79490	0	0	11	
5135	30167	29174	976	0	0	0	0	0	29174	0	0	17	
5210	67984	66817	1474	0	0	1141	0	0	66817	0	0	834	
5331	26384	25643	380	0	0	52	0	0	25643	0	0	413	
5461	34578	33460	1728	0	0	950	0	0	33460	0	0	340	
5751	21323	21383	222	0	0	300	0	0	21383	0	0	18	
6039	9637	9364	266	0	0	0	0	0	9364	0	0	7	
6057	1491	1499	-12	0	0	0	0	0	1499	0	0	4	
6141	4223	4143	80	0	0	0	0	0	4143	0	0	0	
6329	31144	29825	1295	0	0	0	0	0	29825	0	0	24	
6972	96871	94848	3219	0	0	1250	0	0	94848	0	0	54	
7009	55729	54584	3514	0	4	2000	0	0	54584	0	0	-373	
7045	11810	11556	218	0	0	0	0	0	11556	0	0	36	
7157	3959	3921	54	0	0	24	0	0	3921	0	0	8	
7456	3748	3950	89	0	0	367	0	0	3950	0	0	76	
7634	5336	5415	126	0	0	220	0	0	5415	0	0	15	
8033	9447	9005	442	0	0	0	0	0	9005	0	0	0	
8462	10338	9824	455	0	0	0	0	0	9824	0	0	59	
8631	6280	6196	119	0	0	40	0	0	6196	0	0	5	
9357	59093	63260	1988	0	0	6165	0	0	63260	0	0	10	
9553	7109	6916	200	0	0	12	0	0	6916	0	0	5	
9807	261190	239542	21927	0	0	0	0	0	239542	0	0	-279	
9955	9779	9622	293	0	0	190	0	0	9622	0	0	54	
10157	5194	5106	142	0	0	95	0	0	5106	0	0	41	
10250	30593	30767	971	0	0	1253	0	0	30767	0	0	108	
10849	26917	26480	670	0	0	70	0	0	26480	0	0	-163	
10858	34200	33149	1051	0	0	0	0	0	33149	0	0	0	
11145	15109	14724	369	0	0	0	0	0	14724	0	0	16	
11640	22266	21455	816	0	0	0	0	0	21455	0	0	-5	
11837	9929	10160	366	0	0	650	0	0	10160	0	0	53	
12030	27124	25851	1561	0	0	300	0	0	25851	0	0	12	
12058	10177	10065	88	0	0	0	0	0	10065	0	0	24	
12142	19768	19469	193	0	0	0	0	0	19469	0	0	106	
12245	11597	11561	119	0	0	101	0	0	11561	0	0	18	
12311	2148802	2067469	83324	0	2305	0	0	0	2067469	0	0	-4296	
12647	7632	7425	217	0	0	10	0	0	7425	0	0	0	
12656	1016	999	17	0	0	0	0	0	999	0	0	0	
12937	28031	15177	12993	0	0	150	0	0	15177	0	0	11	
12946	50562	48242	1959	0	0	0	0	0	48242	0	0	361	
12955	10945	10765	363	0	0	190	0	0	10765	0	0	7	
