"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIREMT DEP ACCTS $250,000 OR L	NMBR RETIREMT DEP ACCTS $250,000 OR 	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIREMT DEP ACCTS MOR THAN $250	AMT OF DEPOSIT ACCOUNTS $100,000 OR 	NBR OF OTH DEP ACCTS OF $100,000 OR 	AMT OF OTH DEP ACCTS MORE THAN $100,	NBR OF DEP ACCTS OF MOR THN $100,000	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	PB/PSA FDIC CERTIFICATE NUMBER	
37							19	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3874		0	0	46687		13405	74						
242							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1393		0	0	18949		4625	29						
279							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9712		416	1	59500		14002	104						
354							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	5939		600	5						
439																															0	8030		962	3	97366		62021	243	169594	0				
457							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	696		0	0	17914		5046	27						
505							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7246		581	1	148004		113293	431						
1146							0	0	0	1088		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	11762		1080	4	251365		175108	887						
1155																															0	10814		340	1	81800		45274	158	138806	0	137282	0		
