"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37											160					0	0	0	0	
242											153					2812	0	0	212	
279											1475					27104	0	0	0	
354											0					0	0	0	0	
439											338					0	0	0	0	
457											124					0	0	0	0	
505											2080					23000	0	0	0	
1146											1595					22276	0	0	15499	
1155											759					8400	0	0	22898	
1351											0					0	0	0	0	
1454											1096					0	5	0	0	
1557											136					2106	0	0	0	
1632											1187					3000	0	0	6139	
1669											426					367	0	0	0	
1829											2065					21397	2103	0	1219	
1856											4620					83000	0	0	0	
2040											1194					21909	0	0	1139	
2161											259					0	0	0	0	
2376											11754					237879	8429	0	0	
2451											736					9122	0	0	0	
2554											0					0	0	0	0	
2732											181					260	0	0	0	
2750											477					6400	0	0	0	
2938											1146					10000	0	0	3527	
3252											302					2464	0	0	0	
3458											177					0	0	0	3445	
3720											565					4582	0	0	3943	
3953											979					392	4	0	0	
4138											940					2368	0	0	0	
4156											1660					31500	0	0	0	
4231											0					0	0	0	0	
4437											886					9104	0	0	2891	
4839											1595					24986	0	0	16747	
5005											3256					44874	17210	0	0	
5069											0					0	0	0	0	
5135											934					8000	0	0	0	
5210											10352					155475	0	0	32028	
5331											3686					18825	0	0	68000	
5461											0					28561	619	0	0	
5751											265					0	0	0	0	
6039											424					0	51	0	0	
6057											186					500	0	0	0	
6141											150					0	0	0	0	
6329											892					0	0	0	0	
6972											718					26000	0	0	15344	
7009											0					0	47646	0	0	
7045											0					0	0	0	0	
