"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
37	5830	0	2890	6974	0	14643	0	0	0	0	0	0	49323	0	880	13095		28072	2326	3874	13246	6115	0	0	2721	10525	9770	5056	1096	5020	6077	902	11753	48443	0	0	360	
242	2795	0	499	4130	0	7982	0	0	0	0	0	0	16985	0	1775	3025		8002	3163	1232	6049	2671	0	0	2735	3314	1635	318	1590	1081	100	254	7483	15210	0	0	161	
279	9681	0	0	5322	0	15511	0	0	0	0	0	0	68118	0	0	19766		37669	1003	10128	26511	12009	0	0	7074	19438	8953	2205	3472	8537	5548	2210	15511	68118	0	0	2804	
354	1004	0	85	1343	0	1343	0	0	0	0	0	0	5197	0	1655	600		2490	1103	0	2490	600	0	0	588	1902	0	0	400	200	0	0	1258	3542	0	0	0	
439	15525	0	4563	42352	0	59211	0	0	0	0	0	0	109168	0	7854	30280		45153	18210	8992	42643	28731	0	0	13684	28959	2502	8	9992	18739	1549	0	54648	101314	0	0	2316	
457	2915	0	344	2677	0	4759	0	0	99	791	890	0	18897	0	1409	2665		9523	3794	678	7676	2165	99	791	1734	5942	1743	104	1642	523	500	0	4415	17389	0	99	0	
505	110281	5	3727	13907	0	22519	0	0	0	0	0	0	246605	0	49394	33871		59698	42755	7827	54321	31040	0	0	29123	25198	3804	1573	17256	13784	1318	1513	18787	197211	0	0	1128	
1146	123991	0	845	76925	0	124357	0	0	0	0	0	0	314958	0	7333	69665		101006	20296	12842	95328	65937	0	0	28267	67062	5403	274	17117	48924	3624	0	123071	297551	441	10074	101	
1155	353	2	1003	17031	0	49388	0	0	0	0	0	0	88840	0	17333	30525		47618	10344	11157	30502	23385	0	0	18939	18411	5737	4531	10541	16676	1542	1766	48355	71507	28	0	3678	
1351	3460	2	6869	10476	0	21761	0	0	0	0	0	0	72710	0	2503	15266		34877	19107	5870	25714	8812	0	0	8595	17119	9163	0	3150	5662	6454	0	14890	70207	0	0	1840	
1454	1388	178	5238	97261	0	166272	0	0	0	0	0	0	216602	9	16049	38211		53074	123929	16150	36049	17081	0	0	21505	18425	9513	3631	21504	11331	3475	1901	160827	200544	29	0	2668	
1557	2481	1	1189	4480	0	7830	0	0	0	0	0	0	20597	0	3459	4900		11516	1700	1894	7874	4333	0	0	2870	5004	3124	518	3194	1139	264	303	6640	17088	0	50	127	
1632	8107	40	484	42471	0	51229	0	0	9647	0	9647	0	477472	0	15010	127925		119045	222395	26561	112664	117748	9647	0	13840	98824	5654	727	20564	97184	9848	329	50705	462462	0	0	13074	
1669	12351	4	11058	37331	0	75420	0	0	0	0	0	0	107901	0	2867	26095		57087	12367	10655	45707	21338	0	0	17539	29565	7107	2876	7873	13465	3856	901	64280	105034	78	0	0	
1829	44672	10	183	59747	0	78327	0	0	0	0	0	0	226665	0	11575	47722		101771	32500	24060	69923	34973	0	0	17340	52583	24798	7050	8753	26220	9102	3647	78134	215090	0	0	0	
1856	411	0	1160	3610	0	5438	0	0	15669	0	15669	0	59029	0	21813	38455		18530	1632	3	9481	23905	7193	0	6881	2600	7672	1377	21663	2242	100	14450	4278	23216	0	14000	0	
2040	13416	5	9818	9850	0	33197	0	0	19629	0	19629	0	103188	0	2534	15982		52438	21352	9494	24882	8799	3775	0	7465	17417	22803	4754	3493	9081	3408	0	23374	100654	0	0	2080	
2161	14374	0	3285	16644	0	38572	0	0	0	0	0	0	54396	0	9759	21101		15949	2972	6872	14640	19659	0	0	4855	9785	1038	271	5333	14326	1276	166	35287	44637	0	0	271	
2376	228132	0	85	13060	0	22846	0	0	0	0	0	0	691676	0	318	98811		330080	34653	46731	299813	91372	0	0	114725	185088	26910	3357	35496	55877	6636	802	22761	691358	0	0	7838	
2451	1345	0	398	1861	0	3482	0	0	198	7741	7939	0	21367	0	1568	11395		5209	3418	512	4063	10585	99	7741	1396	2667	930	216	4193	6392	310	500	3084	19702	0	97	0	
2554	458	0	162	20	0	3442	0	0	0	0	0	0	3281	0	717	610		2213	0	0	1831	210	0	0	401	1430	317	66	210	400	0	0	3280	2564	0	0	0	
2732	32856	2	3105	82734	0	117302	0	0	0	6077	6077	0	320664	0	40674	169039		58755	60014	9726	37428	156931	0	6077	28192	23048	3264	4251	112008	48972	2198	5861	114195	279990	0	0	1622	
2750	6913	0	853	2065	0	7336	0	0	1592	300	1892	0	31341	0	4035	7293		16202	935	1796	14294	6706	1592	200	4037	10568	1390	207	2399	4413	481	0	6483	25153	0	2153	234	
2938	10250	28	4171	46868	0	54000	0	0	0	64726	64726	0	266714	0	24601	29020		104838	122605	6652	90911	25667	0	49918	36022	54889	13073	854	8303	17365	3028	324	49568	235279	233	6834	1789	
3252	9443	7	543	11819	0	37983	0	0	0	0	0	0	47477	0	3936	14779		18078	5177	5140	14454	13214	0	0	4035	10419	3224	399	7436	5778	1565	0	37433	43541	0	0	0	
3458	1191	0	2604	1983	0	7141	0	0	0	0	0	0	13458	0	2164	4215		6632	1420	449	5538	3092	0	0	2097	3441	1003	91	875	2217	1023	100	4537	11294	0	0	0	
3720	25338	0	2288	19019	0	58164	0	0	1761	0	1761	0	81345	0	2485	21414		29772	4821	4567	23477	21414	1761	0	6298	20179	3260	35	8034	13380	0	0	55876	78860	0	0	1051	
3953	4955	43	1373	23847	0	32077	0	0	0	0	0	0	61026	0	4527	8055		14683	33332	351	12578	6764	0	0	5908	6670	2079	25	2684	4080	1291	0	30661	56499	0	0	351	
4138	23936	26	5581	24071	0	41175	0	0	0	0	0	0	130049	0	3778	32400		51189	22524	10334	46704	28438	0	0	14790	31914	3802	683	9060	19378	3255	707	35568	126271	0	0	2932	
4156	7104	0	6625	15544	0	32683	0	0	0	0	0	0	95528	0	15448	29285		37560	21579	6068	29580	23622	0	0	7174	22406	5483	2497	11251	15081	1444	1509	26058	80080	0	0	384	
4231	9155	15	8020	14975	0	27330	0	0	0	0	8254	0	83091	0	6188	40645		26204	7086	13656	20278	25231	0	4081	5851	14427	3438	2488	14326	11005	8923	6391	19295	76903	0	0	8392	
4437	71324	9	709	22814	0	41488	0	0	3587	0	3587	0	145469	0	6896	30588		43558	0	7519	36208	25932	3230	0	16826	22596	3715	421	6845	19533	3394	816	40770	138077	0	496	0	
