"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH PARENT HOLDING CO	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	13355	13180	175	0	0	0	0	0	13180	0	0	0	
242	3672	3732	110	0	0	198	0	0	3732	0	0	28	
279	18215	17812	270	0	0	0	0	0	17812	0	0	133	
354	1152	1134	4	0	0	0	0	0	1134	0	0	14	
439	19101	18454	505	0	0	0	0	0	18454	0	0	142	
457	2685	2523	162	0	0	0	0	0	2523	0	0	0	
505	24378	23783	237	0	0	234	0	0	23783	0	0	592	
1146	31409	30826	892	0	0	376	0	0	30826	0	0	67	
1155	11083	10916	444	0	0	424	0	0	10916	0	0	147	
1351	13581	13622	112	0	0	183	0	0	13622	0	0	30	
1454	30177	29371	956	0	0	1131	0	0	29371	0	0	981	
1557	5801	5874	85	0	0	182	0	0	5874	0	0	24	
1632	20957	20962	839	0	0	826	0	0	20962	0	0	-18	
1669	39761	38566	941	0	0	0	0	0	38566	0	0	254	
1829	40800	39600	1164	0	0	459	0	0	39600	0	0	495	
1856	12801	6158	1451	0	0	0	0	0	6158	4000	0	1192	
2040	15243	14561	525	0	0	0	0	0	14561	0	0	157	
2161	9305	8946	319	0	0	0	0	0	8946	0	0	40	
2376	112383	109710	2570	0	0	0	0	0	109710	0	0	103	
2451	2155	1262	46	847	0	0	0	0	1262	0	0	0	
2554	703	719	31	0	0	110	0	0	719	0	0	63	
2732	54271	53337	969	0	0	278	0	0	53337	0	0	243	
2750	4780	4710	66	0	0	77	0	0	4710	0	0	81	
2938	23255	22445	894	0	0	150	0	0	22445	0	0	66	
2956	13504	12946	156	0	0	0	0	0	12946	0	0	402	
3252	11292	10918	321	0	0	0	0	0	10918	0	0	53	
3458	2360	2323	57	0	0	0	0	-30	2293	0	0	10	
3506	144359	145889	4064	0	0	6709	0	0	145889	0	0	1115	
3579	33526	32227	1035	0	0	200	0	0	32227	44	0	420	
3720	17554	16879	576	0	0	120	0	0	16879	0	0	219	
3953	6236	5983	353	0	0	100	0	0	5983	0	0	0	
4138	17087	16417	490	0	0	172	0	0	16417	0	0	352	
4147	13293	13014	154	0	0	0	0	0	13014	0	0	125	
4156	14475	13977	415	0	0	315	0	0	13977	0	0	398	
4231	12169	11296	318	0	0	0	0	0	11296	0	0	555	
4437	15545	12433	436	0	2750	131	0	0	12433	0	0	57	
4745	1070	1079	-9	0	0	0	0	0	1079	0	0	0	
4839	18483	18065	755	0	0	543	0	0	18065	0	0	206	
5005	32451	31272	819	0	0	0	0	0	31272	0	0	360	
5050	7969	7588	361	0	0	458	0	0	7588	0	0	478	
5069	59303	55022	4733	0	0	0	0	0	55022	0	0	-452	
5135	23116	22546	400	0	0	0	0	0	22546	0	0	170	
5210	67340	66568	2093	0	0	1142	0	0	66568	0	0	-179	
5247	78349	76013	2875	0	0	798	0	0	76013	0	0	259	
5274	11031	10803	166	0	0	0	0	0	10803	1	0	61	
5331	24121	21911	982	0	0	51	0	0	21911	0	0	1279	
5461	25208	21986	1378	0	0	85	0	0	21986	0	0	1929	
5751	22671	21913	546	0	0	270	0	0	21913	0	0	482	
5939	231629	224475	2133	0	211	0	0	0	224475	0	0	4810	
6039	7933	7672	204	0	0	0	0	0	7672	0	0	57	
6057	1354	1331	14	0	0	0	0	0	1331	0	0	9	
6141	3608	3548	60	0	0	0	0	0	3548	0	0	0	
6329	22095	20986	1014	0	0	300	0	0	20986	0	0	395	
6972	93429	92690	1305	0	0	750	0	0	92690	0	0	184	
7009	52682	51907	2599	0	3	1850	0	0	51907	0	0	23	
7045	10500	10110	236	0	0	0	0	0	10110	0	0	154	
7157	3897	3822	56	0	0	24	0	0	3822	0	0	43	
7166	41512	39096	2194	0	0	0	0	0	39096	0	0	222	
7456	4110	3959	64	0	0	0	0	0	3959	0	0	87	
7634	4945	4953	86	0	0	195	0	0	4953	0	0	101	
8033	6952	6754	224	0	0	0	0	0	6754	0	0	-26	
8417	185539	183035	2505	0	0	0	0	0	183035	0	0	-1	
8462	8881	8301	362	0	0	0	0	0	8301	0	0	218	
8547	35590	34917	509	0	0	0	0	0	34917	0	0	164	
8631	6237	6155	99	0	0	60	0	0	6155	0	0	43	
9115	188688	165509	14230	0	0	0	0	0	165509	0	0	8949	
9357	42929	41358	1555	0	0	0	0	0	41358	0	0	16	
9553	6293	6125	183	0	0	12	0	0	6125	0	0	-3	
9807	205540	187281	16911	0	0	1000	0	0	187281	0	0	2348	
9955	10064	9419	419	0	0	205	0	0	9419	0	0	431	
10157	5618	5679	-68	0	0	0	0	0	5679	0	0	7	
10250	21771	20806	1021	0	0	627	0	0	20806	0	0	571	
10849	21621	21128	595	0	0	100	0	0	21128	0	0	-2	
10858	30922	30718	704	0	0	500	0	0	30718	0	0	0	
11145	12319	11898	369	0	0	0	0	0	11898	0	0	52	
11640	19508	18270	895	0	0	0	0	0	18270	0	0	343	
11837	8080	8447	332	0	0	625	0	-96	8351	0	0	22	
12030	19800	19247	744	0	0	200	0	0	19247	0	0	9	
12058	9334	9120	165	0	0	0	0	0	9120	0	0	49	
12142	21713	20962	399	0	0	0	0	0	20962	0	0	352	
12245	11526	11230	260	0	0	163	0	0	11230	0	0	199	
12311	1565794	1520600	97741	0	0	75000	0	0	1520600	0	0	22453	
12357	3586	3588	-2	0	0	0	0	0	3588	0	0	0	
