"IDRSSD"	RCFD3561	RCFD3562	RCFD7701	RCFD7702	RCON3561	RCON3562	RCON7701	RCON7702	
	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	
21359					0	0	0.0000	0.0000	
21630					2	20	0.0400	0.0425	
21658					0	0	0.0000	0.0000	
22048					1	160	0.0537	0.0537	
22235					0	0	0.0000	0.0000	
22356					2	517	0.0375	0.0400	
22459					0	0	0.0000	0.0000	
22543					1	123	0.0400	0.0400	
22552					0	0	0.0000	0.0000	
22730					0	0	0.0000	0.0000	
22936					0	0	0.0000	0.0000	
22954					2	5	0.0575	0.0600	
23036					0	0	0.0000	0.0000	
23045					1	15	0.0300	0.0300	
23241					0	0	0	0	
23456					3	34	0.0680	0.0990	
23504					0	0	0.0000	0.0000	
23540					0	0	0.0000	0.0000	
23643					1	5	0.0700	0.0700	
23755					2	120	0.0400	0.0450	
23812					0	0	0.0000	0.0000	
24006					0	0	0.0000	0.0000	
24266					0	0	0.0000	0.0000	
24453					0	0	0.0000	0.0000	
24659					0	0	0.0000	0.0000	
24668					1	5	0.0900	0.0900	
24855					0	0	0.0000	0.0000	
24949					0	0	0.0000	0.0000	
25357					1	2	0.0324	0.0324	
25647					0	0	0.0000	0.0000	
25852					0	0	0.0000	0.0000	
26149					0	0	0.0000	0.0000	
26233					0	0	0.0000	0.0000	
26242					4	164	0.0500	0.0550	
26457					0	0	0.0000	0.0000	
26756					0	0	0.0000	0.0000	
26765					4	12	0.0400	0.0400	
26859					0	0	0.0000	0.0000	
26916					0	0	0.0000	0.0000	
27548					1	19	0.0374	0.0374	
27614					0	0	0.0000	0.0000	
27838					0	0	0.0000	0.0000	
27847					0	0	0.0000	0.0000	
28013					0	0	0.0000	0.0000	
28152					0	0	0.0000	0.0000	
28255					2	63	0.0300	0.0650	
28349					0	0	0.0000	0.0000	
28406					0	0	0.0000	0.0000	
28572					0	0	0.0000	0.0000	
28732					0	0	0.0000	0.0000	
29104					0	0	0.0000	0.0000	
29159					0	0	0.0000	0.0000	
29252					0	0	0.0000	0.0000	
29636					1	18	0.0065	0.0065	
29850					2	107	0.0600	0.0800	
29944					0	0	0.0000	0.0000	
29953					0	0	0.0000	0.0000	
30025					0	0	0.0000	0.0000	
30052					0	0	0.0000	0.0000	
30146					0	0	0.0000	0.0000	
30155					0	0	0.0000	0.0000	
30258					0	0	0.0000	0.0000	
30418					0	0	0.0000	0.0000	
30502					2	137	0.0400	0.0550	
30650					0	0	0.0000	0.0000	
30810					0	0	0.0000	0.0000	
30856					0	0	0.0000	0.0000	
31134					0	0	0.0000	0.0000	
31152					0	0	0.0000	0.0000	
31255					0	0	0.0000	0.0000	
31303					1	315	0.0450	0.0450	
31657					2	62	0.0475	0.0700	
31826					0	0	0.0000	0.0000	
31835					1	5	0.0500	0.0500	
32159					0	0	0.0000	0.0000	
32234					1	29	0.0700	0.0700	
32766					0	0	0.0000	0.0000	
33147					0	0	0.0000	0.0000	
33259					0	0	0.0000	0.0000	
33268					0	0	0.0000	0.0000	
33549					0	0	0.0000	0.0000	
33727					0	0	0.0000	0.0000	
33754					0	0	0.0000	0.0000	
33772					1	75	0.0600	0.0600	
33839					0	0	0.0000	0.0000	
33857					0	0	0.0000	0.0000	
34153					0	0	0.0000	0.0000	
34359					0	0	0.0000	0.0000	
34425					1	10	0.0450	0.0450	
34434					3	50	0.0600	0.0600	
34452					1	20	0.0575	0.0575	
34537					0	0	0.0000	0.0000	
34555					0	0	0.0000	0.0000	
34742					0	0	0.0000	0.0000	
34836					0	0	0.0000	0.0000	
34863					0	0	0.0000	0.0000	
35057					0	0	0.0000	0.0000	
35244					0	0	0.0000	0.0000	
35301	0	0	0.0000	0.0000					
35570					0	0	0.0000	0.0000	
35646					0	0	0.0000	0.0000	
35842					2	21	0.0600	0.0700	
35936					0	0	0.0000	0.0000	
36054					2	225	0.0563	0.0675	
36344					0	0	0.0000	0.0000	
36456					5	263	0.0500	0.0600	
36858					0	0	0.0000	0.0000	
36933					0	0	0.0000	0.0000	
37051					0	0	0.0000	0.0000	
37341					0	0	0.0000	0.0000	
37350					0	0	0.0000	0.0000	
37378					0	0	0.0000	0.0000	
37435					0	0	0.0000	0.0000	
37640					1	39	0.0300	0.0300	
37659					2	15	0.0360	0.0500	
37743					0	0	0.0000	0.0000	
37949					0	0	0.0000	0.0000	
38478					0	0	0.0000	0.0000	
38526					0	0	0.0000	0.0000	
38535					0	0	0.0000	0.0000	
38740					1	7	0.1075	0.1075	
39327					0	0	0.0000	0.0000	
39420					2	10	0.1400	0.1400	
39475					1	188	0.0600	0.0600	
39756					0	0	0.0000	0.0000	
39934					0	0	0.0000	0.0000	
40033					1	96	0.0600	0.0600	
40305					0	0	0.0000	0.0000	
40350					0	0	0.0000	0.0000	
40707					0	0	0.0000	0.0000	
40855					0	0	0.0000	0.0000	
41245					0	0	0.0000	0.0000	
41553					1	6	0.0900	0.0900	
41629					0	0	0.0000	0.0000	
