"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
37	8564	0	2572	6622	0	13795	0	0	0	0	0	0	53761	0	580	12350		30070	2777	4038	11878	4210	0	0	2931	8947	6356	11835	1358	2852	1175	6964	11223	53181	0	0	
242	3073	0	1091	2994	0	7366	0	0	0	0	0	0	14925	0	1099	2523		7799	1530	1022	5431	2222	0	0	1857	3574	1522	846	320	1902	100	201	6275	13826	0	0	
279	9430	0	0	2284	0	10760	0	0	0	0	0	0	68475	0	0	18743		37894	2408	9018	26605	9664	0	0	8525	18080	9728	1560	3028	6636	7583	1495	10760	68475	0	0	
354	1084	0	99	1354	0	1354	0	0	0	0	0	0	6614	0	1917	1000		3262	1268	0	3252	1000	0	0	783	2469	10	0	800	200	0	0	1255	4697	0	0	
439	16502	5	5252	34505	0	51761	0	0	0	4649	4649	0	94509	0	5474	28128		41903	7976	9065	39799	26363	0	1036	11366	28433	2054	50	6808	19555	1765	0	46504	89035	0	0	
457	2828	0	230	2596	0	4484	0	0	396	100	496	0	17375	0	1466	2362		8795	3390	711	6889	2062	396	100	1987	4902	1835	71	1253	809	300	0	4254	15413	0	496	
505	71555	13	10787	38842	0	69175	0	0	0	0	0	0	175433	0	32906	21273		45257	37348	6898	34162	14652	0	0	13109	21053	10055	1040	7294	7358	4893	1728	58375	142227	0	300	
1146	68077	0	479	56672	0	103042	0	0	0	0	0	0	198184	0	9558	37859		51895	40353	9793	45106	27345	0	0	17628	27545	3869	2853	15606	11739	9645	869	102141	188228	422	398	
1155	493	3	523	9839	0	41599	0	0	0	0	0	0	72001	0	11212	17128		41734	12646	8829	29353	13068	0	0	16950	12418	7248	5118	8603	4465	627	3433	41062	60789	11	0	
1351	3555	4	5120	9367	0	19298	0	0	0	0	0	0	66223	0	3209	12546		36407	13715	5044	29221	9320	0	0	10260	18961	7186	0	3789	5531	3226	0	14174	63014	0	0	
1454	1963	135	2420	86364	0	124878	0	0	0	0	0	0	177421	5	10884	32440		45413	97605	13640	31810	11273	0	0	17889	16330	8864	2330	23670	5249	1565	1956	122014	166532	309	0	
1557	2220	0	771	3991	0	6863	0	0	0	0	0	0	20338	0	1971	3037		12803	2278	2045	9022	2367	0	0	2842	6180	3317	464	1245	1122	443	227	6092	18317	0	50	
1632	69489	17	36850	27589	0	37492	0	0	0	18000	18000	0	168095	0	651	45635		33937	19034	9424	26064	24976	0	5000	7002	19866	6154	915	5068	20763	17906	1898	543	167299	82	145	
1669	14332	14	10579	33630	0	70849	0	0	0	0	0	0	114881	0	567	21705		63011	15831	10993	45635	15421	0	0	17855	29027	6864	9265	3394	12027	3252	3032	60121	114203	135	111	
1829	35373	8	106	53794	0	68247	0	0	0	0	0	0	193265	0	17679	36838		76599	44455	18342	40593	23455	0	0	11048	29545	26302	9704	12552	10903	6866	6517	67779	175586	354	0	
1856	477	0	586	1777	0	3308	0	0	0	24023	24023	0	49451	0	20304	44860		2330	1784	8	2199	25637	0	5000	813	1386	98	33	20337	5300	13149	6074	2722	29048	0	99	
2040	7262	12	1038	8545	0	25040	0	0	0	0	12259	0	88031	0	5159	22526		30931	27312	9584	21002	11304	0	2500	6155	14847	8441	1488	2320	8984	6188	5034	23990	82654	0	218	
2161	12272	0	4778	15783	0	37066	0	0	0	0	0	0	59693	0	14736	25906		16516	4999	6333	13649	20655	0	0	4097	9552	2210	656	10928	9727	4868	383	32288	44957	0	0	
2376	192666	0	108	28599	0	68744	0	0	0	0	0	0	658523	0	148	64699		335317	65841	49448	259610	47931	0	0	98591	161094	61945	13687	19116	28816	12837	3930	68636	658375	0	0	
2451	2023	0	636	1737	0	4196	0	0	0	0	0	0	12702	0	1610	3089		5382	2208	616	3462	1582	0	0	1113	2349	1655	265	729	853	850	657	3560	10991	0	101	
2554	546	0	202	1463	0	3059	0	0	0	0	0	0	3430	0	736	507		2377	0	0	1902	407	0	0	358	1544	404	70	207	200	0	100	2857	2694	0	0	
2732	40679	7	6802	78124	0	106883	0	0	0	0	0	0	265868	0	36579	96022		69589	59578	11497	62498	91563	0	0	39269	24242	5008	1070	71628	19935	3804	655	100074	229289	0	0	
2750	2709	0	608	1903	0	5969	0	0	594	305	899	0	29287	0	3532	8170		15833	2575	1555	11529	6202	495	100	3954	7923	3465	491	2266	3937	1862	105	5361	24381	0	1374	
2938	12702	0	7561	56865	0	61521	0	0	0	0	30000	0	155626	0	21541	41605		20396	80923	5298	16924	9262	0	30000	7066	9858	2736	736	3883	5379	21689	10654	53207	133985	753	100	
2956	5569	55	552	8724	0	21678	0	0	0	0	0	0	81209	0	9318	14295		42593	18752	5799	30999	12675	0	0	8598	22401	7283	4311	5108	7567	1018	602	21071	71891	0	0	
3252	9762	4	407	13447	0	29290	0	0	0	0	0	0	53459	0	4060	15479		18633	9586	4698	14313	14755	0	0	3829	10484	3644	676	11585	3170	623	100	28879	49399	0	0	
3458	1195	3	1457	2274	0	6750	0	0	0	0	0	0	13991	0	4186	4408		6579	1809	405	4962	4032	0	0	1261	3701	1147	470	1344	2688	376	0	5290	9805	0	0	
3506	117120	68	4908	133569	0	206571	0	0	0	0	0	0	960446	0	53312	15917		260430	566979	35564	238765	2000	0	0	69029	169736	19131	2534	7611	6670	1527	109	175810	907134	25785	0	
