"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	27	0	0	0		0	0	0		53040	14516	82	0	0	0	0		0		0	0	6000	0	0	0	0	0	0	0	0	0	0		
242	0			0		0	0	0		13620	8671	40	0			0		0		0	0	1350	0	0	0	0	0	0	0	0	0			
279	0	0	0	0		0	0	0		62214	17021	115	0	0	0	0		0		0	0	10170	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6962	1006	5	0	0	0	0		0		0	0	506	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		96673	49597	199	0	0	0	0		0		0	0	25048	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		17441	4418	25	0	0	0	0		0		0	0	1904	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		146595	98013	351	0	0	0	0		0		0	0	73783	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	758		0	0	10		165995	135231	594	0	0	0	0		0		0	0	76237	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		81569	32031	142	0	0	0	0		0		0	0	10717	0	0	0	0	0	0	0	0	0	0		
