RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2006-12-31,Y,SPARTA,GA,31087,37
,2006-12-31,"First Community  Bank, Xenia-Flora",Xenia,IL,62899,242
,2006-12-31,MINEOLA COMMUNITY BANK S. S. B.,MINEOLA,TX,75773,279
,2006-12-31,Bison State Bank,Bison,KS,675200328,354
,2006-12-31,PEOPLES BANK,BLACKSHEAR,GA,31516,439
,2006-12-31,LOWRY STATE BANK,LOWRY,MN,563490123,457
,2006-12-31,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,NY,12020,505
,2006-12-31,Pulaski Bank & Trust Company,Little Rock,AR,72201,1146
,2006-12-31,FIRST STATE BANK & TRUST COMPANY,FREMONT,NE,680260549,1155
,2006-12-31,,,,,1351
,2006-12-31,Hilltop National Bank,Casper,WY,82602,1454
,2006-12-31,,,,,1557
,2006-12-31,Sea Island Bank,Stateboro,GA,30458,1632
,2006-12-31,The Liberty National Bank in Paris,Paris,TX,754610919,1669
,2006-12-31,Allegheny Valley Bank of Pittsburgh,Pittsburgh,PA,15201,1829
,2006-12-31,Washita State Bank,Burns Flat,OK,73624,1856
,2006-12-31,Farmers and Merchants Bank,Tomah,WI,54660,2040
,2006-12-31,LAMAR NATIONAL BANK,PARIS,TX,75460,2161
,2006-12-31,Oritani Savings Bank,Washington Township,NJ,7676,2376
,2006-12-31,Thunder Bank,Sylvan Grove,KS,67481,2451
,2006-12-31,STATE BANK OF MARIETTA,MARIETTA,MN,56257,2554
,2006-12-31,"Albany Bank & Trust Co., N.A.",Chicago,IL,60625,2732
,2006-12-31,GENOA NATIONAL BANK,GENOA,NE,68640,2750
,2006-12-31,Security Bank and Trust Company of Albany,Albany,GA,31701,2938
,2006-12-31,FIRST NATIONAL BANK OF GORDON,GORDON,NE,69343,3252
,2006-12-31,Farmers Bank of Green City,Green City,MO,63545,3458
,2006-12-31,Interchange Bank,Saddle Brook,NJ,7663,3506
,2006-12-31,Bank of Clarendon,Manning,SC,29102,3720
,2006-12-31,First Capital Bank,Guthrie,OK,730440520,3953
,2006-12-31,First National Bank of LaFollette,LaFollette,TN,37766,4138
,2006-12-31,KANZA Bank,Kingman,KS,67068,4156
,2006-12-31,FARMERS AND MERCHANTS BANK,SYLVANIA,GA,30467,4231
,2006-12-31,First National Bank,Ronceverte,WV,24970,4437
,2006-12-31,Austin Bank of Chicago,Chicago,IL,606441997,4839
,2006-12-31,STONEHAM SAVINGS BANK,STONEHAM,MA,2180,5005
,2006-12-31,First Credit Bank,West Hollywood,CA,90069,5069
,2006-12-31,First State Bank of Blakely,Blakely,GA,39823,5135
,2006-12-31,Adams County National Bank,Gettysburg,PA,173250000,5210
,2006-12-31,Hyde Park Bank and Trust Company,Chicago,IL,60615,5331
