RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2013-06-30,Bank of Hancock County,Sparta,GA,31087,37
,2013-06-30,"First Community  Bank, Xenia-Flora",Xenia,IL,62899,242
,2013-06-30,MINEOLA COMMUNITY BANK S. S. B.,MINEOLA,TX,75773,279
,2013-06-30,Bison State Bank,Bison,KS,675200328,354
,2013-06-30,LOWRY STATE BANK,LOWRY,MN,56349,457
,2013-06-30,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,NY,12020,505
,2013-06-30,FIRST STATE BANK & TRUST COMPANY,FREMONT,NE,680260549,1155
,2013-06-30,Bank of Grandin,Grandin,MO,63935,1351
,2013-06-30,Hilltop National Bank,Casper,WY,82602,1454
,2013-06-30,The First State Bank,Kiowa,KS,67070,1557
,2013-06-30,Liberty National Bank,Paris,TX,754610919,1669
,2013-06-30,Allegheny Valley Bank of Pittsburgh,Pittsburgh,PA,15201,1829
,2013-06-30,Washita State Bank,Burns Flat,OK,73624,1856
,2013-06-30,Farmers and Merchants Bank,Tomah,WI,54660,2040
,2013-06-30,LAMAR NATIONAL BANK,PARIS,TX,75460,2161
,2013-06-30,Oritani Bank,Twp of Washington,NJ,76761329,2376
,2013-06-30,STATE BANK OF MARIETTA,MARIETTA,MN,56257,2554
,2013-06-30,Albany Bank and Trust Co NA,Chicago,IL,60625,2732
,2013-06-30,GENOA COMMUNITY BANK,GENOA,NE,68640,2750
,2013-06-30,Ocean City Home Bank,Ocean City,NJ,08226,3177
,2013-06-30,FIRST NATIONAL BANK OF GORDON,GORDON,NE,69343,3252
,2013-06-30,FARMERS BANK OF GREEN CITY,GREEN CITY,MO,63545,3458
,2013-06-30,The Bank of Clarendon,Manning,SC,29102,3720
,2013-06-30,Midcountry Bank,Marion,IL,62959,3971
,2013-06-30,Kanza Bank,Kingman,KS,67068,4156
,2013-06-30,FARMERS AND MERCHANTS BANK,SYLVANIA,GA,30467,4231
,2013-06-30,First National Bank,Ronceverte,WV,24970,4437
,2013-06-30,Austin Bank of Chicago,Chicago,IL,60644,4839
,2013-06-30,STONEHAM SAVINGS BANK,STONEHAM,MA,2180,5005
,2013-06-30,First Credit Bank,West Hollywood,CA,90069,5069
,2013-06-30,First State Bank of Blakely,Blakely,GA,39823,5135
,2013-06-30,ACNB Bank,Gettysburg,PA,173250000,5210
,2013-06-30,BANK OF AGRICULTURE AND COMMERCE,STOCKTON,CA,95207,5461
,2013-06-30,Kearny County Bank,Lakin,KS,67860,5751
,2013-06-30,ALMA EXCHANGE BANK & TRUST,ALMA,GA,31510,6039
,2013-06-30,TALLAHATCHIE COUNTY BANK,CHARLESTON,MS,38921,6141
,2013-06-30,ANDERSON BROTHERS BANK,MULLINS,SC,295740310,6329
,2013-06-30,Bessemer Trust Company,Woodbridge,NJ,70951191,7009
