RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2008-03-31,,SPARTA,,,37
,2008-03-31,,Xenia,,,242
,2008-03-31,,MINEOLA,,,279
,2008-03-31,,Bison,,,354
,2008-03-31,,LOWRY,,,457
,2008-03-31,,BALLSTON SPA,,,505
,2008-03-31,,FREMONT,,,1155
,2008-03-31,,Grandin,,,1351
,2008-03-31,,Casper,,,1454
,2008-03-31,,KIOWA,,,1557
,2008-03-31,,Statesboro,,,1632
,2008-03-31,,Paris,,,1669
,2008-03-31,,Pittsburgh,,,1829
,2008-03-31,,Burns Flat,,,1856
,2008-03-31,,Tomah,,,2040
,2008-03-31,,PARIS,,,2161
,2008-03-31,,Twp of Washington,,,2376
,2008-03-31,,Sylvan Grove,,,2451
,2008-03-31,,MARIETTA,,,2554
,2008-03-31,,Chicago,,,2732
,2008-03-31,,GENOA,,,2750
,2008-03-31,,Albany,,,2938
,2008-03-31,,GORDON,,,3252
,2008-03-31,,GREEN CITY,,,3458
,2008-03-31,,Manning,,,3720
,2008-03-31,,Guthrie,,,3953
,2008-03-31,,LaFollette,,,4138
,2008-03-31,,Kingman,,,4156
,2008-03-31,,SYLVANIA,,,4231
,2008-03-31,,Ronceverte,,,4437
,2008-03-31,,Chicago,,,4839
,2008-03-31,,STONEHAM,,,5005
,2008-03-31,,West Hollywood,,,5069
,2008-03-31,,Blakely,,,5135
,2008-03-31,,Gettysburg,,,5210
,2008-03-31,,Chicago,,,5331
,2008-03-31,,STOCKTON,,,5461
,2008-03-31,,Lakin,,,5751
,2008-03-31,,Alma,,,6039
,2008-03-31,,CHARLESTON,,,6141
,2008-03-31,,MULLINS,,,6329
,2008-03-31,,VANCOUVER,,,6972
,2008-03-31,,Woodbridge,,,7009
,2008-03-31,,Brownstown,,,7045
,2008-03-31,,BLUE RAPIDS,,,7157
,2008-03-31,,Hartington,,,7456
,2008-03-31,,ALLENTOWN,,,7634
,2008-03-31,,New Roads,,,8033
,2008-03-31,,Perryton,,,8462
,2008-03-31,,St. Marys,,,8631
