RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2019-06-30,Bank of Hancock County,Sparta,GA,31087,37
,2019-06-30,"First Community  Bank, Xenia-Flora",Xenia,IL,62899,242
,2019-06-30,MINEOLA COMMUNITY BANK S. S. B.,MINEOLA,TX,75773,279
549300T61O0X0RJMQ375,2019-06-30,Bison State Bank,Bison,KS,675200328,354
,2019-06-30,LOWRY STATE BANK,LOWRY,MN,56349,457
549300QY4UCP33T94NO9,2019-06-30,Ballston Spa National Bank,Ballston Spa,NY,12020,505
,2019-06-30,First State Bank & Trust Company,Fremont,NE,68025,1155
,2019-06-30,Bank of Grandin,Grandin,MO,63943,1351
,2019-06-30,Hilltop National Bank,Casper,WY,82609,1454
,2019-06-30,Liberty National Bank,Paris,TX,75461,1669
,2019-06-30,Washita State Bank,Burns Flat,OK,73624,1856
,2019-06-30,Farmers and Merchants Bank,Tomah,WI,54660,2040
,2019-06-30,LAMAR NATIONAL BANK,PARIS,TX,75460,2161
549300XRBLWUN6J76L65,2019-06-30,Oritani Bank,Twp of Washington,NJ,76761329,2376
25490001F0A9F7BV6B05,2019-06-30,"Albany Bank & Trust Co., N.A.",Chicago,IL,60625,2732
,2019-06-30,Genoa Community Bank,Genoa,NE,68640,2750
,2019-06-30,FIRST NATIONAL BANK OF GORDON,GORDON,NE,69343,3252
,2019-06-30,Farmers Bank Of Green City,Green City,MO,63545,3458
,2019-06-30,"Bank Of Clarendon, The",Manning,SC,29102,3720
,2019-06-30,Midcountry Bank,Bloomington,MN,55439,3971
,2019-06-30,Kanza Bank,Kingman,KS,67068,4156
,2019-06-30,FARMERS AND MERCHANTS BANK,SYLVANIA,GA,30467,4231
,2019-06-30,First Credit Bank,West Hollywood,CA,90069,5069
,2019-06-30,First State Bank of Blakely,Blakely,GA,39823,5135
5493005CFFMKTUKL0381,2019-06-30,ACNB Bank,Gettysburg,PA,173250000,5210
,2019-06-30,BAC Community Bank,Stockton,CA,95202,5461
,2019-06-30,Kearny County Bank,Lakin,KS,67860,5751
,2019-06-30,Pineland Bank,ALMA,GA,31510,6039
549300M4GZM7GG3EIV16,2019-06-30,Anderson Brothers Bank,Mullins,SC,29574,6329
549300NEQHXUX4MZIH22,2019-06-30,Bessemer Trust Company,Woodbridge,NJ,70951191,7009
,2019-06-30,The Peoples Bank,Brownstown,IN,47220,7045
,2019-06-30,Wallkill Valley Federal Savings And Loan Association,Wallkill,NY,12589,7072
,2019-06-30,Bank of Hartington,Hartington,NE,68739-0077,7456
,2019-06-30,THE FOUR COUNTY BANK,ALLENTOWN,GA,31003,7634
254900DIGH8B5QJNCC06,2019-06-30,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,New Roads,LA,70760,8033
,2019-06-30,Perryton National Bank,Perryton,TX,79070,8462
,2019-06-30,Pleasants County Bank,St. Marys,WV,26170,8631
,2019-06-30,Fidelity Bank,Edina,MN,55435,9357
,2019-06-30,ADAMS COUNTY BANK,KENESAW,NE,689560149,9553
,2019-06-30,Amboy Bank,Old Bridge,NJ,08857,9807
,2019-06-30,"First State Bank And Trust Company Of Larned, The",Larned,KS,67550,9955
