RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2015-12-31,Bank of Hancock County,Sparta,GA,31087,37
,2015-12-31,"First Community  Bank, Xenia-Flora",Xenia,IL,62899,242
,2015-12-31,MINEOLA COMMUNITY BANK S. S. B.,MINEOLA,TX,75773,279
,2015-12-31,Bison State Bank,Bison,KS,675200328,354
,2015-12-31,LOWRY STATE BANK,LOWRY,MN,56349,457
,2015-12-31,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,NY,12020,505
,2015-12-31,First State Bank & Trust Company,Fremont,NE,680260549,1155
,2015-12-31,Bank of Grandin,Grandin,MO,63935,1351
,2015-12-31,Hilltop National Bank,Casper,WY,82602,1454
,2015-12-31,"First State Bank, Kiowa, Kansas, The",Kiowa,KS,67070,1557
,2015-12-31,Liberty National Bank,Paris,TX,754610919,1669
,2015-12-31,Allegheny Valley Bank of Pittsburgh,Pittsburgh,PA,15201,1829
,2015-12-31,Washita State Bank,Burns Flat,OK,73624,1856
,2015-12-31,Farmers and Merchants Bank,Tomah,WI,54660,2040
,2015-12-31,LAMAR NATIONAL BANK,PARIS,TX,75460,2161
,2015-12-31,Oritani Bank,Twp of Washington,NJ,76761329,2376
,2015-12-31,State Bank Of Marietta,Marietta,MN,56257,2554
,2015-12-31,Albany Bank and Trust Co NA,Chicago,IL,60625,2732
,2015-12-31,GENOA COMMUNITY BANK,GENOA,NE,68640,2750
,2015-12-31,Ocean City Home Bank,Ocean City,NJ,08226,3177
,2015-12-31,FIRST NATIONAL BANK OF GORDON,GORDON,NE,69343,3252
,2015-12-31,FARMERS BANK OF GREEN CITY,GREEN CITY,MO,63545,3458
,2015-12-31,Bank of Clarendon,Manning,SC,29102,3720
,2015-12-31,Midcountry Bank,Marion,IL,62959,3971
,2015-12-31,Kanza Bank,Kingman,KS,67068,4156
,2015-12-31,FARMERS AND MERCHANTS BANK,SYLVANIA,GA,30467,4231
,2015-12-31,First National Bank,Ronceverte,WV,24970,4437
,2015-12-31,ABC BANK,Chicago,IL,60644,4839
,2015-12-31,First Credit Bank,West Hollywood,CA,90069,5069
,2015-12-31,First State Bank of Blakely,Blakely,GA,39823,5135
,2015-12-31,ACNB Bank,Gettysburg,PA,173250000,5210
,2015-12-31,BAC COMMUNITY BANK,STOCKTON,CA,95207,5461
,2015-12-31,Kearny County Bank,Lakin,KS,67860,5751
,2015-12-31,ALMA EXCHANGE BANK & TRUST,ALMA,GA,31510,6039
,2015-12-31,TALLAHATCHIE COUNTY BANK,CHARLESTON,MS,38921,6141
,2015-12-31,Anderson Brothers Bank,Mullins,SC,295740310,6329
,2015-12-31,Bessemer Trust Company,Woodbridge,NJ,70951191,7009
,2015-12-31,The Peoples Bank,Brownstown,IN,47220,7045
,2015-12-31,Wallkill Valley Federal Savings And Loan Association,Wallkill,NY,12589,7072
,2015-12-31,State Bank of Blue Rapids,Blue Rapids,KS,66411,7157
,2015-12-31,Bank of Hartington,Hartington,NE,68739-0077,7456
,2015-12-31,THE FOUR COUNTY BANK,ALLENTOWN,GA,31003,7634
,2015-12-31,Peoples Bank & Trust Company of Pointe Coupee Parish,New Roads,LA,70760,8033
,2015-12-31,Perryton National Bank,Perryton,TX,79070,8462
,2015-12-31,Pleasants County Bank,St. Marys,WV,261700240,8631
,2015-12-31,Fidelity Bank,Edina,MN,55435,9357
,2015-12-31,ADAMS COUNTY BANK,KENESAW,NE,689560149,9553
,2015-12-31,Amboy Bank,Old Bridge,NJ,08857,9807
,2015-12-31,"First State Bank And Trust Company Of Larned, The",Larned,KS,67550,9955
,2015-12-31,"Bank Of Elk River, The",Elk River,MN,55330,10250
,2015-12-31,FIRST STATE BANK,LONOKE,AR,72086,10849
,2015-12-31,LAKE-OSCEOLA STATE BANK,BALDWIN,MI,49304,11145
,2015-12-31,"Pulaski Bank, National Association",Saint Louis,MO,63141,11275
,2015-12-31,First National Bank of Clarksdale,Clarksdale,MS,38614,11640
,2015-12-31,"Farmers Bank, The",Greensboro,GA,30642,11837
,2015-12-31,First National Bank South,Alma,GA,31510,12030
,2015-12-31,The Cleveland State Bank,Cleveland,MS,387321000,12142
,2015-12-31,American Savings Bank,Middletown,OH,45042,12179
,2015-12-31,The Huntington National Bank,Columbus,OH,43215,12311
,2015-12-31,The Portage County Bank,Almond,WI,54909,12647
,2015-12-31,EMERALD BANK,BURDEN,KS,67019,12656
,2015-12-31,Oak Bank,Chicago,IL,60611,12937
,2015-12-31,Farmers Bank and Trust Company,Magnolia,AR,71753,12946
,2015-12-31,Bank of Nebraska,La Vista,NE,68128,12955
,2015-12-31,Bristol County Savings Bank,Taunton,MA,02780,13103
,2015-12-31,Elysian Bank,Elysian,MN,56028,13251
,2015-12-31,Bank Of Lewellen,Lewellen,NE,69147,13457
,2015-12-31,Lincoln Community Bank,Merrill,WI,54452,14052
,2015-12-31,F & C Bank,Holden,MO,64040,14155
,2015-12-31,Bank Of Locust Grove,Locust Grove,OK,74352,14650
,2015-12-31,"Farmers State Bank Of Bucklin, Kansas, The",Bucklin,KS,67834,14753
,2015-12-31,Bank Of Eastern Oregon,Heppner,OR,97836,14865
,2015-12-31,First Federal Bank Littlefield Texas ssb,Littlefield,TX,793391390,14977
,2015-12-31,Northview Bank,Sandstone,MN,55072,16551
,2015-12-31,The Elberfeld State Bank,Elberfeld,IN,47613,16748
,2015-12-31,The Haverford Trust Company,Radnor,PA,19087,17110
,2015-12-31,"First Merchants Bank, NA",Muncie,IN,47305,17147
,2015-12-31,The First National Bank In Marlow,Marlow,OK,73055,17259
,2015-12-31,Bank of the Cascades,Bend,OR,977099906,17464
,2015-12-31,"Bank Of Bridger, National Association",Bridger,MT,59014,17950
,2015-12-31,Elizabethton Federal Savings Bank,Elizabethton,TN,37643,17978
,2015-12-31,First National Bank of Bastrop,Bastrop,TX,78602,18050
,2015-12-31,"South Central Bank, NA",Chicago,IL,60607,18135
,2015-12-31,Bally Savings Bank,Bally,PA,19503,18377
,2015-12-31,"NexTier Bank, N.A.",Kittanning,PA,16201,18827
,2015-12-31,CAPON VALLEY BANK,WARDENSVILLE,WV,26851,18836
,2015-12-31,Bank 7,Oklahoma City,OK,73116,18854
,2015-12-31,SECURITY BANK AND TRUST COMPANY,MIAMI,OK,74354,19356
,2015-12-31,Standard Bank and Trust Company,Hickory Hills,IL,604572298,19730
,2015-12-31,Citizens Bank of Americus,Americus,GA,31709,19936
,2015-12-31,FARMERS BUILDING AND SAVINGS BANK,ROCHESTER,PA,15074,19972
,2015-12-31,Security Bank,New Auburn,WI,54757,20053
,2015-12-31,MCNB Bank And Trust Co.,Welch,WV,24801,20633
,2015-12-31,Granite Falls Bank,Granite Falls,MN,56241,20857
,2015-12-31,State Bank Of Burrton,Burrton,KS,67020,21256
,2015-12-31,AMERICAN STATE BANK OF GRYGLA,GRYGLA,MN,56727,21359
,2015-12-31,Teche Bank & Trust Company,St. Martinville,LA,70582,21630
,2015-12-31,ALLIANCE BANK,MONDOVI,WI,54755,21658
,2015-12-31,Union Bank & Trust Company,Monticello,AR,71655,22048
,2015-12-31,State Savings Bank,Frankfort,MI,496351169,22543
,2015-12-31,First Southeast Bank,Harmony,MN,55939,22552
,2015-12-31,West Union Bank,West Union,WV,26456,22730
,2015-12-31,Farmers & Merchants Bank,Statesboro,GA,304592789,22936
,2015-12-31,West Michigan Bank & Trust,Frankfort,MI,49635,23045
,2015-12-31,The First National Bank of Henning,Henning,MN,565510096,23456
,2015-12-31,Bridgehampton National Bank,Bridgehampton,NY,11932,23504
,2015-12-31,COMMERCIAL BANK & TRUST COMPANY,MONTICELLO,AR,71655,23643
,2015-12-31,First National Community Bank,New Richmond,WI,54017,23755
,2015-12-31,PCSB Bank,Yorktown Heights,NY,105980712,24006
,2015-12-31,Galion Building and Loan Bank,Galion,OH,44833,24378
,2015-12-31,ROCKY MOUNTAIN BANK,JACKSON,WY,83001,24453
,2015-12-31,PRODUCE STATE BANK,HOLLANDALE,MN,56045,24659
,2015-12-31,"BTH Bank, National Association",Quitman,TX,75783,24668
,2015-12-31,"First National Bank Of Nash, The",Nash,OK,73761,24855
,2015-12-31,THE BARABOO NATIONAL BANK,BARABOO,WI,53913,24949
,2015-12-31,All America Bank,Mustang,OK,73064,25357
