RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2016-06-30,Bank of Hancock County,Sparta,GA,31087,37
,2016-06-30,"First Community  Bank, Xenia-Flora",Xenia,IL,62899,242
,2016-06-30,MINEOLA COMMUNITY BANK S. S. B.,MINEOLA,TX,75773,279
,2016-06-30,Bison State Bank,Bison,KS,675200328,354
,2016-06-30,LOWRY STATE BANK,LOWRY,MN,56349,457
,2016-06-30,Ballston Spa National Bank,Ballston Spa,NY,12020,505
,2016-06-30,First State Bank & Trust Company,Fremont,NE,68025,1155
,2016-06-30,Bank of Grandin,Grandin,MO,63935,1351
,2016-06-30,Hilltop National Bank,Casper,WY,82602,1454
,2016-06-30,"First State Bank, Kiowa, Kansas, The",Kiowa,KS,67070,1557
,2016-06-30,Liberty National Bank,Paris,TX,754610919,1669
,2016-06-30,Allegheny Valley Bank of Pittsburgh,Pittsburgh,PA,15201,1829
,2016-06-30,Washita State Bank,Burns Flat,OK,73624,1856
,2016-06-30,Farmers and Merchants Bank,Tomah,WI,54660,2040
,2016-06-30,LAMAR NATIONAL BANK,PARIS,TX,75460,2161
,2016-06-30,Oritani Bank,Twp of Washington,NJ,76761329,2376
,2016-06-30,State Bank Of Marietta,Marietta,MN,56257,2554
,2016-06-30,Albany Bank and Trust Co NA,Chicago,IL,60625,2732
,2016-06-30,GENOA COMMUNITY BANK,GENOA,NE,68640,2750
,2016-06-30,Ocean City Home Bank,Ocean City,NJ,08226,3177
,2016-06-30,FIRST NATIONAL BANK OF GORDON,GORDON,NE,69343,3252
,2016-06-30,FARMERS BANK OF GREEN CITY,GREEN CITY,MO,63545,3458
,2016-06-30,Bank of Clarendon,Manning,SC,29102,3720
,2016-06-30,Midcountry Bank,Marion,IL,62959,3971
,2016-06-30,Kanza Bank,Kingman,KS,67068,4156
,2016-06-30,FARMERS AND MERCHANTS BANK,SYLVANIA,GA,30467,4231
,2016-06-30,ABC BANK,Chicago,IL,60644,4839
,2016-06-30,First Credit Bank,West Hollywood,CA,90069,5069
,2016-06-30,First State Bank of Blakely,Blakely,GA,39823,5135
,2016-06-30,ACNB Bank,Gettysburg,PA,173250000,5210
,2016-06-30,BAC COMMUNITY BANK,STOCKTON,CA,95207,5461
,2016-06-30,Kearny County Bank,Lakin,KS,67860,5751
,2016-06-30,ALMA EXCHANGE BANK & TRUST,ALMA,GA,31510,6039
,2016-06-30,TALLAHATCHIE COUNTY BANK,CHARLESTON,MS,38921,6141
,2016-06-30,Anderson Brothers Bank,Mullins,SC,295740310,6329
,2016-06-30,Bessemer Trust Company,Woodbridge,NJ,70951191,7009
,2016-06-30,The Peoples Bank,Brownstown,IN,47220,7045
,2016-06-30,Wallkill Valley Federal Savings And Loan Association,Wallkill,NY,12589,7072
,2016-06-30,State Bank of Blue Rapids,Blue Rapids,KS,66411,7157
,2016-06-30,Bank of Hartington,Hartington,NE,68739-0077,7456
,2016-06-30,THE FOUR COUNTY BANK,ALLENTOWN,GA,31003,7634
,2016-06-30,Peoples Bank & Trust Company of Pointe Coupee Parish,New Roads,LA,70760,8033
,2016-06-30,Perryton National Bank,Perryton,TX,79070,8462
,2016-06-30,Pleasants County Bank,St. Marys,WV,261700240,8631
,2016-06-30,Fidelity Bank,Edina,MN,55435,9357
,2016-06-30,ADAMS COUNTY BANK,KENESAW,NE,689560149,9553
,2016-06-30,Amboy Bank,Old Bridge,NJ,08857,9807
,2016-06-30,"First State Bank And Trust Company Of Larned, The",Larned,KS,67550,9955
,2016-06-30,"Bank Of Elk River, The",Elk River,MN,55330,10250
,2016-06-30,FIRST STATE BANK,LONOKE,AR,72086,10849
,2016-06-30,LAKE-OSCEOLA STATE BANK,BALDWIN,MI,49304,11145
,2016-06-30,"Pulaski Bank, National Association",Saint Louis,MO,63141,11275
,2016-06-30,First National Bank of Clarksdale,Clarksdale,MS,38614,11640
,2016-06-30,"Farmers Bank, The",Greensboro,GA,30642,11837
