RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2008-06-30,BANK OF HANCOCK COUNTY,SPARTA,GA,31087,37
,2008-06-30,"First Community  Bank, Xenia-Flora",Xenia,IL,62899,242
,2008-06-30,MINEOLA COMMUNITY BANK S. S. B.,MINEOLA,TX,75773,279
,2008-06-30,Bison State Bank,Bison,KS,675200328,354
,2008-06-30,LOWRY STATE BANK,LOWRY,MN,563490123,457
,2008-06-30,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,NY,12020,505
,2008-06-30,FIRST STATE BANK & TRUST COMPANY,FREMONT,NE,680260549,1155
,2008-06-30,Bank of Grandin,Grandin,MO,63943,1351
,2008-06-30,Hilltop National Bank,Casper,WY,82602,1454
,2008-06-30,THE FIRST STATE BANK,KIOWA,KS,67070,1557
,2008-06-30,Sea Island Bank,Statesboro,GA,30458,1632
,2008-06-30,The Liberty National Bank in Paris,Paris,TX,754610919,1669
,2008-06-30,Allegheny Valley Bank of Pittsburgh,Pittsburgh,PA,15201,1829
,2008-06-30,Washita State Bank,Burns Flat,OK,73624,1856
,2008-06-30,Farmers and Merchants Bank,Tomah,WI,54660,2040
,2008-06-30,LAMAR NATIONAL BANK,PARIS,TX,75460,2161
,2008-06-30,Oritani Savings Bank,Twp of Washington,NJ,76761329,2376
,2008-06-30,Thunder Bank,Sylvan Grove,KS,67481,2451
,2008-06-30,STATE BANK OF MARIETTA,MARIETTA,MN,56257,2554
,2008-06-30,"Albany Bank & Trust Co., N.A.",Chicago,IL,60625,2732
,2008-06-30,GENOA NATIONAL BANK,GENOA,NE,68640,2750
,2008-06-30,Security Bank & Trust Company of Albany,Albany,GA,31701,2938
,2008-06-30,FIRST NATIONAL BANK OF GORDON,GORDON,NE,69343,3252
,2008-06-30,FARMERS BANK OF GREEN CITY,GREEN CITY,MO,63545,3458
,2008-06-30,Bank of Clarendon,Manning,SC,29102,3720
,2008-06-30,First Capital Bank,Guthrie,OK,730440520,3953
,2008-06-30,First National Bank of LaFollette,LaFollette,TN,37766,4138
,2008-06-30,KANZA Bank,Kingman,KS,67068,4156
,2008-06-30,FARMERS AND MERCHANTS BANK,SYLVANIA,GA,30467,4231
,2008-06-30,First National Bank,Ronceverte,WV,24970,4437
,2008-06-30,Austin Bank of Chicago,Chicago,IL,606441997,4839
,2008-06-30,STONEHAM SAVINGS BANK,STONEHAM,MA,02180,5005
,2008-06-30,First Credit Bank,West Hollywood,CA,90069,5069
,2008-06-30,First State Bank of Blakely,Blakely,GA,39823,5135
,2008-06-30,Adams County National Bank,Gettysburg,PA,173250000,5210
,2008-06-30,Hyde Park Bank and Trust Company,Chicago,IL,60615,5331
,2008-06-30,BANK OF AGRICULTURE AND COMMERCE,STOCKTON,CA,95207,5461
,2008-06-30,The Kearny County Bank,Lakin,KS,678600067,5751
,2008-06-30,ALMA EXCHANGE BANK & TRUST,ALMA,GA,31510,6039
,2008-06-30,TALLAHATCHIE COUNTY BANK,CHARLESTON,MS,38921,6141
,2008-06-30,ANDERSON BROTHERS BANK,MULLINS,SC,295740310,6329
,2008-06-30,FIRST INDEPENDENT BANK,VANCOUVER,WA,986688904,6972
,2008-06-30,Bessemer Trust Company,Woodbridge,NJ,70951191,7009
,2008-06-30,The Peoples Bank,Brownstown,IN,47220,7045
,2008-06-30,THE STATE BANK OF BLUE RAPIDS,BLUE RAPIDS,KS,664110157,7157
,2008-06-30,Bank of Hartington,Hartington,NE,687390077,7456
,2008-06-30,THE FOUR COUNTY BANK,ALLENTOWN,GA,31003,7634
,2008-06-30,Peoples Bank & Trust Company of Pointe Coupee Parish,New Roads,LA,70760,8033
,2008-06-30,Perryton National Bank,Perryton,TX,79070,8462
,2008-06-30,Pleasants County Bank,St. Marys,WV,261700240,8631
,2008-06-30,Fidelity Bank,Edina,MN,55435,9357
,2008-06-30,ADAMS COUNTY BANK,KENESAW,NE,689560149,9553
,2008-06-30,Amboy Bank,Old Bridge,NJ,8857,9807
,2008-06-30,First State Bank & Trust Co,Larned,KS,67550,9955
,2008-06-30,First National Bank & Trust Company in Larned,Larned,KS,675500029,10157
,2008-06-30,The Bank of Elk River,Elk River,MN,55330,10250
,2008-06-30,FIRST STATE BANK,LONOKE,AR,72086,10849
,2008-06-30,Platte Valley State Bank and Trust Company,Kearney,NE,68847,10858
,2008-06-30,Lake-Osceola State Bank,Baldwin,MI,49304,11145
,2008-06-30,First National Bank of Clarksdale,Clarksdale,MS,38614,11640
,2008-06-30,THE FARMERS BANK,Greensboro,GA,30642,11837
,2008-06-30,First National Bank South,ALMA,GA,31510,12030
,2008-06-30,Bank of Holden,Holden,MO,64040,12058
,2008-06-30,Cleveland State Bank,Cleveland,MS,387321000,12142
,2008-06-30,BANK NORTH,Crivitz,WI,54114,12245
,2008-06-30,The Huntington National Bank,Columbus,OH,43215,12311
,2008-06-30,The Portage County Bank,Almond,WI,54909,12647
,2008-06-30,EMERALD BANK,BURDEN,KS,67019,12656
,2008-06-30,Oak Bank,Chicago,IL,60611,12937
,2008-06-30,Farmers Bank and Trust Company,Magnolia,AR,71753,12946
,2008-06-30,Bank of Nebraska,La Vista,NE,68128,12955
,2008-06-30,TRADERS BANK,SPENCER,WV,25276,13037
,2008-06-30,Bristol County Savings Bank,Taunton,MA,02780,13103
,2008-06-30,ELYSIAN BANK,ELYSIAN,MN,56028,13251
,2008-06-30,BANK OF LEWELLEN,LEWELLEN,NE,691470248,13457
,2008-06-30,LINCOLN COMMUNITY BANK,MERRILL,WI,54452,14052
,2008-06-30,F & C Bank,Holden,MO,64040,14155
,2008-06-30,Jackson State Bank & Trust,Jackson,WY,83001,14258
,2008-06-30,First Security Bank-Evansville,Evansville,MN,56326,14454
,2008-06-30,BANK OF LOCUST GROVE,LOCUST GROVE,OK,743520219,14650
,2008-06-30,THE FARMERS STATE BANK OF BUCKLIN,BUCKLIN,KS,67834,14753
,2008-06-30,Bank of Eastern Oregon,Heppner,OR,97836,14865
,2008-06-30,First Federal Bank Littlefield Texas ssb,Littlefield,TX,79339,14977
,2008-06-30,Park National Bank,Chicago,IL,60610,15536
,2008-06-30,Wakulla Bank,Crawfordville,FL,32327,16337
,2008-06-30,Douglas County Bank,Lawrence,KS,66044,16458
,2008-06-30,Northview Bank,Finlayson,MN,55735,16551
,2008-06-30,The Elberfeld State Bank,Elberfeld,IN,47613,16748
,2008-06-30,THE WEST MICHIGAN SAVINGS BANK,BANGOR,MI,49013,16944
,2008-06-30,First State Bank of Fertile,Fertile,MN,56540,16953
,2008-06-30,The Haverford Trust Company,Radnor,PA,19087,17110
,2008-06-30,"First Merchants Bank, NA",Muncie,IN,47305,17147
,2008-06-30,THE FIRST NATIONAL BANK IN MARLOW,MARLOW,OK,730550033,17259
,2008-06-30,Bank of the Cascades,Bend,OR,977099906,17464
,2008-06-30,Sumter Bank and Trust Company,Americus,GA,31709,17839
