RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,261,,177,0,,,,,36,48,0,,,,37,2017-09-30
,,,,,,,,,,,,,17,,0,0,,,,,17,0,0,,,,242,2017-09-30
,,,,,,,,,,,,,1254,0,616,0,50,22,333,0,98,540,0,160,0,,279,2017-09-30
,,,,,,,,,,,,,1,,0,0,,,,,1,0,0,,,,354,2017-09-30
,,,,,,,,,,,,,131,,0,0,,,,,10,121,0,,,,457,2017-09-30
,,,,,,,,,,,,,4747,,1577,606,,,,,28,2444,92,,,,505,2017-09-30
,,,,,,,,,,,,,2202,,1637,0,,,,,132,433,0,,,,1155,2017-09-30
,,,,,,,,,,,,,551,,46,0,,,,,173,332,0,,,,1351,2017-09-30
,,,,,,,,,,,,,2371,,1992,0,,,,,46,333,0,,,,1454,2017-09-30
,,,,,,,,,,,,,29,,14,0,,,,,15,0,0,,,,1557,2017-09-30
,,,,,,,,,,,,,414,0,105,0,0,,,,63,246,0,103,,,1669,2017-09-30
,,,,,,,,,,,,,222,,108,0,,,,,46,68,0,,,,1856,2017-09-30
,,,,,,,,,,,,,838,,363,0,,,,,113,362,0,,,,2040,2017-09-30
,,,,,,,,,,,,,2361,0,1609,0,0,0,0,0,29,723,0,1609,0,,2161,2017-09-30
,,,,,,,,,,,,,60511,0,21696,0,0,0,0,0,838,37977,0,21292,0,,2376,2017-09-30
,,,,,,,,,,,,,21,,0,0,,,,,21,0,0,,,,2554,2017-09-30
,,,,,,,,,,,,,2897,300,801,0,0,0,0,0,247,1849,0,0,0,,2732,2017-09-30
,,,,,,,,,,,,,331,,150,0,,,,,16,155,10,,,,2750,2017-09-30
,,,,,,,,,,,,,230,,3,0,,,,,92,135,0,,,,3252,2017-09-30
