RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,265,0,5,0,0,0,0,0,224,36,0,0,0,,37,2002-12-31
,,,,,,,,,,,,,55,0,0,0,0,,,,53,2,0,0,0,,242,2002-12-31
,,,,,,,,,,,,,722,0,107,269,7,0,0,0,29,317,0,95,0,,279,2002-12-31
,,,,,,,,,,,,,106,0,26,41,26,0,0,0,29,10,0,0,0,,354,2002-12-31
,,,,,,,,,,,,,1523,191,745,0,0,0,0,0,557,221,0,254,0,,439,2002-12-31
,,,,,,,,,,,,,314,0,0,0,0,0,0,0,53,261,0,0,0,,457,2002-12-31
,,,,,,,,,,,,,2462,149,151,54,0,0,0,0,680,1456,121,0,0,,505,2002-12-31
,,,,,,,,,,,,,6854,326,1120,861,0,0,0,0,346,4527,0,417,0,,1146,2002-12-31
,,,,,,,,,,,,,650,0,0,0,0,0,0,0,494,156,0,0,0,,1155,2002-12-31
,,,,,,,,,,,,,1386,0,1045,0,0,0,0,0,334,7,0,1045,0,,1351,2002-12-31
,,,,,,,,,,,,,434,0,110,0,110,0,0,0,197,127,0,0,0,,1454,2002-12-31
,,,,,,,,,,,,,487,0,25,372,0,0,0,0,90,0,0,0,0,,1557,2002-12-31
,,,,,,,,,,,,,1689,0,864,0,44,0,0,0,596,229,0,820,0,,1632,2002-12-31
,,,,,,,,,,,,,738,0,0,72,0,0,0,0,499,167,0,0,0,,1669,2002-12-31
,,,,,,,,,,,,,2588,0,36,1596,0,31,0,0,764,192,0,0,0,,1829,2002-12-31
,,,,,,,,,,,,,135,0,0,118,0,0,0,0,17,0,0,0,0,,1856,2002-12-31
,,,,,,,,,,,,,485,0,11,0,0,0,0,0,269,205,0,0,0,,2040,2002-12-31
,,,,,,,,,,,,,288,0,0,148,0,0,0,0,131,9,0,0,0,,2161,2002-12-31
,,,,,,,,,,,,,13713,0,1261,5380,0,0,0,0,42,7030,0,750,0,,2376,2002-12-31
,,,,,,,,,,,,,128,0,40,0,0,26,0,0,82,6,0,0,0,,2451,2002-12-31
,,,,,,,,,,,,,40,0,0,2,0,0,0,0,38,0,0,0,0,,2554,2002-12-31
,,,,,,,,,,,,,3340,835,948,304,61,0,0,0,698,1390,0,0,0,,2732,2002-12-31
,,,,,,,,,,,,,845,0,514,126,0,0,0,0,106,99,0,514,0,,2750,2002-12-31
,,,,,,,,,,,,,1682,0,0,0,0,0,0,0,696,986,0,0,0,,2938,2002-12-31
,,,,,,,,,,,,,264,0,0,0,0,0,0,0,258,6,0,0,0,,2956,2002-12-31
,,,,,,,,,,,,,512,0,0,248,0,0,0,0,229,35,0,0,0,,3252,2002-12-31
,,,,,,,,,,,,,58,0,0,0,0,0,0,0,40,18,0,0,0,,3458,2002-12-31
,,,,,,,,,,,,,12759,0,6989,0,0,3879,0,0,985,4785,0,0,0,,3506,2002-12-31
,,,,,,,,,,,,,2030,0,4,853,0,0,0,0,350,823,0,0,0,,3579,2002-12-31
,,,,,,,,,,,,,1290,0,121,0,0,121,0,0,168,1001,0,0,0,,3720,2002-12-31
,,,,,,,,,,,,,306,0,243,0,0,0,0,0,47,16,0,243,0,,3953,2002-12-31
,,,,,,,,,,,,,1137,0,183,593,0,0,0,0,251,110,0,0,0,,4138,2002-12-31
,,,,,,,,,,,,,968,0,336,278,0,0,0,0,203,151,0,321,0,,4147,2002-12-31
,,,,,,,,,,,,,5361,750,5032,48,81,0,0,0,264,17,0,0,0,,4156,2002-12-31
,,,,,,,,,,,,,426,0,14,75,0,0,0,0,321,16,0,0,0,,4231,2002-12-31
,,,,,,,,,,,,,1177,0,667,0,0,458,0,0,76,434,0,0,0,,4437,2002-12-31
,,,,,,,,,,,,,39,0,0,11,0,0,0,0,22,6,0,0,0,,4745,2002-12-31
,,,,,,,,,,,,,1486,330,330,0,0,0,0,0,410,746,0,0,0,,4839,2002-12-31
,,,,,,,,,,,,,3743,0,1101,1588,534,503,0,0,5,1049,0,0,0,,5005,2002-12-31
,,,,,,,,,,,,,259,0,0,42,0,0,0,0,115,102,0,0,0,,5050,2002-12-31
,,,,,,,,,,,,,2708,0,0,68,0,0,0,0,1210,1430,0,0,0,,5069,2002-12-31
,,,,,,,,,,,,,532,0,1,0,0,0,0,0,260,271,0,0,0,,5135,2002-12-31
,,,,,,,,,,,,,6242,0,2464,10,0,0,0,0,2304,1464,0,2390,0,,5210,2002-12-31
,,,,,,,,,,,,,3065,0,974,0,974,0,0,0,643,1448,0,0,0,,5247,2002-12-31
,,,,,,,,,,,,,634,0,12,0,0,0,0,0,196,426,0,0,0,,5274,2002-12-31
,,,,,,,,,,,,,2802,0,123,798,0,123,0,0,177,1504,200,0,0,,5331,2002-12-31
,,,,,,,,,,,,,1999,85,347,0,148,0,0,0,53,1599,0,0,0,,5461,2002-12-31
,,,,,,,,,,,,,343,0,2,214,0,0,0,0,115,12,0,0,0,,5751,2002-12-31
,,,,,,,,,,,,,12063,0,3986,0,0,2287,0,0,2082,5995,0,0,0,,5939,2002-12-31
,,,,,,,,,,,,,450,0,0,0,0,0,0,0,360,90,0,0,0,,6039,2002-12-31
,,,,,,,,,,,,,99,0,27,0,27,0,0,0,72,0,0,0,0,,6057,2002-12-31
,,,,,,,,,,,,,70,0,0,0,0,0,0,0,65,5,0,0,0,,6141,2002-12-31
,,,,,,,,,,,,,667,0,0,68,0,0,0,0,370,229,0,0,0,,6329,2002-12-31
,,,,,,,,,,,,,1947,0,1148,0,0,0,0,0,528,271,0,1013,0,,6972,2002-12-31
,,,,,,,,,,,,,5412,0,1009,426,0,889,0,0,272,3705,0,0,0,,7009,2002-12-31
