RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,2739,0,2256,0,1359,0,0,0,286,197,0,895,0,,12030,2012-09-30
,,,,,,,,,,,,,3128,0,2318,570,0,0,0,0,198,42,0,1763,0,,12142,2012-09-30
,,,,,,,,,,,,,810,0,608,0,0,0,0,0,2,200,0,591,0,,12179,2012-09-30
,,,,,,,,,,,,,700,0,221,95,0,0,0,0,123,261,0,210,0,,12245,2012-09-30
717280,0,423469,0,149313,0,0,0,226354,53563,0,0,,,,,,,,,,13894,,,,,,12311,2012-09-30
,,,,,,,,,,,,,245,0,0,0,0,0,0,0,98,147,0,0,0,,12647,2012-09-30
,,,,,,,,,,,,,72,0,0,0,0,0,0,0,22,50,0,0,0,,12656,2012-09-30
,,,,,,,,,,,,,3432,0,45,2533,23,0,0,0,167,687,0,0,0,,12937,2012-09-30
,,,,,,,,,,,,,7023,0,4977,0,0,0,0,0,451,1595,0,4769,0,,12946,2012-09-30
,,,,,,,,,,,,,270,0,41,0,0,0,0,0,51,178,0,0,0,,12955,2012-09-30
,,,,,,,,,,,,,28296,0,23302,0,0,21841,0,0,242,4740,12,0,0,,13103,2012-09-30
,,,,,,,,,,,,,182,0,163,0,0,0,0,0,19,0,0,0,0,,13251,2012-09-30
,,,,,,,,,,,,,194,0,0,160,0,0,0,0,7,27,0,0,0,,13457,2012-09-30
,,,,,,,,,,,,,126,0,3,0,0,0,0,0,30,93,0,0,0,,14052,2012-09-30
,,,,,,,,,,,,,634,0,188,0,0,0,0,0,80,366,0,187,0,,14155,2012-09-30
,,,,,,,,,,,,,464,0,182,0,0,0,0,0,4,278,0,182,0,,14650,2012-09-30
,,,,,,,,,,,,,438,0,0,385,0,0,0,0,49,4,0,0,0,,14753,2012-09-30
,,,,,,,,,,,,,1805,0,1165,0,0,0,0,0,89,526,25,732,0,,14865,2012-09-30
,,,,,,,,,,,,,82,0,12,0,0,0,0,0,27,43,0,12,0,,14977,2012-09-30
,,,,,,,,,,,,,658,0,5,47,0,0,0,0,186,420,0,0,0,,16458,2012-09-30
,,,,,,,,,,,,,324,0,0,0,0,0,0,0,223,101,0,0,0,,16551,2012-09-30
,,,,,,,,,,,,,415,0,229,37,0,0,0,0,29,105,15,197,0,,16748,2012-09-30
,,,,,,,,,,,,,80,0,0,61,0,0,0,0,19,0,0,0,0,,16944,2012-09-30
,,,,,,,,,,,,,130,0,0,0,0,0,0,0,49,81,0,0,0,,16953,2012-09-30
,,,,,,,,,,,,,1963,0,336,0,0,260,0,0,35,1569,23,0,0,,17110,2012-09-30
,,,,,,,,,,,,,29149,0,7020,0,0,0,0,0,1107,21022,0,0,6789,,17147,2012-09-30
,,,,,,,,,,,,,1691,0,987,0,0,0,0,0,39,665,0,987,0,,17259,2012-09-30
,,,,,,,,,,,,,26664,0,1948,2319,6,0,0,0,228,20619,1550,0,0,,17464,2012-09-30
,,,,,,,,,,,,,3012,0,1246,1575,277,0,0,0,89,29,73,920,0,,17950,2012-09-30
