RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,88,0,23,0,0,0,0,0,40,25,0,0,0,,37,2019-12-31
,,,,,,,,,,,,,29,0,0,0,0,0,0,0,29,0,0,0,0,,242,2019-12-31
,,,,,,,,,,,,,1136,0,763,0,50,39,43,246,158,215,0,187,0,,279,2019-12-31
,,,,,,,,,,,,,99,0,0,0,0,0,0,0,10,89,0,0,0,,354,2019-12-31
,,,,,,,,,,,,,171,0,0,0,0,0,0,0,38,133,0,0,0,,457,2019-12-31
,,,,,,,,,,,,,6356,0,3156,616,0,1550,1016,0,149,2342,93,0,0,,505,2019-12-31
,,,,,,,,,,,,,2469,0,1473,0,0,0,0,0,234,762,0,1428,0,,1155,2019-12-31
,,,,,,,,,,,,,571,0,56,0,0,0,0,0,451,64,0,0,0,,1351,2019-12-31
,,,,,,,,,,,,,3661,0,2695,0,0,689,0,0,74,892,0,1527,0,,1454,2019-12-31
,,,,,,,,,,,,,267,0,49,0,0,0,0,0,218,0,0,49,0,,1669,2019-12-31
,,,,,,,,,,,,,132,0,54,0,0,0,0,0,62,16,0,0,0,,1856,2019-12-31
,,,,,,,,,,,,,2604,0,1500,0,0,0,0,0,57,1047,0,1500,0,,2161,2019-12-31
,,,,,,,,,,,,,1434,0,188,0,0,0,0,0,842,404,0,0,0,,2732,2019-12-31
,,,,,,,,,,,,,467,111,261,0,0,0,0,0,71,125,10,150,0,,2750,2019-12-31
,,,,,,,,,,,,,407,0,1,0,0,0,0,0,180,226,0,0,0,,3252,2019-12-31
,,,,,,,,,,,,,225,0,30,73,0,0,0,0,60,62,0,0,0,,3458,2019-12-31
,,,,,,,,,,,,,2511,0,2,0,0,0,0,0,85,2424,0,0,0,,3720,2019-12-31
,,,,,,,,,,,,,8471,0,4536,0,0,1775,0,0,679,3216,40,2101,0,,3971,2019-12-31
,,,,,,,,,,,,,607,0,357,13,0,131,0,0,206,31,0,0,0,,4156,2019-12-31
