RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,232,0,5,50,0,0,0,0,130,47,0,0,0,,37,2011-12-31
,,,,,,,,,,,,,29,0,0,0,0,0,0,0,29,0,0,0,0,,242,2011-12-31
,,,,,,,,,,,,,497,0,330,0,82,138,6,0,82,85,0,97,0,,279,2011-12-31
,,,,,,,,,,,,,33,0,26,0,0,0,0,0,7,0,0,0,0,,354,2011-12-31
,,,,,,,,,,,,,60,0,0,0,0,0,0,0,26,34,0,0,0,,457,2011-12-31
,,,,,,,,,,,,,3476,0,1002,516,0,815,0,0,122,1743,93,0,0,,505,2011-12-31
,,,,,,,,,,,,,1828,0,1314,0,0,0,0,0,215,299,0,1264,0,,1155,2011-12-31
,,,,,,,,,,,,,485,0,30,0,0,30,0,0,351,104,0,0,0,,1351,2011-12-31
,,,,,,,,,,,,,1250,0,1011,0,251,0,0,0,105,134,0,760,0,,1454,2011-12-31
,,,,,,,,,,,,,528,0,57,426,0,51,0,0,45,0,0,0,0,,1557,2011-12-31
,,,,,,,,,,,,,708,0,94,0,0,0,0,0,199,415,0,94,0,,1669,2011-12-31
,,,,,,,,,,,,,1973,0,292,0,0,0,0,0,945,736,0,0,0,,1829,2011-12-31
,,,,,,,,,,,,,282,0,0,0,0,0,0,0,159,123,0,0,0,,1856,2011-12-31
,,,,,,,,,,,,,1171,0,463,0,8,0,0,0,333,375,0,0,0,,2040,2011-12-31
,,,,,,,,,,,,,1797,0,905,398,0,0,0,0,42,452,0,905,0,,2161,2011-12-31
,,,,,,,,,,,,,29465,0,9797,0,843,0,0,0,507,19161,0,8078,0,,2376,2011-12-31
,,,,,,,,,,,,,21,0,0,0,0,0,0,0,21,0,0,0,0,,2554,2011-12-31
,,,,,,,,,,,,,1471,0,364,0,12,287,0,0,536,571,0,46,0,,2732,2011-12-31
,,,,,,,,,,,,,216,74,79,0,0,0,0,0,44,83,10,0,0,,2750,2011-12-31
,,,,,,,,,,,,,333,0,0,0,0,0,0,0,139,194,0,0,0,,3252,2011-12-31
,,,,,,,,,,,,,158,0,8,0,0,8,0,0,16,134,0,0,0,,3458,2011-12-31
,,,,,,,,,,,,,1687,0,0,0,0,0,0,0,69,1618,0,0,0,,3720,2011-12-31
,,,,,,,,,,,,,214,0,193,0,0,0,0,0,9,12,0,193,0,,3953,2011-12-31
,,,,,,,,,,,,,522,0,276,98,145,0,0,0,148,0,0,0,0,,4156,2011-12-31
