RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,226,0,9,0,0,0,0,0,199,18,0,0,0,,37,2004-12-31
,,,,,,,,,,,,,41,0,0,0,0,,,,41,0,0,0,0,,242,2004-12-31
,,,,,,,,,,,,,255,0,80,64,0,0,0,0,73,38,0,49,0,,279,2004-12-31
,,,,,,,,,,,,,19,5,5,0,0,0,0,0,14,0,0,0,0,,354,2004-12-31
,,,,,,,,,,,,,1197,318,477,0,0,0,0,0,418,302,0,0,0,,439,2004-12-31
,,,,,,,,,,,,,295,75,76,0,0,0,0,0,42,177,0,0,0,,457,2004-12-31
,,,,,,,,,,,,,1897,244,245,0,0,0,0,0,371,1200,81,0,0,,505,2004-12-31
,,,,,,,,,,,,,6912,0,2958,657,0,0,0,0,228,3069,0,1912,0,,1146,2004-12-31
,,,,,,,,,,,,,551,0,215,0,0,0,0,0,237,99,0,215,0,,1155,2004-12-31
,,,,,,,,,,,,,250,0,0,0,0,0,0,0,250,0,0,0,0,,1351,2004-12-31
,,,,,,,,,,,,,808,0,100,0,100,0,0,0,154,554,0,0,0,,1454,2004-12-31
,,,,,,,,,,,,,251,0,12,192,0,0,0,0,47,0,0,0,0,,1557,2004-12-31
,,,,,,,,,,,,,4507,0,3610,0,0,0,0,0,896,1,0,772,0,,1632,2004-12-31
,,,,,,,,,,,,,388,0,34,0,0,0,0,0,326,28,0,34,0,,1669,2004-12-31
,,,,,,,,,,,,,1603,0,111,727,0,70,0,0,614,151,0,0,0,,1829,2004-12-31
,,,,,,,,,,,,,252,0,0,45,0,0,0,0,99,108,0,0,0,,1856,2004-12-31
,,,,,,,,,,,,,431,0,12,0,0,12,0,0,220,199,0,0,0,,2040,2004-12-31
,,,,,,,,,,,,,373,0,180,0,0,0,0,0,193,0,0,180,0,,2161,2004-12-31
,,,,,,,,,,,,,15401,0,1835,0,78,0,0,0,79,13487,0,1268,0,,2376,2004-12-31
,,,,,,,,,,,,,176,0,3,0,0,2,,,44,129,0,0,0,,2451,2004-12-31
,,,,,,,,,,,,,23,0,0,0,0,0,0,0,23,0,0,0,0,,2554,2004-12-31
,,,,,,,,,,,,,3494,1206,1244,0,0,0,0,0,715,1535,0,0,0,,2732,2004-12-31
,,,,,,,,,,,,,553,0,406,7,0,0,0,0,74,66,0,406,0,,2750,2004-12-31
,,,,,,,,,,,,,2089,0,0,0,0,0,0,0,731,1358,0,0,0,,2938,2004-12-31
,,,,,,,,,,,,,397,161,161,0,0,0,0,0,158,78,0,0,0,,2956,2004-12-31
,,,,,,,,,,,,,165,0,0,0,0,0,0,0,128,37,0,0,0,,3252,2004-12-31
,,,,,,,,,,,,,60,0,0,0,0,0,0,0,40,20,0,0,0,,3458,2004-12-31
,,,,,,,,,,,,,8518,0,1685,0,0,631,0,0,1012,5781,40,0,0,,3506,2004-12-31
,,,,,,,,,,,,,2963,0,179,1442,0,0,0,0,323,1019,0,167,0,,3579,2004-12-31
,,,,,,,,,,,,,1506,0,0,0,0,0,0,0,118,1388,0,0,0,,3720,2004-12-31
,,,,,,,,,,,,,476,0,391,0,0,0,0,0,35,50,0,391,0,,3953,2004-12-31
,,,,,,,,,,,,,492,0,130,126,0,50,0,0,236,0,0,0,0,,4138,2004-12-31
,,,,,,,,,,,,,1166,0,538,394,0,0,0,0,116,118,0,343,0,,4147,2004-12-31
,,,,,,,,,,,,,396,0,202,0,191,0,0,0,194,0,0,0,0,,4156,2004-12-31
,,,,,,,,,,,,,384,0,23,0,0,0,0,0,348,13,0,0,0,,4231,2004-12-31
,,,,,,,,,,,,,1382,130,649,0,0,467,0,0,41,692,0,0,0,,4437,2004-12-31
,,,,,,,,,,,,,1144,185,186,0,0,0,0,0,381,577,0,0,0,,4839,2004-12-31
,,,,,,,,,,,,,4790,0,987,1640,607,0,0,0,3,2160,0,0,0,,5005,2004-12-31
,,,,,,,,,,,,,269,0,5,19,5,0,0,0,77,168,0,0,0,,5050,2004-12-31
,,,,,,,,,,,,,4271,1322,2268,0,673,0,0,0,999,804,200,0,0,,5069,2004-12-31
,,,,,,,,,,,,,799,0,99,0,0,0,0,0,338,362,0,24,0,,5135,2004-12-31
,,,,,,,,,,,,,6505,0,2693,0,0,0,0,0,1764,2048,0,2615,0,,5210,2004-12-31
,,,,,,,,,,,,,5294,0,340,0,340,0,0,0,507,4447,0,0,0,,5247,2004-12-31
,,,,,,,,,,,,,1276,0,432,0,0,0,0,0,189,655,0,405,0,,5274,2004-12-31
,,,,,,,,,,,,,2105,0,118,299,0,118,0,0,147,1420,121,0,0,,5331,2004-12-31
,,,,,,,,,,,,,1601,0,503,0,310,0,0,0,39,1039,20,0,0,,5461,2004-12-31
,,,,,,,,,,,,,127,0,35,9,0,0,0,0,70,13,0,0,0,,5751,2004-12-31
,,,,,,,,,,,,,308,0,0,0,0,0,0,0,221,87,0,0,0,,6039,2004-12-31
,,,,,,,,,,,,,107,0,57,0,0,20,32,0,50,0,0,0,0,,6057,2004-12-31
,,,,,,,,,,,,,112,0,0,34,0,0,0,0,39,39,0,0,0,,6141,2004-12-31
,,,,,,,,,,,,,590,0,0,0,0,0,0,0,346,244,0,0,0,,6329,2004-12-31
,,,,,,,,,,,,,2346,0,1102,0,0,0,0,0,326,918,0,1065,0,,6972,2004-12-31
,,,,,,,,,,,,,5505,0,36,400,0,0,0,0,370,4699,0,0,36,,7009,2004-12-31
,,,,,,,,,,,,,285,0,0,0,0,0,0,0,124,152,0,0,0,,7045,2004-12-31
,,,,,,,,,,,,,186,0,0,0,0,0,0,0,69,117,0,0,0,,7157,2004-12-31
,,,,,,,,,,,,,2356,0,430,0,0,430,0,0,522,1404,0,0,0,,7166,2004-12-31
,,,,,,,,,,,,,453,296,296,0,0,0,0,0,66,91,0,0,0,,7456,2004-12-31
,,,,,,,,,,,,,110,0,6,0,0,0,0,0,69,35,0,0,0,,7634,2004-12-31
,,,,,,,,,,,,,419,0,314,0,26,0,0,0,103,2,0,288,0,,8033,2004-12-31
,,,,,,,,,,,,,157185,0,7358,15203,0,5843,0,0,0,134624,0,0,0,,8417,2004-12-31
,,,,,,,,,,,,,159,0,0,0,0,0,0,0,159,0,0,0,0,,8462,2004-12-31
,,,,,,,,,,,,,3273,0,467,0,0,,,,344,2462,0,0,0,,8547,2004-12-31
,,,,,,,,,,,,,53,0,0,0,0,0,0,0,22,31,0,0,0,,8631,2004-12-31
,,,,,,,,,,,,,636,0,24,0,0,0,0,0,2,610,0,0,0,,9357,2004-12-31
,,,,,,,,,,,,,512,0,0,395,0,0,0,0,79,38,0,0,0,,9553,2004-12-31
,,,,,,,,,,,,,13908,0,258,0,0,196,0,0,1423,12227,0,0,0,,9807,2004-12-31
,,,,,,,,,,,,,427,0,0,142,0,,,,100,185,0,0,0,,9955,2004-12-31
