RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,517,0,7,0,0,0,0,0,257,253,0,0,0,,37,2002-09-30
,,,,,,,,,,,,,58,0,0,0,0,,,,58,0,0,0,0,,242,2002-09-30
,,,,,,,,,,,,,711,0,43,263,8,0,0,0,28,377,0,33,0,,279,2002-09-30
,,,,,,,,,,,,,74,0,0,43,0,0,0,0,31,0,0,0,0,,354,2002-09-30
,,,,,,,,,,,,,1165,0,250,0,0,0,0,0,558,357,0,241,0,,439,2002-09-30
,,,,,,,,,,,,,284,0,0,0,0,0,0,0,53,231,0,0,0,,457,2002-09-30
,,,,,,,,,,,,,1931,149,163,612,0,0,0,0,737,298,121,0,0,,505,2002-09-30
,,,,,,,,,,,,,5160,326,1102,868,0,323,0,0,323,2867,0,219,0,,1146,2002-09-30
,,,,,,,,,,,,,679,0,0,0,0,0,0,0,546,133,0,0,0,,1155,2002-09-30
,,,,,,,,,,,,,1544,0,1024,0,0,0,0,0,370,150,0,1024,0,,1351,2002-09-30
,,,,,,,,,,,,,559,0,156,11,156,0,0,0,215,177,0,0,0,,1454,2002-09-30
,,,,,,,,,,,,,506,0,10,362,0,0,0,0,105,29,0,0,0,,1557,2002-09-30
,,,,,,,,,,,,,1594,0,737,0,86,0,0,0,582,275,0,0,0,,1632,2002-09-30
,,,,,,,,,,,,,1007,0,0,268,0,0,0,0,500,239,0,0,0,,1669,2002-09-30
,,,,,,,,,,,,,3050,0,126,1743,35,0,0,0,850,331,0,0,0,,1829,2002-09-30
,,,,,,,,,,,,,61,0,0,27,0,0,0,0,25,9,0,0,0,,1856,2002-09-30
,,,,,,,,,,,,,827,0,14,0,0,0,0,0,308,505,0,0,0,,2040,2002-09-30
,,,,,,,,,,,,,448,0,0,186,0,0,0,0,98,164,0,0,0,,2161,2002-09-30
,,,,,,,,,,,,,11812,0,1036,3152,0,0,0,0,41,7583,0,653,0,,2376,2002-09-30
,,,,,,,,,,,,,127,0,36,0,0,26,0,0,85,6,0,10,0,,2451,2002-09-30
,,,,,,,,,,,,,46,0,0,2,0,0,0,0,44,0,0,0,0,,2554,2002-09-30
,,,,,,,,,,,,,3277,185,284,445,53,0,0,0,769,1779,0,0,0,,2732,2002-09-30
,,,,,,,,,,,,,891,0,506,126,0,0,0,0,133,126,0,506,0,,2750,2002-09-30
,,,,,,,,,,,,,1892,0,0,719,0,0,0,0,844,329,0,0,0,,2938,2002-09-30
,,,,,,,,,,,,,336,0,0,0,0,0,0,0,274,62,0,0,0,,2956,2002-09-30
,,,,,,,,,,,,,610,0,0,261,0,0,0,0,265,84,0,0,0,,3252,2002-09-30
