RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,201,0,104,20,0,54,0,0,41,36,0,0,0,,37,2015-09-30
,,,,,,,,,,,,,16,0,0,0,0,0,0,0,16,0,0,0,0,,242,2015-09-30
,,,,,,,,,,,,,929,0,348,0,50,0,0,0,78,503,0,134,0,,279,2015-09-30
,,,,,,,,,,,,,2,0,0,0,0,0,0,0,2,0,0,0,0,,354,2015-09-30
,,,,,,,,,,,,,103,0,0,0,0,0,0,0,13,90,0,0,0,,457,2015-09-30
,,,,,,,,,,,,,4373,0,1094,730,0,684,0,0,26,2430,93,0,0,,505,2015-09-30
,,,,,,,,,,,,,2069,0,1650,0,0,0,0,0,58,361,0,1508,0,,1155,2015-09-30
,,,,,,,,,,,,,510,0,33,0,0,33,0,0,160,317,0,0,0,,1351,2015-09-30
,,,,,,,,,,,,,1533,0,1138,0,0,0,0,0,50,345,0,1068,0,,1454,2015-09-30
,,,,,,,,,,,,,18,0,3,0,0,0,0,0,15,0,0,0,0,,1557,2015-09-30
,,,,,,,,,,,,,407,0,118,0,0,0,0,0,62,227,0,118,0,,1669,2015-09-30
,,,,,,,,,,,,,1260,0,131,0,0,0,0,0,636,493,0,0,0,,1829,2015-09-30
,,,,,,,,,,,,,137,0,0,0,0,0,0,0,54,83,0,0,0,,1856,2015-09-30
,,,,,,,,,,,,,598,0,221,0,33,0,0,0,80,297,0,0,0,,2040,2015-09-30
,,,,,,,,,,,,,2598,0,1270,0,0,0,0,0,27,1301,0,1270,0,,2161,2015-09-30
,,,,,,,,,,,,,55266,0,25676,0,20,0,0,0,539,29051,0,16248,7717,,2376,2015-09-30
,,,,,,,,,,,,,20,0,4,0,0,0,0,0,16,0,0,0,0,,2554,2015-09-30
,,,,,,,,,,,,,2771,265,720,0,62,315,0,0,81,1970,0,56,0,,2732,2015-09-30
,,,,,,,,,,,,,229,69,69,0,0,0,0,0,17,133,10,0,0,,2750,2015-09-30
,,,,,,,,,,,,,10374,0,8532,0,650,0,0,0,1,1841,0,7543,0,,3177,2015-09-30
,,,,,,,,,,,,,247,0,1,0,0,0,0,0,82,164,0,0,0,,3252,2015-09-30
,,,,,,,,,,,,,295,0,7,100,0,0,0,0,23,165,0,0,0,,3458,2015-09-30
,,,,,,,,,,,,,1831,0,0,0,0,0,0,0,38,1793,0,0,0,,3720,2015-09-30
,,,,,,,,,,,,,14683,0,6735,0,3055,0,0,0,246,7513,189,2381,0,,3971,2015-09-30
,,,,,,,,,,,,,705,0,365,23,0,0,0,0,111,206,0,0,0,,4156,2015-09-30
,,,,,,,,,,,,,560,0,0,0,0,0,0,0,181,379,0,0,0,,4231,2015-09-30
,,,,,,,,,,,,,1327,83,812,0,0,426,0,0,27,363,125,0,0,,4437,2015-09-30
,,,,,,,,,,,,,4149,0,3100,0,0,3100,0,0,164,885,0,0,0,,4839,2015-09-30
,,,,,,,,,,,,,6399,0,980,0,761,0,0,0,422,4649,348,0,0,,5069,2015-09-30
,,,,,,,,,,,,,2281,0,734,0,0,0,0,0,156,1391,0,734,0,,5135,2015-09-30
,,,,,,,,,,,,,9895,0,5620,0,0,1637,0,0,624,3562,89,2190,0,,5210,2015-09-30
,,,,,,,,,,,,,3151,0,2395,0,0,0,0,0,4,447,305,1945,0,,5461,2015-09-30
,,,,,,,,,,,,,1604,0,1208,35,0,537,0,0,36,325,0,654,0,,5751,2015-09-30
,,,,,,,,,,,,,222,0,19,0,0,0,0,0,70,133,0,0,0,,6039,2015-09-30
,,,,,,,,,,,,,82,0,0,0,0,0,0,0,20,62,0,0,0,,6141,2015-09-30
,,,,,,,,,,,,,5714,0,2076,510,414,0,0,0,179,2949,0,1630,0,,6329,2015-09-30
,,,,,,,,,,,,,6799,0,24,11,0,0,0,0,3,6761,0,0,0,,7009,2015-09-30
,,,,,,,,,,,,,598,0,0,59,0,0,0,0,42,497,0,0,0,,7045,2015-09-30
,,,,,,,,,,,,,7435,0,6523,0,0,164,2871,905,6,906,0,2356,0,,7072,2015-09-30
,,,,,,,,,,,,,354,0,123,13,0,123,0,0,22,196,0,0,0,,7157,2015-09-30
,,,,,,,,,,,,,158,0,0,0,0,0,0,0,21,137,0,0,0,,7456,2015-09-30
,,,,,,,,,,,,,160,0,0,8,0,0,0,0,31,121,0,0,0,,7634,2015-09-30
,,,,,,,,,,,,,2515,0,2061,0,81,265,8,0,279,175,0,1707,0,,8033,2015-09-30
,,,,,,,,,,,,,159,0,0,0,0,0,0,0,65,91,3,0,0,,8462,2015-09-30
,,,,,,,,,,,,,583,0,470,0,0,0,0,0,13,100,0,446,0,,8631,2015-09-30
,,,,,,,,,,,,,2170,0,1527,0,0,0,0,0,1,642,0,1006,0,,9357,2015-09-30
,,,,,,,,,,,,,1176,0,200,14,0,200,0,0,41,921,0,0,0,,9553,2015-09-30
,,,,,,,,,,,,,11276,0,4950,0,0,118,0,0,1800,3171,1355,0,3851,,9807,2015-09-30
,,,,,,,,,,,,,113,0,0,0,0,0,0,0,19,94,0,0,0,,9955,2015-09-30
,,,,,,,,,,,,,862,0,391,0,0,0,0,0,89,382,0,123,0,,10250,2015-09-30
,,,,,,,,,,,,,285,0,241,0,16,0,0,0,43,1,0,0,0,,10849,2015-09-30
,,,,,,,,,,,,,1691,0,478,0,0,478,0,0,26,1187,0,0,0,,11145,2015-09-30
,,,,,,,,,,,,,16204,0,8853,0,0,0,0,0,466,6493,392,0,4188,,11275,2015-09-30
,,,,,,,,,,,,,2311,0,961,0,0,0,0,0,447,903,0,961,0,,11640,2015-09-30
,,,,,,,,,,,,,235,0,8,0,0,0,0,0,10,217,0,0,0,,11837,2015-09-30
,,,,,,,,,,,,,2555,0,2429,0,1252,0,0,0,121,5,0,1177,0,,12030,2015-09-30
,,,,,,,,,,,,,2897,0,2762,0,0,0,0,0,84,51,0,2068,0,,12142,2015-09-30
,,,,,,,,,,,,,408,0,337,0,0,0,0,0,1,70,0,282,0,,12179,2015-09-30
994980,0,552321,0,204859,0,0,0,374367,64223,0,0,,,,,,,,,,4069,,,,,,12311,2015-09-30
