RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,372,0,4,0,0,0,0,0,253,115,0,0,0,,37,2002-03-31
,,,,,,,,,,,,,64,0,0,0,0,,,,64,0,0,0,0,,242,2002-03-31
,,,,,,,,,,,,,260,0,76,0,44,0,0,0,31,153,0,30,0,,279,2002-03-31
,,,,,,,,,,,,,41,0,0,3,0,0,0,0,38,0,0,0,0,,354,2002-03-31
,,,,,,,,,,,,,1241,0,247,0,0,0,0,0,695,299,0,229,0,,439,2002-03-31
,,,,,,,,,,,,,308,0,0,0,0,0,0,0,64,244,0,0,0,,457,2002-03-31
,,,,,,,,,,,,,1499,133,172,0,0,0,0,0,705,531,91,0,0,,505,2002-03-31
,,,,,,,,,,,,,6919,326,1139,393,0,333,0,0,539,4848,0,0,0,,1146,2002-03-31
,,,,,,,,,,,,,903,0,0,0,0,0,0,0,668,235,0,0,0,,1155,2002-03-31
,,,,,,,,,,,,,1476,0,981,0,0,0,0,0,431,64,0,981,0,,1351,2002-03-31
,,,,,,,,,,,,,582,0,199,33,199,0,0,0,258,92,0,0,0,,1454,2002-03-31
,,,,,,,,,,,,,415,0,21,239,0,0,0,0,111,44,0,0,0,,1557,2002-03-31
,,,,,,,,,,,,,2117,0,836,0,0,0,0,0,594,687,0,829,0,,1632,2002-03-31
,,,,,,,,,,,,,1226,0,0,0,0,0,0,0,578,648,0,0,0,,1669,2002-03-31
,,,,,,,,,,,,,1574,0,112,148,0,65,0,0,785,529,0,0,0,,1829,2002-03-31
,,,,,,,,,,,,,54,0,0,10,0,0,0,0,35,9,0,0,0,,1856,2002-03-31
,,,,,,,,,,,,,849,0,2,0,0,0,0,0,418,429,0,0,0,,2040,2002-03-31
,,,,,,,,,,,,,433,0,0,50,0,0,0,0,189,194,0,0,0,,2161,2002-03-31
,,,,,,,,,,,,,4642,0,845,0,0,0,0,0,33,3764,0,506,0,,2376,2002-03-31
,,,,,,,,,,,,,124,0,10,0,0,0,0,0,81,33,0,0,0,,2451,2002-03-31
,,,,,,,,,,,,,44,0,0,2,0,0,0,0,42,0,0,0,0,,2554,2002-03-31
