RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,210,,118,0,,,,,45,47,0,,,,37,2019-09-30
,,,,,,,,,,,,,28,,0,0,,,,,28,0,0,,,,242,2019-09-30
,,,,,,,,,,,,,1655,,776,0,,,,,156,723,0,,,,279,2019-09-30
,,,,,,,,,,,,,54,,0,0,,,,,1,53,0,,,,354,2019-09-30
,,,,,,,,,,,,,217,,0,0,,,,,29,188,0,,,,457,2019-09-30
,,,,,,,,,,,,,5479,,3077,545,,,,,188,1576,93,,,,505,2019-09-30
,,,,,,,,,,,,,2151,,1482,0,,,,,214,455,0,,,,1155,2019-09-30
,,,,,,,,,,,,,917,,63,0,,,,,518,336,0,,,,1351,2019-09-30
,,,,,,,,,,,,,4807,,4132,0,,,,,70,605,0,,,,1454,2019-09-30
,,,,,,,,,,,,,357,,70,0,,,,,226,61,0,,,,1669,2019-09-30
,,,,,,,,,,,,,145,,50,0,,,,,59,36,0,,,,1856,2019-09-30
,,,,,,,,,,,,,3152,0,1493,0,0,0,0,0,64,1595,0,1493,0,,2161,2019-09-30
,,,,,,,,,,,,,67971,0,31548,0,0,0,0,0,1304,35119,0,25965,3248,,2376,2019-09-30
,,,,,,,,,,,,,3292,,500,0,,,,,850,1942,0,,,,2732,2019-09-30
,,,,,,,,,,,,,468,,248,0,,,,,72,138,10,,,,2750,2019-09-30
,,,,,,,,,,,,,406,,2,0,,,,,217,187,0,,,,3252,2019-09-30
,,,,,,,,,,,,,226,,10,56,,,,,67,93,0,,,,3458,2019-09-30
,,,,,,,,,,,,,2193,,1,0,,,,,91,2101,0,,,,3720,2019-09-30
,,,,,,,,,,,,,15519,,7823,0,,,,,647,7009,40,,,,3971,2019-09-30
,,,,,,,,,,,,,794,,395,16,,,,,242,141,0,,,,4156,2019-09-30
,,,,,,,,,,,,,551,,0,0,,,,,159,392,0,,,,4231,2019-09-30
,,,,,,,,,,,,,9272,,1619,0,,,,,1060,5691,902,,,,5069,2019-09-30
,,,,,,,,,,,,,3097,,973,0,,,,,460,1664,0,,,,5135,2019-09-30
,,,,,,,,,,,,,13179,,8274,0,,,,,2338,2486,81,,,,5210,2019-09-30
,,,,,,,,,,,,,6120,,4408,0,,,,,4,1536,172,,,,5461,2019-09-30
,,,,,,,,,,,,,1855,,1417,0,,,,,61,377,0,,,,5751,2019-09-30
,,,,,,,,,,,,,2363,0,356,0,0,0,0,0,656,1351,0,0,0,,6039,2019-09-30
,,,,,,,,,,,,,7564,,3081,0,481,,,,832,3651,0,2541,,,6329,2019-09-30
,,,,,,,,,,,,,9719,,240,105,,,,,685,8689,0,,,,7009,2019-09-30
,,,,,,,,,,,,,1007,0,0,181,0,0,0,0,96,730,0,0,0,,7045,2019-09-30
,,,,,,,,,,,,,4362,,3036,0,,,,,50,1276,0,,,,7072,2019-09-30
,,,,,,,,,,,,,284,,54,0,,,,,61,169,0,,,,7456,2019-09-30
,,,,,,,,,,,,,242,,8,0,,,,,84,150,0,,,,7634,2019-09-30
,,,,,,,,,,,,,4311,,3143,0,,,,,924,244,0,,,,8033,2019-09-30
,,,,,,,,,,,,,293,,0,0,,,,,180,104,9,,,,8462,2019-09-30
,,,,,,,,,,,,,748,,666,0,,,,,26,56,0,,,,8631,2019-09-30
,,,,,,,,,,,,,6662,,5762,0,,,,,195,705,0,,,,9357,2019-09-30
,,,,,,,,,,,,,1449,,4,0,,,,,170,1275,0,,,,9553,2019-09-30
,,,,,,,,,,,,,7982,,809,0,,,,,3219,3204,750,,649,,9807,2019-09-30
,,,,,,,,,,,,,258,,0,0,,,,,70,188,0,,,,9955,2019-09-30
,,,,,,,,,,,,,1561,,370,0,,,,,208,983,0,,,,10250,2019-09-30
,,,,,,,,,,,,,751,,175,0,,,,,118,458,0,,,,10849,2019-09-30
,,,,,,,,,,,,,1912,,76,0,,76,,,128,1708,0,,,,11145,2019-09-30
,,,,,,,,,,,,,3142,,1393,0,,,,,760,989,0,,,,11640,2019-09-30
,,,,,,,,,,,,,275,,48,0,,,,,27,200,0,,,,11837,2019-09-30
,,,,,,,,,,,,,3429,,2998,0,,,,,228,203,0,,,,12030,2019-09-30
,,,,,,,,,,,,,4052,,3831,0,,,,,186,35,0,,,,12142,2019-09-30
1429926,0,725999,275572,388579,0,0,0,306240,101447,0,0,,,,,,,,,,20668,,,,,,12311,2019-09-30
,,,,,,,,,,,,,336,0,0,0,0,0,0,0,73,263,0,0,0,,12647,2019-09-30
,,,,,,,,,,,,,26,,0,0,,,,,16,10,0,,,,12656,2019-09-30
