RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,289,,180,0,,,,,35,74,0,,,,37,2018-09-30
,,,,,,,,,,,,,25,,0,0,,,,,25,0,0,,,,242,2018-09-30
,,,,,,,,,,,,,1453,,732,0,,,,,112,609,0,,,,279,2018-09-30
,,,,,,,,,,,,,4,,0,0,,,,,4,0,0,,,,354,2018-09-30
,,,,,,,,,,,,,207,,0,0,,,,,17,190,0,,,,457,2018-09-30
,,,,,,,,,,,,,4211,,1802,378,,,,,72,1866,93,,,,505,2018-09-30
,,,,,,,,,,,,,2049,,1514,0,,,,,118,417,0,,,,1155,2018-09-30
,,,,,,,,,,,,,695,,49,0,,,,,311,335,0,,,,1351,2018-09-30
,,,,,,,,,,,,,3256,,2648,0,,,,,53,555,0,,,,1454,2018-09-30
,,,,,,,,,,,,,275,,84,0,,,,,64,127,0,,,,1669,2018-09-30
,,,,,,,,,,,,,198,,93,0,,,,,67,38,0,,,,1856,2018-09-30
,,,,,,,,,,,,,830,,340,0,,,,,137,353,0,,,,2040,2018-09-30
,,,,,,,,,,,,,2285,0,1351,0,0,0,0,0,37,897,0,1351,0,,2161,2018-09-30
,,,,,,,,,,,,,69337,0,35105,0,0,0,0,0,1053,33179,0,23575,0,,2376,2018-09-30
,,,,,,,,,,,,,23,,0,0,,,,,23,0,0,,,,2554,2018-09-30
,,,,,,,,,,,,,3120,,827,0,,,,,378,1915,0,,,,2732,2018-09-30
,,,,,,,,,,,,,469,,231,0,,,,,40,188,10,,,,2750,2018-09-30
,,,,,,,,,,,,,348,,5,0,,,,,170,173,0,,,,3252,2018-09-30
,,,,,,,,,,,,,217,,44,13,,,,,59,101,0,,,,3458,2018-09-30
,,,,,,,,,,,,,2147,,12,0,,,,,42,2093,0,,,,3720,2018-09-30
,,,,,,,,,,,,,10633,,3913,0,,,,,471,6234,15,,,,3971,2018-09-30
,,,,,,,,,,,,,751,,453,0,,,,,148,150,0,,,,4156,2018-09-30
,,,,,,,,,,,,,307,,0,0,,,,,94,213,0,,,,4231,2018-09-30
,,,,,,,,,,,,,9342,,2202,0,,,,,758,6055,327,,,,5069,2018-09-30
,,,,,,,,,,,,,3121,,1121,0,,,,,324,1676,0,,,,5135,2018-09-30
,,,,,,,,,,,,,10827,0,7547,0,0,0,0,2330,1254,1945,81,2819,0,,5210,2018-09-30
,,,,,,,,,,,,,5582,,4297,0,,,,,17,1086,182,,,,5461,2018-09-30
,,,,,,,,,,,,,1862,,1454,0,,,,,61,347,0,,,,5751,2018-09-30
,,,,,,,,,,,,,2274,0,142,0,0,0,0,0,221,1911,0,0,0,,6039,2018-09-30
